curp,nombre,metadata.institucion,nivelOrdenGobierno,declaracion.situacionPatrimonial.datosEmpleoCargoComision.areaAdscripcion,declaracion.situacionPatrimonial.datosEmpleoCargoComision.contratadoPorHonorarios,declaracion.situacionPatrimonial.datosEmpleoCargoComision.nivelEmpleoCargoComision,edu_nivel,exp_privado,exp_publico,exp_total,n_vehiculos,n_vehiculos_lujo,valor_vehiculos,n_bienes,valor_bienes,valor_inversiones,patrimonio_total,ingreso_total_neto_2015,ingreso_total_neto_2016,ingreso_total_neto_2017,ingreso_total_neto_2018,ingreso_total_neto_2019,ingreso_total_neto_2020
ACVE800525MDFÑRL04,Emily Acuña Verduzco,COMISION NACIONAL PARA EL USO EFICIENTE DE LA ENERGIA,FEDERAL,Dirección General de Administración,False,M34,MAESTRÍA,6.3,5.0,11.3,6.0,2.0,3162061.0,1.0,4477385.0,687847.0,8327293.0,376360.0,1578000.0,1571676.0,1798248.0,1747956.0,1622484.0
ADAJ870425HAGMML03,Julieta Adame Armenta,TRANSPORTADORA DE SAL S.A. DE C.V.,FEDERAL,Dirección General de Vinculación,False,L32,MAESTRÍA,6.0,4.1,10.1,8.0,5.0,8565999.0,3.0,269091854.0,89757807.0,367415660.0,1574485.0,4688040.0,4525020.0,4687188.0,4147896.0,4805748.0
ADCA841108MSNMDD06,Andrea Adame Cadena,SECRETARIA DE HACIENDA Y CREDITO PUBLICO,FEDERAL,Dirección General de Tecnologías de Información,False,A33,LICENCIATURA,11.2,0.0,11.2,4.0,2.0,557820.0,0.0,0.0,17446.0,575266.0,125000.0,600000.0,600000.0,600000.0,600000.0,600000.0
ADCL860208HSNMLS05,Luis Fernando Adame Colunga,PEMEX-EXPLORACION Y PRODUCCION,MUNICIPAL,Unidad de Administración,False,18,DOCTORADO,10.9,0.0,10.9,8.0,7.0,7649716.0,3.0,257668673.0,82918777.0,348237166.0,2025635.0,5434128.0,5238108.0,4970532.0,5211000.0,5500296.0
ADCM710807HDFRRR07,María Adorno Carrillo,CENTRO DE EVALUACION Y DESARROLLO HUMANO,FEDERAL,Unidad de Servicios Tecnológicos,False,A33,LICENCIATURA,9.5,0.0,9.5,0.0,0.0,0.0,0.0,0.0,39230.0,39230.0,125000.0,600000.0,600000.0,600000.0,600000.0,600000.0
ADCV790819HAGRRN04,Vanessa Adorno Córdova,FIDEICOMISO PARA LA CINETECA NACIONAL,FEDERAL,Unidad de Administración,False,J32,MAESTRÍA,10.7,0.0,10.7,5.0,2.0,4711820.0,3.0,240387118.0,107989217.0,353088155.0,1430600.0,5648136.0,5812320.0,5064900.0,5105544.0,4826028.0
ADDM820216MVZRLR09,Mercedes Adorno Delvalle,AGROASEMEX S.A.,ESTATAL,Unidad de Servicios Tecnológicos,False,N22,LICENCIATURA,12.4,0.0,12.4,4.0,1.0,636355.0,1.0,726204.0,12478.0,1375037.0,160000.0,768000.0,768000.0,768000.0,768000.0,768000.0
ADFK860816HDFMNV01,Kevin Adame Fonseca,CFE TRANSMISIÓN,ESTATAL,Unidad de Servicios Tecnológicos,False,O33,LICENCIATURA,13.1,0.0,13.1,0.0,0.0,0.0,0.0,0.0,41617.0,41617.0,126855.0,608904.0,608904.0,608904.0,608904.0,608904.0
ADHB830001MVZMXR01,Barbara Adame Huixtlacatl,COMISION NACIONAL PARA EL USO EFICIENTE DE LA ENERGIA,FEDERAL,Unidad de Servicios Tecnológicos,False,N33,LICENCIATURA,6.8,5.7,12.5,5.0,1.0,2477977.0,1.0,4734386.0,1373962.0,8586325.0,253775.0,1197684.0,1246968.0,1237464.0,1184640.0,1100724.0
ADJI750913MSNMMN08,Irene Adame Jaimes,SECRETARIA DE MEDIO AMBIENTE Y RECURSOS NATURALES,MUNICIPAL,Unidad de Asuntos Jurídicos,False,17,ESPECIALIDAD,6.3,6.6,12.899999999999999,6.0,1.0,5291148.0,3.0,267562887.0,149721963.0,422575998.0,1727550.0,4149372.0,5186160.0,5854284.0,5881068.0,4692636.0
ADKP840010HDFRRT05,Patricia Adorno Krauel natera,INSTITUTO FEDERAL DE TELECOMUNICACIONES,MUNICIPAL,Dirección General de Innovacion,False,M34,ESPECIALIDAD,9.6,0.0,9.6,5.0,3.0,2423203.0,0.0,0.0,844184.0,3267387.0,347475.0,1565400.0,1708800.0,1626756.0,1605180.0,1552368.0
ADLE700123MVZMPS03,Eloisa Adame López,INSTITUTO FEDERAL DE ACCESO A LA INFORMACION PUBLICA,ESTATAL,Dirección General de Inteligencia,False,L32,MAESTRÍA,5.5,4.7,10.2,8.0,4.0,3582390.0,3.0,165452770.0,70207464.0,239242624.0,1291855.0,4439232.0,5564964.0,4687680.0,4856688.0,4910316.0
ADMR860422MDFMCS01,Rosario Adame Macías,"FONDO DE GARANTIA Y FOMENTO PARA LA AGRICULTURA, GANADERIA Y AVICULTURA",ESTATAL,Dirección General de Innovacion,False,N33,LICENCIATURA,10.5,0.0,10.5,6.0,1.0,2471943.0,1.0,7291536.0,617872.0,10381351.0,251895.0,1188744.0,1023636.0,1055280.0,1178952.0,1049700.0
ADRV831118HPUMLC05,Vicente Adame Rael,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,MUNICIPAL,Dirección General de Administración,False,L32,ESPECIALIDAD,6.4,4.2,10.600000000000001,5.0,3.0,4057200.0,2.0,69459464.0,154500173.0,228016837.0,1601325.0,4531776.0,4379544.0,3810864.0,4329384.0,4683888.0
ADSY790908HAGMNL01,Yolanda Adame Santacruz,INSTITUTO DE ADMINISTRACION Y AVALUOS DE BIENES NACIONALES,MUNICIPAL,Unidad de Asuntos Jurídicos,False,O32,LICENCIATURA,11.2,0.0,11.2,0.0,0.0,0.0,0.0,0.0,24755.0,24755.0,105560.0,506688.0,506688.0,506688.0,506688.0,506688.0
ADTV850814HDFMRN07,Vanessa Adame Treviño,INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES,FEDERAL,Dirección General de Vinculación,False,22,DOCTORADO,5.8,5.4,11.2,5.0,3.0,5319521.0,3.0,124260704.0,23367342.0,152947567.0,1859760.0,6617328.0,6208644.0,6452952.0,5875716.0,7186284.0
ADVE850312HAGMLT05,Estefanía Adame Velázquez,INSTITUTO DE CAPACITACION Y PROFESIONALIZACION EN PROCURACION DE JUSTICIA FEDERAL,MUNICIPAL,Unidad de Tecnologías de Información y Comunicaciones,False,N34,LICENCIATURA,5.9,4.1,10.0,4.0,0.0,1772083.0,1.0,4434934.0,1018769.0,7225786.0,314155.0,1319052.0,1357080.0,1313556.0,1271172.0,1121892.0
ADVL880902MDFMLZ03,Lizbeth Adame Valentín,AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO S.A. DE C.V.,MUNICIPAL,Dirección General de Vinculación,False,A33,LICENCIATURA,12.2,0.0,12.2,4.0,0.0,495614.0,1.0,1451755.0,13249.0,1960618.0,125000.0,600000.0,600000.0,600000.0,600000.0,600000.0
ADXB780627MAGMNR02,Bernardo Adame Xenia,ADMINISTRACION PORTUARIA INTEGRAL DE ENSENADA S.A. DE C.V.,ESTATAL,Dirección General de Vinculación,False,O33,LICENCIATURA,6.6,6.1,12.7,0.0,0.0,0.0,1.0,1168319.0,20105.0,1188424.0,126855.0,608904.0,608904.0,608904.0,608904.0,608904.0
ADZA790310HDFRML08,Axel Adorno Zamarreno,CASA DE MONEDA DE MEXICO,FEDERAL,Unidad de Transparencia,False,N22,LICENCIATURA,9.7,0.0,9.7,4.0,0.0,815914.0,0.0,0.0,17314.0,833228.0,160000.0,768000.0,768000.0,768000.0,768000.0,768000.0
AGBJ840219HPUSRN09,Juan Agosto Bermúdez,CENTRO NACIONAL DE METROLOGIA,ESTATAL,Dirección General de Inteligencia,False,A33,LICENCIATURA,5.9,6.6,12.5,0.0,0.0,0.0,1.0,1377803.0,25848.0,1403651.0,125000.0,600000.0,600000.0,600000.0,600000.0,600000.0
AGBN840512HDFRDT05,Natalia Aguirre Badillo,SECRETARIA DE COMUNICACIONES Y TRANSPORTES,MUNICIPAL,Unidad de Administración,False,O33,LICENCIATURA,6.3,6.7,13.0,0.0,0.0,0.0,0.0,0.0,23570.0,23570.0,126855.0,608904.0,608904.0,608904.0,608904.0,608904.0
AGCA811122MAGSRJ02,Alejandra Agosto Carranza,COMISION NACIONAL DE LIBROS DE TEXTO GRATUITOS,ESTATAL,Unidad de Servicios Tecnológicos,False,A33,LICENCIATURA,6.1,5.9,12.0,0.0,0.0,0.0,1.0,1097196.0,11503.0,1108699.0,125000.0,600000.0,600000.0,600000.0,600000.0,600000.0
AGCJ811009MDFRMM05,Jimena Aguirre Campos,SECRETARIA DEL TRABAJO Y PREVISION SOCIAL,ESTATAL,Unidad de Vinculación,False,O33,LICENCIATURA,11.9,0.0,11.9,0.0,0.0,0.0,1.0,1642019.0,13111.0,1655130.0,126855.0,608904.0,608904.0,608904.0,608904.0,608904.0
AGCM730518HDFSRR02,Mario Agosto Coronado,CFE CORPORATIVO,FEDERAL,Unidad de Tecnologías de Información y Comunicaciones,False,N33,MAESTRÍA,6.8,4.7,11.5,6.0,0.0,2581272.0,1.0,4140813.0,413997.0,7136082.0,298180.0,1106520.0,1184424.0,1116864.0,1200420.0,1185456.0
AGDS840820MVZLLM05,Samuel Aguilera Delafuente,"INSTITUTO POTOSINO DE INVESTIGACION CIENTIFICA Y TECNOLOGICA, A.C.",FEDERAL,Dirección General de Administración,False,N22,LICENCIATURA,11.8,0.0,11.8,0.0,0.0,0.0,1.0,208845.0,31553.0,240398.0,160000.0,768000.0,768000.0,768000.0,768000.0,768000.0
AGER850701HAGLCB03,Rubén Aguilera Escobedo,INSTITUTO MEXICANO DEL TRANSPORTE,FEDERAL,Unidad de Vinculación,False,N33,MAESTRÍA,6.4,6.5,12.9,6.0,0.0,2842810.0,0.0,0.0,1020398.0,3863208.0,317195.0,1125216.0,1086276.0,1140636.0,1208496.0,1063920.0
AGGJ870513MDFLRS09,José Eduardo Aguilera Girón,SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL ANTICORRUPCIÓN,MUNICIPAL,Dirección General de Inteligencia,False,O33,LICENCIATURA,6.5,5.3,11.8,5.0,0.0,635709.0,0.0,0.0,11588.0,647297.0,126855.0,608904.0,608904.0,608904.0,608904.0,608904.0
AGGM810421HDFYZR04,Marta Aguayo Guzmán,INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN (INV),ESTATAL,Dirección General de Administración,False,22,ESPECIALIDAD,6.9,6.2,13.100000000000001,6.0,3.0,4818147.0,3.0,173014689.0,85624396.0,263457232.0,2106400.0,5913984.0,5879712.0,5974320.0,5437860.0,5853012.0
AGJÓ790618MAGYMC06,Óscar Aguayo Jimínez,INSTITUTO DE LOS MEXICANOS EN EL EXTERIOR,MUNICIPAL,Unidad de Administración,False,O33,LICENCIATURA,6.8,5.1,11.899999999999999,0.0,0.0,0.0,0.0,0.0,12259.0,12259.0,126855.0,608904.0,608904.0,608904.0,608904.0,608904.0
AGKB810425HPUYRR04,Brayan Aguayo Karen,PROCURADURIA GENERAL DE LA REPUBLICA,FEDERAL,Unidad de Vinculación,False,M34,LICENCIATURA,6.4,4.4,10.8,5.0,0.0,2233112.0,1.0,2362339.0,822710.0,5418161.0,381145.0,1619976.0,1808184.0,1712304.0,1664136.0,1582812.0
AGMB741111MAGSSR06,Bernardo Agosto Maestas,INSTITUTO NACIONAL DE CANCEROLOGIA,MUNICIPAL,Dirección General de Inteligencia,False,M34,LICENCIATURA,10.2,0.0,10.2,5.0,0.0,2267522.0,1.0,1265843.0,1692905.0,5226270.0,394970.0,1461744.0,1702560.0,1574604.0,1504908.0,1541868.0
AGME760709MSNYLS02,Elsa Aguayo Maldonado,COLEGIO DE POSTGRADUADOS,ESTATAL,Unidad de Servicios Tecnológicos,False,22,MAESTRÍA,6.4,5.0,11.4,4.0,2.0,3104072.0,3.0,234142088.0,69506454.0,306752614.0,1482280.0,5751396.0,7063764.0,5146416.0,6318288.0,6581988.0
