id,fechaCaptura,expediente,autoridadSancionadora,tipoSancion,causaMotivoHechos,observaciones,institucionDependencia.nombre,servidorPublicoSancionado.rfc.rfc,servidorPublicoSancionado.rfc.homoClave,servidorPublicoSancionado.curp,servidorPublicoSancionado.nombres,servidorPublicoSancionado.primerApellido,servidorPublicoSancionado.segundoApellido,servidorPublicoSancionado.genero.clave,servidorPublicoSancionado.genero.valor,servidorPublicoSancionado.puesto,tipoFalta.clave,tipoFalta.valor,tipoFalta.descripcion,resolucion.fechaResolucion,multa.moneda.clave,multa.moneda.valor,multa.monto,inhabilitacion.plazo,inhabilitacion.fechaInicial,inhabilitacion.fechaFinal,servidorPublicoSancionado.rfc,institucion_merge
2c8417ed-ffd6-4f3b-ae6a-225085d5242b,2010-01-01,SANC/95515349,Contraloría Interna,"[{'clave': 'IRSC', 'valor': 'INDEMNIZACIÓN RESARCITORIA', 'descripcion': ''}]",UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Lorem Ipsum es simplemente el texto de relleno de las imprentas y archivos de texto,Comisión Federal de Electricidad,DESJ840726,C83,DESJ840726HDFLLS05,José Luis,Delvalle,Salazar,H,MASCULINO,Jefe de departamento,EOCI,ENRIQUECIMIENTO OCULTO U OCULTAMIENTO DE CONFLICTO DE INTERÉS,ENRIQUECIMIENTO OCULTO U OCULTAMIENTO DE CONFLICTO DE INTERÉS,2010-01-01,MXN,Peso Mexicano,6818.0,,,,,fondoespecialdeasistenciatecnicaygarantiaparaloscreditosagropecuarios
71ec591e-1201-41b3-b982-3cb57d5c6d83,2010-04-31,CARPETA/bb6be9b6,Tribunal,"[{'clave': 'I', 'valor': 'INHABILITADO', 'descripcion': ''}]",NEPOTISMO,Lorem Ipsum es simplemente el texto de relleno de las imprentas y archivos de texto,Comisión Federal de Electricidad,ARCR840820,C72,ARCR840820MVZRHQ02,Raquel,Arroyo,Chávez,M,FEMENINO,Jefe de departamento,UII,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,2010-01-01,,,,4 años,2010-01-01,2014-00-01,,educalsadecv
86b7e76f-9ad4-4581-938c-f55c786661bc,2010-02-04,EXP/ef50ba30,OIC,"[{'clave': 'I', 'valor': 'INHABILITADO', 'descripcion': ''}]",DESVÍO DE RECURSOS PÚBLICOS,"Al contrario del pensamiento popular, el texto de Lorem Ipsum no es simplemente texto aleatorio. Tiene sus raices en una pieza cl´sica de la literatura del Latin, que data del año 45 antes de Cristo",Comisión Federal de Electricidad,RIAM720324,B22,RIAM720324MAGVRN09,Manuela,Rivas,Alarcón,M,FEMENINO,Jefe de departamento,ABCI,ACTUACIÓN BAJO CONFLICTO DE INTERÉS,ACTUACIÓN BAJO CONFLICTO DE INTERÉS,2010-01-01,,,,6 años,2010-01-01,2016-00-01,,cfecorporativo
de87a7fb-e30f-4481-970d-138f041e4dbe,2010-04-31,GCPD/acd6adc4,Tribunal,"[{'clave': 'IRSC', 'valor': 'INDEMNIZACIÓN RESARCITORIA', 'descripcion': ''}]",DESVÍO DE RECURSOS PÚBLICOS,Sanción impuesta conforme a la ley,Comisión Federal de Electricidad,XERK760626,C85,XERK760626HSNNSV08,Kevin,Xenia,Rosas,H,MASCULINO,Jefe de departamento,DRP,DESVÍO DE RECURSOS PÚBLICOS,DESVÍO DE RECURSOS PÚBLICOS,2010-01-01,MXN,Peso Mexicano,17006.0,,,,,transportadoradesalsadecv
b870fb95-c535-4232-befa-6dbf132681ae,2010-04-31,EXP/a7a8b4c4,Tribunal,"[{'clave': 'D', 'valor': 'DESTITUCION DEL EMPLEO CARGO O COMISION', 'descripcion': 'DESPIDO'}]",DESVÍO DE RECURSOS PÚBLICOS,Sanción impuesta conforme a la ley,Comisión Federal de Electricidad,CAPI760720,A13,CAPI760720MSNRBB01,Isabel,Carrasco,Pabón,M,FEMENINO,Jefe de departamento,EIFM,EJERCICIO INDEBIDO DE SUS FUNCIONES EN MATERIA MIGRATORIA,EJERCICIO INDEBIDO DE SUS FUNCIONES EN MATERIA MIGRATORIA,2010-01-01,,,,3 años,2010-01-01,2013-00-01,,comisionnacionaldeareasnaturalesprotegidas
44a2feae-36d4-4b8f-8c77-626774a17f27,2010-04-01,EXPEDIENTE/cf9c8954,Organo de Control Interno,"[{'clave': 'M', 'valor': 'MULTADO', 'descripcion': ''}]",ENRIQUECIMIENTO OCULTO,Sanción impuesta conforme a la ley,Comisión Federal de Electricidad,NAHM720315,E68,NAHM720315MPUVRN05,Manuel,Navarro,Herrera,M,FEMENINO,Jefe de departamento,EOCI,ENRIQUECIMIENTO OCULTO U OCULTAMIENTO DE CONFLICTO DE INTERÉS,ENRIQUECIMIENTO OCULTO U OCULTAMIENTO DE CONFLICTO DE INTERÉS,2010-01-01,MXN,Peso Mexicano,28442.0,,,,,cfecorporativo
f0167183-61b9-43c1-aa0f-c26c6f9c0f7e,2010-03-01,EXP/bb3e17f3,Tribunal,"[{'clave': 'S', 'valor': 'SUSPENSION DE EMPLEO, CARGO O COMISION', 'descripcion': ''}]",DESVÍO DE RECURSOS PÚBLICOS,"Al contrario del pensamiento popular, el texto de Lorem Ipsum no es simplemente texto aleatorio. Tiene sus raices en una pieza cl´sica de la literatura del Latin, que data del año 45 antes de Cristo",Comisión Federal de Electricidad,CAAR810520,C44,CAAR810520HSNLNN04,Reina,Calderón,Alanis,H,MASCULINO,Jefe de departamento,OTRO,OTRO,OTRO,2010-01-01,,,,10 años,2010-01-01,2020-00-01,,institutonacionaldelaspersonasadultasmayores
60214b04-22d5-4ac3-9ece-ef3c0fa43815,2010-02-04,GCPD/77932a29,Organo de Control Interno,"[{'clave': 'SE', 'valor': 'SANCIÓN ECONÓMICA', 'descripcion': ''}]","PECULADO, AUTORIZO ACTOS PARA EL USO O APROPIACIÓN PARA SÍ DE RECURSOS PÚBLICOS SIN FUNDAMENTOS JURÍDICOS",Sanción impuesta conforme a la ley,Comisión Federal de Electricidad,RAQR910021,D72,RAQR910021MAGMRM06,Ramón,Ramos,Quiroz,M,FEMENINO,Jefe de departamento,ASEX,COMETER O TOLERAR CONDUCTAS DE ACOSO SEXUAL,COMETER O TOLERAR CONDUCTAS DE ACOSO SEXUAL,2010-01-01,MXN,Peso Mexicano,9650.0,,,,,fonaturconstructorasadecv
c756f895-0e04-420c-898a-8ffe918ebd46,2010-04-31,CARPETA/8a3d0e2a,Contraloría Interna,"[{'clave': 'O', 'valor': 'OTRO', 'descripcion': 'LEVANTAMIENTO DE ACTA ADMINISTRATIVA'}]",UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Lorem Ipsum es simplemente el texto de relleno de las imprentas y archivos de texto,Comisión Federal de Electricidad,CEVR911109,A74,CEVR911109MDFJLQ07,Raquel,Ceja,Villareal,M,FEMENINO,Jefe de departamento,VPC,VIOLACION PROCEDIMIENTOS DE CONTRATACION,VIOLACION PROCEDIMIENTOS DE CONTRATACION,2010-01-01,,,,,,,,centrodeensenanzatecnicaindustrial
ebc2ad15-3c6b-45ad-a9cd-f5b52bf55b1d,2010-04-01,EXPEDIENTE/1689caea,Organo de Control Interno,"[{'clave': 'SE', 'valor': 'SANCIÓN ECONÓMICA', 'descripcion': ''}]",UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Sanción impuesta conforme a la ley,Comisión Federal de Electricidad,CAQJ720205,E23,CAQJ720205HPURNR09,Jorge,Carrion,Quinta,H,MASCULINO,Jefe de departamento,OJUST,OBSTRUCCIÓN DE LA JUSTICIA,OBSTRUCCIÓN DE LA JUSTICIA,2010-01-01,MXN,Peso Mexicano,22384.0,,,,,elcolegiodemexicoac
d92185d5-2ae4-4caf-bb48-18a73d0a4e61,2010-04-31,GCPD/f985617d,Organo de Control Interno,"[{'clave': 'O', 'valor': 'OTRO', 'descripcion': 'LEVANTAMIENTO DE ACTA ADMINISTRATIVA'}]",UTILIZACIÓN INDEBIDA DE INFORMACIÓN,"Al contrario del pensamiento popular, el texto de Lorem Ipsum no es simplemente texto aleatorio. Tiene sus raices en una pieza cl´sica de la literatura del Latin, que data del año 45 antes de Cristo",Comisión Federal de Electricidad,COVO911006,E50,COVO911006HDFLGT07,Octavio,Colunga,Vigil,H,MASCULINO,Jefe de departamento,DCSP,DELITO COMETIDO POR SERVIDORES PUBLICOS,ROBO,2010-01-01,,,,,,,,tecnologiconacionaldemexico
96174c7c-b6fc-4214-a4d1-ad69031746fb,2010-04-31,SANC/7db59172,Organo de Control Interno,"[{'clave': 'M', 'valor': 'MULTADO', 'descripcion': ''}]",DESVÍO DE RECURSOS PÚBLICOS,"Al contrario del pensamiento popular, el texto de Lorem Ipsum no es simplemente texto aleatorio. Tiene sus raices en una pieza cl´sica de la literatura del Latin, que data del año 45 antes de Cristo",Comisión Federal de Electricidad,MAXJ700527,A90,MAXJ700527HVZRCM05,Jimena,Marrero,Xacon,H,MASCULINO,Jefe de departamento,CIND,CONTRATACIÓN INDEBIDA,CONTRATACIÓN INDEBIDA,2010-01-01,MXN,Peso Mexicano,24735.0,,,,,administraciondelpatrimoniodelabeneficenciapublica
196ee52e-83f9-4161-87bd-5d7b49839daf,2010-04-31,GCPD/51bc4c7b,OIC,"[{'clave': 'SE', 'valor': 'SANCIÓN ECONÓMICA', 'descripcion': ''}]",CONFLICTO DE INTERÉS,"Al contrario del pensamiento popular, el texto de Lorem Ipsum no es simplemente texto aleatorio. Tiene sus raices en una pieza cl´sica de la literatura del Latin, que data del año 45 antes de Cristo",Comisión Federal de Electricidad,RAQR910021,D72,RAQR910021MAGMRM06,Ramón,Ramos,Quiroz,M,FEMENINO,Jefe de departamento,AC,ACTO DE CORRUPCIÓN,RECIBIR SOBORNO POR UN TRÁMITE,2010-01-01,MXN,Peso Mexicano,9919.0,,,,,cfegeneracionii
f82e5d14-eab8-430d-aa1d-91a2f7143d80,2010-02-04,GCPD/e66c9ccc,Organo de Control Interno,"[{'clave': 'D', 'valor': 'DESTITUCION DEL EMPLEO CARGO O COMISION', 'descripcion': 'DESPIDO'}]",CONTRATACIÓN INDEBIDA,"Al contrario del pensamiento popular, el texto de Lorem Ipsum no es simplemente texto aleatorio. Tiene sus raices en una pieza cl´sica de la literatura del Latin, que data del año 45 antes de Cristo",Comisión Federal de Electricidad,REVG860127,E87,REVG860127MDFYCL01,Gloria,Reyna,Vaca,M,FEMENINO,Jefe de departamento,ENCB,ENCUBRIMIENTO,ENCUBRIMIENTO,2010-01-01,,,,2 años,2010-01-01,2012-00-01,,centrodeinvestigacionenquimicaaplicada
aec27a68-c4aa-4588-86d8-2a9d4e6240e3,2010-04-01,ARCHIVO/8f9d02e7,OIC,"[{'clave': 'O', 'valor': 'OTRO', 'descripcion': 'LEVANTAMIENTO DE ACTA ADMINISTRATIVA'}]",ENRIQUECIMIENTO OCULTO,Lorem Ipsum es simplemente el texto de relleno de las imprentas y archivos de texto,Comisión Federal de Electricidad,BLCM920904,B88,BLCM920904MSNLRN07,Manuel,Blanco,Cervántez,M,FEMENINO,Jefe de departamento,ANG,ADMINISTRATIVA NO GRAVE,INCUMPLIMIENTO DE FUNCIONES,2010-01-01,,,,,,,,centronacionaldeexcelenciatecnologicaensalud
b7f663ee-91e0-4ffa-8a16-a2848fd80bc0,2010-03-01,SANC/f322b30e,Contraloría Interna,"[{'clave': 'I', 'valor': 'INHABILITADO', 'descripcion': ''}]",CONFLICTO DE INTERÉS,Lorem Ipsum es simplemente el texto de relleno de las imprentas y archivos de texto,Comisión Federal de Electricidad,SACA770510,A37,SACA770510MPUCRL02,Axel,Saucedo,Carranza,M,FEMENINO,Jefe de departamento,IDSP,INCUMPLIMIENTO EN DECLARACION DE SITUACION PATRIMONIAL,OCULTAMIENTODE PROPIEDADES,2010-01-01,,,,9 años,2010-01-01,2019-00-01,,consejonacionalparaeldesarrolloylainclusiondelaspersonascondiscapacidad
0688342e-0bfc-43f8-917a-5749a08341e8,2010-03-01,GCPD/d14dc2ed,OIC,"[{'clave': 'S', 'valor': 'SUSPENSION DE EMPLEO, CARGO O COMISION', 'descripcion': ''}]",CONFLICTO DE INTERÉS,"Al contrario del pensamiento popular, el texto de Lorem Ipsum no es simplemente texto aleatorio. Tiene sus raices en una pieza cl´sica de la literatura del Latin, que data del año 45 antes de Cristo",Comisión Federal de Electricidad,SARM820218,C90,SARM820218MVZMMR05,Marilu,Samaniego,Romo,M,FEMENINO,Jefe de departamento,OJUST,OBSTRUCCIÓN DE LA JUSTICIA,OBSTRUCCIÓN DE LA JUSTICIA,2010-01-01,,,,9 años,2010-01-01,2019-00-01,,institutodeinvestigacioneselectricas
c291ed25-b3d8-447e-8742-b696d7436b9c,2010-03-01,CARPETA/23498bbc,OIC,"[{'clave': 'S', 'valor': 'SUSPENSION DE EMPLEO, CARGO O COMISION', 'descripcion': ''}]",TRÁFICO DE INFLUENCIAS,Sanción impuesta conforme a la ley,Comisión Federal de Electricidad,CEMJ940724,B94,CEMJ940724MPUDRS02,Josefina,Cedillo,Marrero,M,FEMENINO,Jefe de departamento,EIFM,EJERCICIO INDEBIDO DE SUS FUNCIONES EN MATERIA MIGRATORIA,EJERCICIO INDEBIDO DE SUS FUNCIONES EN MATERIA MIGRATORIA,2010-01-01,,,,6 años,2010-01-01,2016-00-01,,centrodeinvestigacioncientificaydeeducacionsuperiordeensenadabc
7e911669-1ec9-497d-b80c-b1def4a48788,2010-03-01,ARCHIVO/87065c3b,OIC,"[{'clave': 'D', 'valor': 'DESTITUCION DEL EMPLEO CARGO O COMISION', 'descripcion': 'DESPIDO'}]",UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Sanción impuesta conforme a la ley,Comisión Federal de Electricidad,KAGS730013,D26,KAGS730013HDFRRN02,Sonia,Karem,Granado,H,MASCULINO,Jefe de departamento,AG,ADMINISTRATIVA GRAVE,ADMINISTRATIVA GRAVE,2010-01-01,,,,3 años,2010-01-01,2013-00-01,,comisionnacionaldearbitrajemedico
cafcd943-d1f9-4559-a0ce-ded1cbc7ee5f,2010-04-31,EXP/550db623,Contraloría Interna,"[{'clave': 'IRSC', 'valor': 'INDEMNIZACIÓN RESARCITORIA', 'descripcion': ''}]",ABUSO DE FUNCIONES,"Al contrario del pensamiento popular, el texto de Lorem Ipsum no es simplemente texto aleatorio. Tiene sus raices en una pieza cl´sica de la literatura del Latin, que data del año 45 antes de Cristo",Comisión Federal de Electricidad,SEMD870511,A51,SEMD870511MAGPNG02,Diego,Sepúlveda,Mondragón,M,FEMENINO,Jefe de departamento,ANG,ADMINISTRATIVA NO GRAVE,INCUMPLIMIENTO DE FUNCIONES,2010-01-01,MXN,Peso Mexicano,21725.0,,,,,institutonacionaldeperinatologiaisidroespinosadelosreyes
feef4c50-a788-4e8a-9054-526d214b4e6a,2010-04-31,ARCHIVO/df23abb5,Contraloría Interna,"[{'clave': 'S', 'valor': 'SUSPENSION DE EMPLEO, CARGO O COMISION', 'descripcion': ''}]","COHECHO, ACEPTO BENEFICIO NO COMPRENDIDO EN SU REMUNERACIÓN COMO PERSONA SERVIDORA PÚBLICA","Al contrario del pensamiento popular, el texto de Lorem Ipsum no es simplemente texto aleatorio. Tiene sus raices en una pieza cl´sica de la literatura del Latin, que data del año 45 antes de Cristo",Comisión Federal de Electricidad,KOSA741015,C47,KOSA741015HSNRVB03,Alberto,Korta,Saavedra,H,MASCULINO,Jefe de departamento,ENCB,ENCUBRIMIENTO,ENCUBRIMIENTO,2010-01-01,,,,6 años,2010-01-01,2016-00-01,,institutofederaldetelecomunicaciones
23b1eb04-2e3b-497b-bdc2-0037925eab2f,2010-04-01,CARPETA/7b59ead6,Organo de Control Interno,"[{'clave': 'SE', 'valor': 'SANCIÓN ECONÓMICA', 'descripcion': ''}]",DESVÍO DE RECURSOS PÚBLICOS,Lorem Ipsum es simplemente el texto de relleno de las imprentas y archivos de texto,Comisión Federal de Electricidad,CURX940907,E72,CURX940907MDFLCC02,Xochitl,Cuellar,Rocha,M,FEMENINO,Jefe de departamento,TINF,TRÁFICO DE INFLUENCIAS,TRÁFICO DE INFLUENCIAS,2010-01-01,MXN,Peso Mexicano,22332.0,,,,,ferrocarrildelistmodetehuantepecsadecv
14d81d4e-20ef-4924-8757-882b1dad2d74,2010-04-01,ARCHIVO/c90cafde,Contraloría Interna,"[{'clave': 'S', 'valor': 'SUSPENSION DE EMPLEO, CARGO O COMISION', 'descripcion': ''}]","PECULADO, AUTORIZO ACTOS PARA EL USO O APROPIACIÓN PARA SÍ DE RECURSOS PÚBLICOS SIN FUNDAMENTOS JURÍDICOS","Al contrario del pensamiento popular, el texto de Lorem Ipsum no es simplemente texto aleatorio. Tiene sus raices en una pieza cl´sica de la literatura del Latin, que data del año 45 antes de Cristo",Comisión Federal de Electricidad,VAGÁ921123,B85,VAGÁ921123HAGLRG05,Ángela,Valencia,Garay,H,MASCULINO,Jefe de departamento,NAD,NEGLIGENCIA ADMINISTRATIVA,NEGLIGENCIA ADMINISTRATIVA,2010-01-01,,,,2 años,2010-01-01,2012-00-01,,transportadoradesalsadecv
8d2dec53-b2b6-4a75-af01-5c650e6810e6,2010-02-04,ARCHIVO/0afe7115,Contraloría Interna,"[{'clave': 'S', 'valor': 'SUSPENSION DE EMPLEO, CARGO O COMISION', 'descripcion': ''}]",DESVÍO DE RECURSOS PÚBLICOS,"Al contrario del pensamiento popular, el texto de Lorem Ipsum no es simplemente texto aleatorio. Tiene sus raices en una pieza cl´sica de la literatura del Latin, que data del año 45 antes de Cristo",Comisión Federal de Electricidad,CEVR911109,A74,CEVR911109MDFJLQ07,Raquel,Ceja,Villareal,M,FEMENINO,Jefe de departamento,EOCI,ENRIQUECIMIENTO OCULTO U OCULTAMIENTO DE CONFLICTO DE INTERÉS,ENRIQUECIMIENTO OCULTO U OCULTAMIENTO DE CONFLICTO DE INTERÉS,2010-01-01,,,,6 años,2010-01-01,2016-00-01,,secretariageneraldelconsejonacionaldepoblacion
6d05f774-3334-4eb2-bd44-0bcbd8358aa6,2010-02-04,GCPD/964f207d,Tribunal,"[{'clave': 'M', 'valor': 'MULTADO', 'descripcion': ''}]",CONTRATACIÓN INDEBIDA,"Al contrario del pensamiento popular, el texto de Lorem Ipsum no es simplemente texto aleatorio. Tiene sus raices en una pieza cl´sica de la literatura del Latin, que data del año 45 antes de Cristo",Comisión Federal de Electricidad,SARM820218,C90,SARM820218MVZMMR05,Marilu,Samaniego,Romo,M,FEMENINO,Jefe de departamento,ASEX,COMETER O TOLERAR CONDUCTAS DE ACOSO SEXUAL,COMETER O TOLERAR CONDUCTAS DE ACOSO SEXUAL,2010-01-01,MXN,Peso Mexicano,26140.0,,,,,diconsasadecv
e4ccaba4-9bef-4727-91e2-cea73bac0836,2010-03-01,EXP/aaa8e33a,Tribunal,"[{'clave': 'IRSC', 'valor': 'INDEMNIZACIÓN RESARCITORIA', 'descripcion': ''}]","COHECHO, ACEPTO BENEFICIO NO COMPRENDIDO EN SU REMUNERACIÓN COMO PERSONA SERVIDORA PÚBLICA",Lorem Ipsum es simplemente el texto de relleno de las imprentas y archivos de texto,Comisión Federal de Electricidad,CESM770506,D16,CESM770506MPURNN05,Manuel,Cerda,Sanches,M,FEMENINO,Jefe de departamento,AUT,ABUSO DE AUTORIDAD,TRATO HUMILLANTE A UN SUBORDINADO,2010-01-01,MXN,Peso Mexicano,27832.0,,,,,administracionportuariaintegraldemazatlansadecv
