"curp_funcionario","r_70-2010_LUJO_TOTAL","r_70-2010_NO LUJO_TOTAL","r_2010-2015_LUJO_TOTAL","r_2010-2015_NO LUJO_TOTAL","r_2015-2020_LUJO_TOTAL","r_2015-2020_NO LUJO_TOTAL","r_70-2010_LUJO_VALOR","r_70-2010_NO LUJO_VALOR","r_2010-2015_LUJO_VALOR","r_2010-2015_NO LUJO_VALOR","r_2015-2020_LUJO_VALOR","r_2015-2020_NO LUJO_VALOR"
"ALCC811004MVZTLR04",NA,1,1,1,NA,NA,NA,499298,379897,535775,NA,NA
"ALCE770413MVZMRS07",1,2,NA,NA,NA,2,421758,905143,NA,NA,NA,962838
"ALCE860008MPUVTR04",NA,5,NA,NA,NA,NA,NA,827967,NA,NA,NA,NA
"ALCE880205HPUVRL01",NA,NA,1,2,NA,NA,NA,NA,547862,927075,NA,NA
"ALCG720525HPUCRD05",1,2,NA,1,NA,NA,425232,848617,NA,354117,NA,NA
"ALCG810219MAGNHB07",NA,5,NA,NA,NA,NA,NA,824586,NA,NA,NA,NA
"ALCJ731012MVZVRR08",2,NA,NA,2,1,1,1112092,NA,NA,953343,507531,369043
"ALCM770305MPUNNR05",NA,5,NA,NA,NA,NA,NA,865012,NA,NA,NA,NA
"ALCM800918HSNFLN02",NA,1,2,1,NA,NA,NA,568733,2394696,390734,NA,NA
"ALCM820416MSNVBT01",NA,1,2,3,NA,NA,NA,742661,2393752,1460496,NA,NA
"ALCM830716HVZCBT02",1,2,NA,NA,NA,NA,188757,247092,NA,NA,NA,NA
"ALCR710608HAGCRM01",NA,3,NA,NA,NA,NA,NA,886919,NA,NA,NA,NA
"ALCS890020HVZMHN07",NA,2,NA,1,NA,1,NA,823038,NA,454360,NA,364986
"ALCV730619MVZJSC01",NA,2,1,1,NA,1,NA,865368,483209,510744,NA,328032
"ALCV780501HPUMRR04",NA,8,NA,NA,NA,NA,NA,1467454,NA,NA,NA,NA
"ALCY831027MPUVSR02",NA,1,2,3,1,NA,NA,536027,2753546,1551949,709228,NA
"ALDE731102MDFCML05",NA,NA,5,2,NA,NA,NA,NA,5418714,1139733,NA,NA
"ALDT780203MPUNRD08",2,4,NA,NA,NA,NA,378681,602649,NA,NA,NA,NA
"ALEA730716MAGVQundefined06",NA,5,NA,NA,NA,NA,NA,718426,NA,NA,NA,NA
"ALEI760625MDFMCS01",NA,3,1,2,NA,NA,NA,1426309,315857,1059677,NA,NA
"ALEJ780927MDFCCL08",NA,3,NA,3,NA,NA,NA,1284465,NA,1011789,NA,NA
"ALFC870303HVZMRL09",1,2,NA,NA,NA,NA,320672,937828,NA,NA,NA,NA
"ALFL761026MPUCRS01",NA,4,NA,NA,NA,NA,NA,1797036,NA,NA,NA,NA
"ALGA880212HDFTRR09",NA,4,NA,3,NA,NA,NA,1999244,NA,1365660,NA,NA
"ALGJ710113HDFCTS09",NA,2,NA,NA,NA,NA,NA,844423,NA,NA,NA,NA
"ALGJ780015HVZVMR07",2,1,NA,1,NA,NA,827585,321134,NA,478703,NA,NA
"ALGJ870606MPUFRL03",NA,NA,4,1,1,NA,NA,NA,3458421,684897,692295,NA
"ALGM860901MAGMLX06",NA,2,NA,NA,NA,NA,NA,462349,NA,NA,NA,NA
"ALGX730422HAGFTM02",NA,3,NA,3,NA,NA,NA,1297964,NA,1237948,NA,NA
"ALHM720114HSNMNR08",NA,NA,2,3,NA,1,NA,NA,412853,1765645,NA,689873
"ALHP760603MPUVNT03",1,NA,1,1,1,1,1100000,NA,764951,757850,431025,613426
"ALHR881111MAGNXQ09",NA,NA,3,3,NA,NA,NA,NA,5465264,1621893,NA,NA
"ALJG740918MSNVMR09",NA,2,NA,1,NA,NA,NA,819206,NA,470984,NA,NA
"ALKE871109HPUVRN04",NA,2,NA,1,NA,NA,NA,1020190,NA,397317,NA,NA
"ALKJ881108HAGNRN01",1,1,2,4,NA,NA,1100000,451346,1205173,2756941,NA,NA
"ALKL800106HDFVNR01",NA,2,NA,2,NA,NA,NA,934992,NA,923375,NA,NA
"ALKM851015MSNMRT04",2,4,NA,NA,NA,NA,444334,651602,NA,NA,NA,NA
"ALKS860513MPUMNL02",1,1,NA,3,NA,NA,304619,587712,NA,1407938,NA,NA
"ALLC800108HDFMYR02",NA,NA,2,3,1,1,NA,NA,2449899,1999250,463269,660514
"ALLF860401MAGMRR07",NA,NA,3,3,1,NA,NA,NA,3337982,1743589,599964,NA
"ALLH720724HDFNVM06",NA,5,NA,NA,NA,NA,NA,821889,NA,NA,NA,NA
"ALLI750620MSNCRN01",NA,NA,5,3,NA,1,NA,NA,2321965,1691955,NA,747993
"ALLI780408HSNTDN02",NA,3,NA,NA,NA,NA,NA,767855,NA,NA,NA,NA
"ALLK890508MVZCZV01",NA,4,1,NA,NA,NA,NA,1851799,332423,NA,NA,NA
"ALLL710216MVZJVR05",NA,2,NA,NA,NA,NA,NA,964867,NA,NA,NA,NA
"ALLL751020MDFVRR09",1,1,1,3,NA,NA,1100000,446616,546893,1808852,NA,NA
"ALLS720504HDFMBL06",NA,5,NA,NA,NA,NA,NA,699557,NA,NA,NA,NA
"ALLV710808MAGBCC02",1,3,NA,1,NA,NA,314826,1134134,NA,512056,NA,NA
"ALMB800026HDFCNL05",NA,1,NA,2,NA,NA,NA,506096,NA,880699,NA,NA
"ALME821101HPUNNL01",1,1,NA,5,NA,NA,337991,414528,NA,2311280,NA,NA
"ALMJ710521MDFMTS05",NA,3,1,NA,NA,NA,NA,1290596,386024,NA,NA,NA
"ALMJ751104MAGMNS07",2,1,2,4,NA,1,1632828,388730,1032765,1996604,NA,694975
"ALMM860413MPUNNR09",1,1,1,1,NA,NA,733198,639098,2e+06,484547,NA,NA
"ALMT890615MAGCNM09",1,NA,NA,4,NA,NA,559850,NA,NA,1819492,NA,NA
"ALNC750525HSNMVR08",NA,NA,3,1,1,1,NA,NA,1259836,669748,704997,494528
"ALNF860517MDFMZT09",1,NA,1,3,NA,1,552727,NA,3100000,1603275,NA,550507
"ALNM781020HSNTVR01",NA,5,NA,NA,NA,NA,NA,928521,NA,NA,NA,NA
"ALNP750102HPUMGD03",1,NA,NA,3,NA,NA,1100000,NA,NA,1759273,NA,NA
"ALOÁ860107HAGVRG09",NA,3,NA,1,NA,NA,NA,1297229,NA,534026,NA,NA
"ALOD800420MVZCTN07",1,NA,3,2,NA,NA,1100000,NA,2067676,1328199,NA,NA
"ALOL720726MAGBVS07",NA,2,NA,NA,NA,2,NA,892485,NA,NA,NA,1084476
"ALOL890627HVZMSN08",NA,5,NA,NA,NA,NA,NA,1077561,NA,NA,NA,NA
"ALOM730319MDFNVT03",NA,2,4,1,NA,NA,NA,1052072,6043078,570775,NA,NA
"ALOS820902MSNNTR07",NA,4,NA,2,NA,NA,NA,1699640,NA,787591,NA,NA
"ALPA781114HDFCGD09",NA,NA,2,4,NA,2,NA,NA,549217,2308809,NA,1445606
"ALPF790902HDFCDD07",NA,2,NA,1,NA,NA,NA,912457,NA,305647,NA,NA
"ALPJ880925HSNBDN08",1,3,NA,1,NA,NA,316801,1394220,NA,459787,NA,NA
"ALRA771119HDFCJX07",2,NA,3,2,NA,NA,1692401,NA,1906726,1158658,NA,NA
"ALRF790914HDFRLD09",3,NA,2,2,NA,1,2351028,NA,1003921,1210377,NA,414045
"ALRJ750025MAGMZS08",NA,2,NA,NA,NA,NA,NA,515431,NA,NA,NA,NA
"ALRN780509MAGJMC03",NA,4,NA,1,NA,NA,NA,1714212,NA,352000,NA,NA
"ALRR770023HSNCSN04",1,3,NA,1,NA,NA,363567,1421772,NA,579564,NA,NA
"ALSA750327MAGTRF09",NA,5,NA,1,NA,NA,NA,2324849,NA,355633,NA,NA
"ALSC781122HPUNLR09",NA,3,NA,NA,NA,NA,NA,1141890,NA,NA,NA,NA
"ALSE840424HDFTDM09",NA,4,NA,3,NA,NA,NA,1813018,NA,1380332,NA,NA
"ALSG861111MDFMZR01",1,2,NA,1,NA,NA,447940,995895,NA,573081,NA,NA
"ALSJ850024MDFTLR09",1,NA,1,3,1,2,430534,NA,2e+06,1747427,567564,1053690
"ALSM710526MPUNLR02",1,1,NA,1,NA,NA,492622,467096,NA,579597,NA,NA
"ALSV760916HAGNLC07",1,2,NA,1,NA,NA,525461,976543,NA,598698,NA,NA
"ALSX770823HPUCLC06",NA,NA,3,1,1,NA,NA,NA,4495142,491900,671460,NA
"ALTC830016MAGCFR03",1,NA,3,1,1,1,571109,NA,4269213,444900,671286,759418
"ALTF710622MAGCRL05",NA,7,NA,NA,NA,NA,NA,1132764,NA,NA,NA,NA
"ALTZ800004HPUNLundefined01",NA,NA,3,2,NA,NA,NA,NA,3391726,1140928,NA,NA
"ALUJ870412MAGMSN04",1,NA,3,2,NA,2,771456,NA,4210120,1111402,NA,1407477
"ALUL840726MVZCBS05",NA,3,NA,3,NA,NA,NA,1352404,NA,1365495,NA,NA
"ALVB710902MAGCLN01",1,3,1,2,1,NA,412955,1853410,1700000,950448,605873,NA
"ALVD840027HVZMRG07",1,NA,NA,4,NA,NA,1100000,NA,NA,2113783,NA,NA
"ALVE891008MAGFCM03",1,1,2,2,NA,NA,524667,542191,4927616,1327295,NA,NA
"ALVM710408MAGNGR02",NA,6,NA,NA,NA,NA,NA,3097245,NA,NA,NA,NA
"ALVP710516MDFMLT05",NA,4,NA,NA,NA,NA,NA,904603,NA,NA,NA,NA
"ALVV741116HVZTLL09",NA,3,NA,NA,NA,NA,NA,1085137,NA,NA,NA,NA
"ALXI750023HVZCRS03",NA,1,2,1,NA,NA,NA,624772,2163194,565204,NA,NA
"ALXJ791024MVZNNL05",NA,NA,2,3,2,NA,NA,NA,3744337,1783448,1454961,NA
"ALYB890416MPUMNN04",1,NA,NA,2,2,NA,1100000,NA,NA,1276601,1130593,NA
"AMAP721004MVZYNL06",1,3,NA,NA,NA,NA,195468,685756,NA,NA,NA,NA
"AMBJ821105MPUYSL03",NA,NA,2,2,NA,1,NA,NA,2426185,928189,NA,759520
"AMCA840713HSNDRR04",NA,3,NA,2,NA,NA,NA,1481567,NA,831226,NA,NA
"AMCG761111HAGYNL07",NA,3,NA,NA,NA,NA,NA,546784,NA,NA,NA,NA
"AMDV760503MPUDLN08",2,NA,4,1,NA,NA,962131,NA,3492480,561096,NA,NA
"AMGA741007HSNYLL02",2,1,5,1,NA,NA,1201616,598813,2054756,441674,NA,NA
"AMGG820018HVZYNR05",NA,1,2,1,NA,1,NA,624131,4712082,397966,NA,737273
"AMMC840216HAGDDS06",NA,NA,2,4,NA,NA,NA,NA,698836,2526648,NA,NA
"AMRA720614MVZDMR09",1,1,NA,1,NA,1,560162,509521,NA,533893,NA,495431
"AMVM790302MAGDLR04",NA,NA,5,2,NA,1,NA,NA,6448672,1083463,NA,386647
"AMZG850212HAGYRL09",NA,5,NA,NA,NA,NA,NA,980874,NA,NA,NA,NA
"ANÁA710912HAGGLF09",NA,NA,1,1,NA,1,NA,NA,386726,414107,NA,440126
"ANAE780212HDFGML03",1,NA,2,4,NA,NA,1100000,NA,973933,3031917,NA,NA
"ANAY860320MVZYNL01",NA,3,NA,1,NA,NA,NA,1668389,NA,395807,NA,NA
"ANCM800913MSNYRN08",1,1,1,1,3,NA,389186,738346,4200000,784376,1718386,NA
"ANCM840227MSNGSN06",NA,4,NA,NA,NA,NA,NA,472296,NA,NA,NA,NA
"ANFR820807HSNGRS06",1,4,NA,NA,NA,NA,278945,830574,NA,NA,NA,NA
"ANHM830024MVZYRG08",1,NA,4,2,NA,NA,426209,NA,3698421,1267754,NA,NA
"ANLB730912HPUYBR06",NA,1,NA,2,NA,NA,NA,413532,NA,1023856,NA,NA
"ANLS730422MDFGZL09",NA,3,NA,NA,NA,NA,NA,1049611,NA,NA,NA,NA
"ANLS740514HDFGRL03",NA,4,NA,NA,NA,NA,NA,737514,NA,NA,NA,NA
"ANMC880413HSNGLR03",1,5,NA,NA,NA,NA,104072,994684,NA,NA,NA,NA
"ANME740805HAGGRT01",1,2,NA,2,NA,1,581475,1024835,NA,955164,NA,416013
"ANOR891118MAGGNN06",NA,NA,2,3,NA,2,NA,NA,629137,1902446,NA,1027799
"ANPE761019HVZGRT03",NA,2,NA,2,NA,NA,NA,950853,NA,866986,NA,NA
"ANPN760919HDFGDC07",2,3,NA,NA,NA,NA,646777,142927,NA,NA,NA,NA
"ANPT890222MSNGSM05",NA,4,NA,NA,NA,NA,NA,727008,NA,NA,NA,NA
"ANQD780107HAGGZN05",1,4,NA,1,NA,NA,385444,1949103,NA,405836,NA,NA
"ANRM760618HSNGVL05",1,NA,3,2,1,1,515744,NA,5688184,1208181,554030,657733
"ANRR730213HDFGYN01",NA,NA,3,1,1,1,NA,NA,3470429,430609,446550,614999
"ANSC820709MAGYRR07",NA,2,NA,NA,NA,NA,NA,377374,NA,NA,NA,NA
"ANSX790216HDFGDM09",NA,1,5,2,NA,NA,NA,648646,5299288,1069553,NA,NA
"ANTS811107HVZYJM09",NA,1,NA,2,NA,NA,NA,425010,NA,721245,NA,NA
"ANVC840619HSNGLR01",NA,4,NA,NA,NA,NA,NA,1038227,NA,NA,NA,NA
"ANVE810020MVZGRN07",2,3,NA,NA,NA,NA,152246,690829,NA,NA,NA,NA
"ANVE880903MSNYLS07",1,NA,3,4,NA,1,566790,NA,2554533,2312437,NA,430703
"ANZD711109MPUGMM05",NA,1,1,3,1,1,NA,529010,4200000,1799897,567068,414882
"APAA710920MAGRVundefined08",NA,NA,2,1,1,1,NA,NA,4887231,655599,648054,654728
"APCA760019HSNNND06",NA,3,NA,2,NA,NA,NA,1545903,NA,782146,NA,NA
"APCM791108MSNDHR02",1,1,2,2,NA,NA,1100000,631045,1246847,1135865,NA,NA
"APCM821125HAGNMR07",4,2,NA,NA,NA,NA,746292,500003,NA,NA,NA,NA
"APCT820812MAGRBM08",NA,3,NA,NA,NA,NA,NA,1593293,NA,NA,NA,NA
"APGP730110HAGRRL09",1,3,NA,1,NA,NA,344894,1600334,NA,566488,NA,NA
"APMD720920HAGDTN06",NA,4,NA,NA,NA,NA,NA,717505,NA,NA,NA,NA
"APMJ880905MPUDTN04",1,1,2,4,NA,NA,771344,761936,2086468,2547191,NA,NA
"APMR710414HSNDTQ08",NA,4,NA,2,1,NA,NA,1776454,NA,726170,555982,NA
"APMY800319HVZNRM07",NA,4,NA,NA,NA,NA,NA,806130,NA,NA,NA,NA
"APOM811115MSNRTG01",NA,1,1,NA,NA,1,NA,589025,442101,NA,NA,450451
"APPH730116HDFDZR02",NA,1,2,1,1,NA,NA,466182,3643532,723038,783873,NA
"APPJ851002MDFRSN08",3,2,2,NA,2,NA,2023691,993863,1491002,NA,1403985,NA
"APTB821121HAGNJR01",1,3,NA,NA,NA,NA,87565,382908,NA,NA,NA,NA
"APZL860412HDFNBS08",1,1,2,1,1,1,481031,380568,4648769,764534,610364,548973
"ARAA751016HDFMCR09",NA,2,NA,NA,NA,NA,NA,750678,NA,NA,NA,NA
"ARAK750813MVZCTM08",1,NA,3,2,2,2,451188,NA,1153108,1093097,850043,1355016
"ARAL820626HAGGRC02",2,NA,NA,3,2,NA,1680346,NA,NA,2074177,1096207,NA
"ARAM790216HVZGVN08",1,2,NA,1,NA,1,334420,845234,NA,540849,NA,355100
"ARAR700608HVZTGC06",NA,NA,2,4,NA,NA,NA,NA,4956465,2169688,NA,NA
"ARBA800020HPUGSN02",1,NA,1,3,NA,NA,511206,NA,2e+06,2001747,NA,NA
"ARBA820123HAGMRR04",NA,4,NA,NA,NA,NA,NA,775590,NA,NA,NA,NA
"ARBE711020HVZNRS06",NA,1,NA,2,NA,1,NA,355048,NA,893273,NA,575657
"ARBG740613MAGMTL09",2,1,NA,NA,NA,NA,1132771,330062,NA,NA,NA,NA
"ARBL840508MPUCRS06",NA,1,2,3,1,NA,NA,485747,697351,1609687,602062,NA
"ARCA730203HDFCRX07",NA,NA,1,2,NA,1,NA,NA,0,1315744,NA,435274
"ARCB790014MVZCLR05",1,NA,NA,3,1,1,1100000,NA,NA,1574589,521099,685313
"ARCF710912HAGMRR05",NA,4,NA,1,NA,NA,NA,1968907,NA,437833,NA,NA
"ARCM820824MPUGRR09",NA,4,1,NA,NA,NA,NA,1656376,447006,NA,NA,NA
"ARCP700712MAGRRT09",NA,4,NA,NA,NA,NA,NA,1660894,NA,NA,NA,NA
"ARCV740023HVZRRR04",1,2,NA,1,NA,NA,544084,968637,NA,460046,NA,NA
"ARDA871025HPUMLX05",NA,3,NA,NA,NA,NA,NA,479084,NA,NA,NA,NA
"ARDE800805MVZMMundefined07",1,NA,3,2,NA,NA,739540,NA,5366185,1012221,NA,NA
"ARDF720723MSNNLR07",NA,4,NA,NA,NA,NA,NA,1109774,NA,NA,NA,NA
"ARDL730213HVZGLC07",NA,6,NA,NA,NA,NA,NA,813945,NA,NA,NA,NA
"ARDM850810HDFVLT07",1,5,NA,NA,NA,NA,132867,1097834,NA,NA,NA,NA
"AREÁ830524MPUNPG03",NA,NA,3,2,NA,1,NA,NA,2849265,1432754,NA,498797
"ARFL841017MVZMNS08",1,NA,2,3,NA,1,494602,NA,387959,1791577,NA,520815
"ARGV780208HAGGRC07",NA,4,NA,NA,NA,NA,NA,737869,NA,NA,NA,NA
"ARHI710214MPUTLB07",1,2,NA,NA,NA,NA,558806,859083,NA,NA,NA,NA
