tipoOperacion,nombreEmpresaSociedadAsociacion,rfc,area,puesto,fechaIngreso,fechaEgreso,ubicacion,ambitoSector.clave,ambitoSector.valor,sector.clave,sector.valor,curp,nivelOrdenGobierno,ambitoPublico,nombreEntePublico,areaAdscripcion,empleoCargoComision,funcionPrincipal,experiencia
SIN_CAMBIOS,Cemex,CEME881014CC3,Comercial,Administrador,2002-05-18T12:12:48.253Z,2006-11-19T22:49:35.590Z,MX,PRV,PRIVADO,OTRO,Cemento y materiales,ABBA870314MSNRRN07,,,,,,,1646
SIN_CAMBIOS,Grupo Lala,GRUP861013CC3,Dirección,Administrador central,2007-06-25T12:41:38.647Z,2010-03-21T03:57:04.777Z,MX,PRV,PRIVADO,OTRO,Alimentos,ABBA870314MSNRRN07,,,,,,,999
SIN_CAMBIOS,American Axle Manufacturing de México,AMER891119CC3,Ventas,Gerente,2011-09-11T00:00:02.718Z,2014-08-07T19:55:14.089Z,MX,PRV,PRIVADO,OTRO,Automotriz y autopartes,ABBA870314MSNRRN07,,,,,,,1061
SIN_CAMBIOS,GNP,GNP791114AC1,Financiera,Analista,2000-08-07T23:50:56.805Z,2006-09-17T12:58:49.788Z,MX,PRV,PRIVADO,OTRO,Seguros y fianzas,ABBE760411HAGRRR08,,,,,,,2231
SIN_CAMBIOS,Grupo Coppel,GRUP811022CX2,Comercial,Administrador,2007-10-23T08:52:01.099Z,2010-08-15T06:23:06.267Z,MX,PRV,PRIVADO,OTRO,Comercio departamental,ABBE760411HAGRRR08,,,,,,,1026
SIN_CAMBIOS,Banco Azteca,BANC781017AC1,Financiera,Director de área,2011-09-04T23:58:52.308Z,2014-08-31T04:31:50.583Z,MX,PRV,PRIVADO,OTRO,Servicios financieros,ABBE760411HAGRRR08,,,,,,,1091
SIN_CAMBIOS,,,,,2000-12-02T01:50:34.318Z,2006-11-21T12:10:05.704Z,MX,PUB,Público,,,ABBY881018HDFRRR05,ESTATAL,LEGISLATIVO,INSTITUTO NACIONAL DE ECOLOGÍA Y CAMBIO CLIMÁTICO,Unidad de Concesiones y Servicios,Analista,Auxiliar,2180
SIN_CAMBIOS,Fresnillo PLC,FRES821127CX2,Financiera,Agente de ventas,2007-07-28T14:34:12.589Z,2010-01-12T02:45:59.218Z,MX,PRV,PRIVADO,OTRO,Minería,ABBY881018HDFRRR05,,,,,,,898
SIN_CAMBIOS,Grupo Carso,GRUP791116CX2,Logística,Atención a clientes,2011-03-09T22:54:52.082Z,2014-08-19T14:25:45.269Z,MX,PRV,PRIVADO,OTRO,Holding,ABBY881018HDFRRR05,,,,,,,1258
SIN_CAMBIOS,Mexichem,MEXI781012CX2,Comercial,Gerente Regional,2000-09-08T06:14:52.889Z,2006-08-24T07:25:29.966Z,MX,PRV,PRIVADO,OTRO,Química y petroquímica,ABCE790011HVZRLL09,,,,,,,2176
SIN_CAMBIOS,General Motors de México,GENE721119CX2,Financiera,Gerente,2007-07-10T13:02:27.046Z,2010-01-12T06:46:29.130Z,MX,PRV,PRIVADO,OTRO,Armadora,ABCE790011HVZRLL09,,,,,,,916
SIN_CAMBIOS,Grupo Bimbo,GRUP731019CX2,Ventas,Gerente Regional,2011-11-03T03:11:20.725Z,2014-10-06T08:00:58.345Z,MX,PRV,PRIVADO,OTRO,Alimentos,ABCE790011HVZRLL09,,,,,,,1068
SIN_CAMBIOS,,,,,2002-08-13T02:34:53.283Z,2006-10-04T20:50:08.637Z,MX,PUB,Público,,,ABCI870911MPURRN09,MUNICIPAL_ALCALDIA,ORGANO_AUTONOMO,INSTITUTO DE LOS MEXICANOS EN EL EXTERIOR,Unidad de Concesiones y Servicios,Jefe de Departamento,Seguimiento,1513
SIN_CAMBIOS,Samsung México,SAMS881112CC3,Comercial,Capturista de datos,2007-06-17T22:27:16.294Z,2010-03-24T15:33:51.627Z,MX,PRV,PRIVADO,OTRO,Electrónica de consumo,ABCI870911MPURRN09,,,,,,,1010
SIN_CAMBIOS,Aeropuertos y Servicios Auxiliares,AERO861118CX2,Recursos Humanos,Atención a clientes,2011-04-17T17:19:30.747Z,2014-10-07T07:22:35.371Z,MX,PRV,PRIVADO,OTRO,Servicios aeroportuarios,ABCI870911MPURRN09,,,,,,,1268
SIN_CAMBIOS,,,,,2000-08-04T05:41:49.183Z,2006-07-13T22:49:36.807Z,MX,PUB,Público,,,ABCR720008MSNRSB08,MUNICIPAL_ALCALDIA,LEGISLATIVO,SECRETARIA DE SALUD,Unidad de Concesiones y Servicios,Director de Area,Administracion de proyectos,2169
SIN_CAMBIOS,Arca Continental,ARCA721110CC3,Comercial,Administrador central,2007-09-21T14:48:45.849Z,2010-11-03T07:10:55.042Z,MX,PRV,PRIVADO,OTRO,Bebidas y cervezas,ABCR720008MSNRSB08,,,,,,,1138
SIN_CAMBIOS,América Móvil,AMÉR811116AB2,Ventas,Gerente,2011-11-07T06:48:57.252Z,2014-11-13T00:27:13.701Z,MX,PRV,PRIVADO,OTRO,Telecomunicaciones,ABCR720008MSNRSB08,,,,,,,1101
SIN_CAMBIOS,Grupo Financiero Santander México,GRUP751116AC1,Ventas,Administrador,2000-08-31T09:25:02.028Z,2006-08-07T07:23:03.644Z,MX,PRV,PRIVADO,OTRO,Servicios financieros,ABEI730715HAGRPN07,,,,,,,2166
SIN_CAMBIOS,Industrias CH,INDU711023CX2,Gerencia,Administrador central,2007-09-13T10:25:50.511Z,2010-10-25T02:16:59.706Z,MX,PRV,PRIVADO,OTRO,Siderurgia y metalurgia,ABEI730715HAGRPN07,,,,,,,1137
SIN_CAMBIOS,Alpek,ALPE771110AC1,Financiera,Administrador,2011-08-02T06:31:20.173Z,2014-09-12T12:49:17.356Z,MX,PRV,PRIVADO,OTRO,Química y petroquímica,ABEI730715HAGRPN07,,,,,,,1137
SIN_CAMBIOS,,,,,2001-12-27T16:07:57.081Z,2006-06-06T12:40:22.810Z,MX,PUB,Público,,,ABFJ871119MPURGN02,MUNICIPAL_ALCALDIA,EJECUTIVO,ADMINISTRACION PORTUARIA INTEGRAL DE GUAYMAS S.A. DE C.V.,Unidad de Concesiones y Servicios,Subadministrador,Coordinar,1621
SIN_CAMBIOS,Grupo BAL,GRUP801115CC3,Dirección,Administrador,2007-07-18T00:55:32.782Z,2010-10-27T14:53:24.526Z,MX,PRV,PRIVADO,OTRO,Holding,ABFJ871119MPURGN02,,,,,,,1197
SIN_CAMBIOS,Grupo Carso,GRUP781117CC3,Gerencia,Director de área,2011-02-25T18:59:45.113Z,2014-09-03T19:20:57.928Z,MX,PRV,PRIVADO,OTRO,Holding,ABFJ871119MPURGN02,,,,,,,1286
SIN_CAMBIOS,,,,,2000-04-18T11:44:29.397Z,2006-11-30T17:04:17.384Z,MX,PUB,Público,,,ABJG820014MAGYRR08,MUNICIPAL_ALCALDIA,ORGANO_AUTONOMO,PROCURADURIA FEDERAL DE LA DEFENSA DEL TRABAJO,Unidad de Concesiones y Servicios,Director de Area,Seguimiento,2417
SIN_CAMBIOS,Industrias Bachoco,INDU861021AC1,Dirección,Administrador de proyectos,2007-07-30T22:33:30.248Z,2010-10-07T21:40:24.713Z,MX,PRV,PRIVADO,OTRO,Alimentos,ABJG820014MAGYRR08,,,,,,,1164
SIN_CAMBIOS,Industrias Peñoles,INDU871114CC3,Dirección,Director de área,2011-03-01T23:14:18.196Z,2014-11-11T23:25:26.721Z,MX,PRV,PRIVADO,OTRO,Minería,ABJG820014MAGYRR08,,,,,,,1351
SIN_CAMBIOS,,,,,2000-05-28T20:56:37.287Z,2006-09-25T02:10:35.212Z,MX,PUB,Público,,,ABNS890812MVZRZN06,FEDERAL,ORGANO_AUTONOMO,COMISION NACIONAL DE BIOETICA,Unidad de Concesiones y Servicios,Titular de Unidad,Coordinar,2310
SIN_CAMBIOS,Daimler México,DAIM891112CC3,Dirección,Administrador,2007-08-10T19:50:15.677Z,2010-05-24T13:31:54.489Z,MX,PRV,PRIVADO,OTRO,Armadora,ABNS890812MVZRZN06,,,,,,,1017
SIN_CAMBIOS,Flextronics Manufacturing México,FLEX741018AB2,Ventas,Gerente Regional,2011-02-03T18:02:23.552Z,2014-09-23T13:56:47.806Z,MX,PRV,PRIVADO,OTRO,Electrónica,ABNS890812MVZRZN06,,,,,,,1327
SIN_CAMBIOS,,,,,2000-05-22T22:11:46.379Z,2006-08-09T08:39:53.775Z,MX,PUB,Público,,,ABPJ861006MSNYZN08,ESTATAL,JUDICIAL,LABORATORIOS DE BIOLOGICOS Y REACTIVOS DE MEXICO S.A. DE C.V.,Unidad de Concesiones y Servicios,Director General Adjunto,Coordinar,2269
SIN_CAMBIOS,Grupo Elektra,GRUP821124CX2,Dirección,Gerente Regional,2007-10-07T09:03:53.318Z,2010-07-08T15:29:26.376Z,MX,PRV,PRIVADO,OTRO,Holding,ABPJ861006MSNYZN08,,,,,,,1005
SIN_CAMBIOS,P&G México,P&G 841114CC3,Gerencia,Director de área,2011-03-31T07:21:40.907Z,2014-11-19T22:19:28.722Z,MX,PRV,PRIVADO,OTRO,Productos de consumo,ABPJ861006MSNYZN08,,,,,,,1329
SIN_CAMBIOS,,,,,2002-04-11T16:52:25.775Z,2006-09-06T16:59:05.782Z,MX,PUB,Público,,,ABRH880427HDFRNR02,MUNICIPAL_ALCALDIA,ORGANO_AUTONOMO,SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL ANTICORRUPCIÓN,Unidad de Concesiones y Servicios,Director de Area,Dirigir,1609
SIN_CAMBIOS,Ford de México,FORD751127CX2,Financiera,Administrador central,2007-11-24T04:03:32.051Z,2010-11-16T17:50:17.376Z,MX,PRV,PRIVADO,OTRO,Armadora,ABRH880427HDFRNR02,,,,,,,1088
SIN_CAMBIOS,Industrias Bachoco,INDU771117CX2,Gerencia,Administrador,2011-08-29T20:59:33.194Z,2014-08-21T06:04:43.178Z,MX,PRV,PRIVADO,OTRO,Alimentos,ABRH880427HDFRNR02,,,,,,,1087
SIN_CAMBIOS,,,,,2000-11-30T07:26:44.407Z,2006-10-01T02:16:52.547Z,MX,PUB,Público,,,ABVD720809HPUYLN06,MUNICIPAL_ALCALDIA,ORGANO_AUTONOMO,COMISION NACIONAL DE PROTECCION SOCIAL EN SALUD,Unidad de Concesiones y Servicios,Subdirector de Area,Dirigir,2130
SIN_CAMBIOS,Sigma Alimentos,SIGM761125CC3,Comercial,Gerente,2007-09-02T00:09:11.484Z,2010-08-10T07:11:48.714Z,MX,PRV,PRIVADO,OTRO,Alimentos,ABVD720809HPUYLN06,,,,,,,1073
SIN_CAMBIOS,Aeropuertos y Servicios Auxiliares,AERO741010AB2,Gerencia,Gerente,2011-05-18T02:01:12.130Z,2014-11-30T09:30:17.488Z,MX,PRV,PRIVADO,OTRO,Servicios aeroportuarios,ABVD720809HPUYLN06,,,,,,,1292
SIN_CAMBIOS,LyondellBasell de México,LYON801125AC1,Operativa,Capturista de datos,2001-05-03T04:21:53.774Z,2006-08-05T21:38:21.813Z,MX,PRV,PRIVADO,OTRO,Química y petroquímica,ACAA810708HVZÑYX01,,,,,,,1920
SIN_CAMBIOS,Valeo México,VALE881024CX2,Logística,Atención a clientes,2007-07-07T22:44:20.037Z,2010-06-15T15:21:09.992Z,MX,PRV,PRIVADO,OTRO,Automotriz y autopartes,ACAA810708HVZÑYX01,,,,,,,1073
SIN_CAMBIOS,Mabe,MABE791118CC3,Financiera,Capturista de datos,2011-05-20T15:56:33.328Z,2014-09-28T13:30:40.704Z,MX,PRV,PRIVADO,OTRO,Electrónica de consumo,ACAA810708HVZÑYX01,,,,,,,1226
SIN_CAMBIOS,,,,,2001-09-29T12:42:23.758Z,2006-07-14T13:15:26.845Z,MX,PUB,Público,,,ACAL860910HPUSRL09,MUNICIPAL_ALCALDIA,JUDICIAL,INSTITUTO FEDERAL DE TELECOMUNICACIONES,Unidad de Concesiones y Servicios,Director de Area,Dirigir,1749
SIN_CAMBIOS,MetLife México,METL871110CX2,Comercial,Gerente,2007-09-15T11:16:46.546Z,2010-11-20T01:29:05.190Z,MX,PRV,PRIVADO,OTRO,Seguros y fianzas,ACAL860910HPUSRL09,,,,,,,1161
SIN_CAMBIOS,Grupo Televisa,GRUP711118CX2,Comercial,Director de área,2011-01-10T14:23:48.307Z,2014-09-29T12:28:11.742Z,MX,PRV,PRIVADO,OTRO,Telecomunicaciones,ACAL860910HPUSRL09,,,,,,,1357
SIN_CAMBIOS,,,,,2002-08-20T15:12:33.961Z,2006-06-04T16:18:25.239Z,MX,PUB,Público,,,ACBC840518MVZSRM06,ESTATAL,JUDICIAL,EDUCAL S.A. DE C.V.,Unidad de Concesiones y Servicios,Jefe de Departamento,Auxiliar,1384
SIN_CAMBIOS,Jabil Circuit de México,JABI801115CC3,Logística,Atención a clientes,2007-11-29T03:01:18.512Z,2010-09-15T10:23:09.632Z,MX,PRV,PRIVADO,OTRO,Electrónica,ACBC840518MVZSRM06,,,,,,,1021
SIN_CAMBIOS,Grupo Modelo,GRUP721125CC3,Ventas,Auxiliar,2011-05-28T18:27:01.471Z,2014-09-07T05:16:08.545Z,MX,PRV,PRIVADO,OTRO,Bebidas y cervezas,ACBC840518MVZSRM06,,,,,,,1197
SIN_CAMBIOS,Walmart de México,WALM701126AC1,Dirección,Gerente Regional,2001-03-14T07:50:38.997Z,2006-11-08T03:28:46.630Z,MX,PRV,PRIVADO,OTRO,Comercio autoservicio,ACBF881003HDFVRR01,,,,,,,2064
SIN_CAMBIOS,The Home Depot México,THE 821120AB2,Gerencia,Gerente,2007-06-24T17:43:23.903Z,2010-06-18T15:16:12.010Z,MX,PRV,PRIVADO,OTRO,Comercio especializado,ACBF881003HDFVRR01,,,,,,,1089
SIN_CAMBIOS,Grupo Carso,GRUP711023AB2,Comercial,Director de área,2011-04-03T10:36:46.588Z,2014-11-29T16:36:51.810Z,MX,PRV,PRIVADO,OTRO,Holding,ACBF881003HDFVRR01,,,,,,,1336
SIN_CAMBIOS,Valeo México,VALE861126AB2,Ventas,Auxiliar,2002-09-25T10:23:36.055Z,2006-07-11T06:09:08.245Z,MX,PRV,PRIVADO,OTRO,Automotriz y autopartes,ACBJ720419HSNVÑL09,,,,,,,1384
SIN_CAMBIOS,Grupo Empresarial Ángeles,GRUP701113CC3,Recursos Humanos,Repartidor,2007-09-05T06:21:37.555Z,2010-07-13T17:32:59.560Z,MX,PRV,PRIVADO,OTRO,Holding,ACBJ720419HSNVÑL09,,,,,,,1042
SIN_CAMBIOS,Jabil Circuit de México,JABI881015AB2,Operativa,Capturista de datos,2011-11-19T01:46:31.369Z,2014-08-05T18:09:03.278Z,MX,PRV,PRIVADO,OTRO,Electrónica,ACBJ720419HSNVÑL09,,,,,,,990
SIN_CAMBIOS,,,,,2002-10-22T11:11:03.619Z,2006-09-09T10:54:48.595Z,MX,PUB,Público,,,ACBL890308MVZÑÑS04,MUNICIPAL_ALCALDIA,JUDICIAL,TRIBUNAL FEDERAL DE JUSTICIA FISCAL Y ADMINISTRATIVA CON SEDE EN EL DISTRITO FEDERAL,Unidad de Concesiones y Servicios,Jefe de Departamento,Auxiliar,1417
SIN_CAMBIOS,Grupo Carso,GRUP741126CX2,Comercial,Atención a clientes,2007-09-17T17:20:39.549Z,2010-04-09T01:26:45.271Z,MX,PRV,PRIVADO,OTRO,Holding,ACBL890308MVZÑÑS04,,,,,,,934
SIN_CAMBIOS,Iberdrola México,IBER791015CX2,Ventas,Auxiliar,2011-04-01T19:37:43.452Z,2014-11-17T00:27:01.924Z,MX,PRV,PRIVADO,OTRO,Electricidad,ACBL890308MVZÑÑS04,,,,,,,1325
SIN_CAMBIOS,,,,,2002-08-10T15:21:39.154Z,2006-09-23T05:13:39.398Z,MX,PUB,Público,,,ACBM850110MDFSRR05,ESTATAL,ORGANO_AUTONOMO,P.M.I. COMERCIO INTERNACIONAL S.A. DE C.V.,Unidad de Concesiones y Servicios,Director General Paraestatal B,Coordinar,1504
SIN_CAMBIOS,FEMSA Comercio (Oxxo),FEMS851012CX2,Ventas,Gerente,2007-08-07T09:06:54.981Z,2010-02-04T00:44:38.455Z,MX,PRV,PRIVADO,OTRO,Comercio autoservicio,ACBM850110MDFSRR05,,,,,,,911
SIN_CAMBIOS,Altos Hornos de México,ALTO711027AC1,Gerencia,Asesor,2011-02-10T04:30:04.697Z,2014-08-04T18:14:16.504Z,MX,PRV,PRIVADO,OTRO,Siderurgia y metalurgia,ACBM850110MDFSRR05,,,,,,,1271
SIN_CAMBIOS,,,,,2000-10-25T04:16:55.098Z,2006-10-31T09:40:46.435Z,MX,PUB,Público,,,ACBR890726HVZSRL02,ESTATAL,JUDICIAL,ADMINISTRACION PORTUARIA INTEGRAL DE MANZANILLO S.A. DE C.V.,Unidad de Concesiones y Servicios,Jefe de Departamento,Seguimiento,2197
SIN_CAMBIOS,Grupo Techint en México,GRUP811026CC3,Financiera,Atención a clientes,2007-09-11T09:56:36.724Z,2010-01-08T00:18:00.601Z,MX,PRV,PRIVADO,OTRO,Holding,ACBR890726HVZSRL02,,,,,,,849
SIN_CAMBIOS,Grupo Lala,GRUP711010AC1,Recursos Humanos,Capturista de datos,2011-10-19T07:26:40.810Z,2014-11-18T02:15:20.198Z,MX,PRV,PRIVADO,OTRO,Alimentos,ACBR890726HVZSRL02,,,,,,,1125
SIN_CAMBIOS,Continental México,CONT721016CC3,Gerencia,Gerente,2000-03-03T21:34:27.198Z,2006-06-24T08:18:29.266Z,MX,PRV,PRIVADO,OTRO,Automotriz y autopartes,ACBS730510MVZVRL09,,,,,,,2303
SIN_CAMBIOS,The Home Depot México,THE 701122CC3,Comercial,Administrador central,2007-10-15T19:10:43.545Z,2010-11-28T09:55:08.387Z,MX,PRV,PRIVADO,OTRO,Comercio especializado,ACBS730510MVZVRL09,,,,,,,1139
SIN_CAMBIOS,Vitro,VITR761122CX2,Dirección,Gerente Regional,2011-11-21T13:02:08.228Z,2014-09-07T13:58:52.114Z,MX,PRV,PRIVADO,OTRO,Vidrio y envases,ACBS730510MVZVRL09,,,,,,,1021
SIN_CAMBIOS,,,,,2001-03-23T16:31:04.682Z,2006-10-21T21:15:24.763Z,MX,PUB,Público,,,ACCA710224MAGÑHS05,MUNICIPAL_ALCALDIA,JUDICIAL,SECRETARIA DE HACIENDA Y CREDITO PUBLICO,Unidad de Concesiones y Servicios,Secretario/a de Estado A,Dirigir,2038
SIN_CAMBIOS,FEMSA Comercio (Oxxo),FEMS881022CX2,Ventas,Gerente Regional,2007-09-17T00:44:10.631Z,2010-04-29T04:05:02.925Z,MX,PRV,PRIVADO,OTRO,Comercio autoservicio,ACCA710224MAGÑHS05,,,,,,,955
SIN_CAMBIOS,Alfa,ALFA701014CX2,Ventas,Gerente Regional,2011-10-17T00:28:18.185Z,2014-08-05T02:38:41.765Z,MX,PRV,PRIVADO,OTRO,Holding,ACCA710224MAGÑHS05,,,,,,,1023
SIN_CAMBIOS,,,,,2002-08-27T16:33:38.714Z,2006-10-30T05:36:47.788Z,MX,PUB,Público,,,ACCI870702HVZVRN09,ESTATAL,ORGANO_AUTONOMO,FONDO ESPECIAL PARA FINANCIAMIENTOS AGROPECUARIOS,Unidad de Concesiones y Servicios,Jefe de Departamento,Seguimiento,1524
SIN_CAMBIOS,Organización Soriana,ORGA831027AC1,Operativa,Atención a clientes,2007-08-15T14:34:28.081Z,2010-11-07T05:56:01.156Z,MX,PRV,PRIVADO,OTRO,Comercio autoservicio,ACCI870702HVZVRN09,,,,,,,1179
SIN_CAMBIOS,Nemak,NEMA701020CC3,Logística,Auxiliar,2011-02-11T18:40:40.762Z,2014-09-28T02:03:20.246Z,MX,PRV,PRIVADO,OTRO,Automotriz y autopartes,ACCI870702HVZVRN09,,,,,,,1324
SIN_CAMBIOS,,,,,2002-07-14T15:55:28.586Z,2006-07-13T08:41:38.421Z,MX,PUB,Público,,,ACCM840324HVZVBR04,ESTATAL,JUDICIAL,FONDO DE OPERACION Y FINANCIAMIENTO BANCARIO A LA VIVIENDA,Unidad de Concesiones y Servicios,Director General Paraestatal C,Administrar,1459
SIN_CAMBIOS,KIA Motors México,KIA 881110AB2,Financiera,Asesor,2007-09-19T08:29:56.678Z,2010-01-04T20:08:32.893Z,MX,PRV,PRIVADO,OTRO,Armadora,ACCM840324HVZVBR04,,,,,,,838
SIN_CAMBIOS,Cinépolis,CINÉ751119CX2,Financiera,Director de área,2011-02-23T12:15:02.579Z,2014-09-19T17:25:42.041Z,MX,PRV,PRIVADO,OTRO,Entretenimiento,ACCM840324HVZVBR04,,,,,,,1304
SIN_CAMBIOS,FEMSA División Salud,FEMS811115AC1,Gerencia,Gerente,2002-10-03T09:22:35.657Z,2006-09-30T09:57:45.372Z,MX,PRV,PRIVADO,OTRO,Comercio de medicamentos,ACDJ891013HAGSMN05,,,,,,,1458
SIN_CAMBIOS,Walmart de México,WALM841125CX2,Dirección,Administrador,2007-08-23T06:02:12.925Z,2010-07-12T08:51:03.478Z,MX,PRV,PRIVADO,OTRO,Comercio autoservicio,ACDJ891013HAGSMN05,,,,,,,1054
SIN_CAMBIOS,Grupo Bimbo,GRUP821117CC3,Gerencia,Administrador de proyectos,2011-02-10T17:00:23.889Z,2014-08-12T17:58:44.730Z,MX,PRV,PRIVADO,OTRO,Alimentos,ACDJ891013HAGSMN05,,,,,,,1279
SIN_CAMBIOS,,,,,2002-06-18T10:22:17.720Z,2006-06-03T16:11:16.688Z,MX,PUB,Público,,,ACFA830526HDFVLN05,MUNICIPAL_ALCALDIA,EJECUTIVO,INSTITUTO MEXICANO DE LA RADIO,Unidad de Concesiones y Servicios,Director General Paraestatal B,Dirigir,1446
SIN_CAMBIOS,Cuauhtémoc Moctezuma,CUAU731126AB2,Dirección,Gerente,2007-07-05T04:44:03.306Z,2010-05-11T04:58:57.139Z,MX,PRV,PRIVADO,OTRO,Bebidas y cervezas,ACFA830526HDFVLN05,,,,,,,1041
SIN_CAMBIOS,Grupo Comercial Chedraui,GRUP801021AC1,Ventas,Director de área,2011-04-18T12:29:20.600Z,2014-11-25T01:33:46.668Z,MX,PRV,PRIVADO,OTRO,Comercio autoservicio,ACFA830526HDFVLN05,,,,,,,1316
SIN_CAMBIOS,Grupo Xignux,GRUP721122AB2,Recursos Humanos,Auxiliar,2000-05-27T13:11:31.371Z,2006-09-15T04:21:58.979Z,MX,PRV,PRIVADO,OTRO,Holding,ACFX720301MVZVLM02,,,,,,,2301
SIN_CAMBIOS,Grupo Carso,GRUP781110CX2,Financiera,Capturista de datos,2007-09-01T01:14:54.877Z,2010-03-16T11:09:51.321Z,MX,PRV,PRIVADO,OTRO,Holding,ACFX720301MVZVLM02,,,,,,,927
SIN_CAMBIOS,Grupo Financiero Banorte,GRUP891024CC3,Financiera,Capturista de datos,2011-01-05T03:54:48.062Z,2014-08-30T13:57:43.720Z,MX,PRV,PRIVADO,OTRO,Servicios financieros,ACFX720301MVZVLM02,,,,,,,1333
SIN_CAMBIOS,,,,,2002-05-20T00:10:47.359Z,2006-10-29T14:44:26.588Z,MX,PUB,Público,,,ACLJ860822MVZSYM06,ESTATAL,LEGISLATIVO,GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO S.A. DE C.V.,Unidad de Concesiones y Servicios,Subadministrador,Dirigir,1623
SIN_CAMBIOS,Cuauhtémoc Moctezuma,CUAU871011CX2,Ventas,Gerente,2007-06-25T10:33:32.633Z,2010-03-02T17:39:12.971Z,MX,PRV,PRIVADO,OTRO,Bebidas y cervezas,ACLJ860822MVZSYM06,,,,,,,981
SIN_CAMBIOS,Cemex,CEME891018CC3,Financiera,Gerente Regional,2011-05-24T07:34:10.735Z,2014-10-02T12:24:03.345Z,MX,PRV,PRIVADO,OTRO,Cemento y materiales,ACLJ860822MVZSYM06,,,,,,,1227
SIN_CAMBIOS,,,,,2001-06-20T19:34:33.025Z,2006-08-26T23:58:39.643Z,MX,PUB,Público,,,ACMD880226HSNSTN02,ESTATAL,LEGISLATIVO,SERVICIO POSTAL MEXICANO,Unidad de Concesiones y Servicios,Subadministrador,Seguimiento,1893
SIN_CAMBIOS,Daimler México,DAIM761025CX2,Financiera,Administrador central,2007-10-17T20:00:23.687Z,2010-11-20T02:38:34.376Z,MX,PRV,PRIVADO,OTRO,Armadora,ACMD880226HSNSTN02,,,,,,,1129
