tipoOperacion,titular,numeroCuentaContrato,porcentajeIncrementoDecremento,tipoInversion.clave,tipoInversion.valor,subTipoInversion.clave,subTipoInversion.valor,localizacionInversion.pais,localizacionInversion.institucionRazonSocial,localizacionInversion.rfc,saldoFechaConclusion.valor,saldoFechaConclusion.moneda,curp_funcionario,subTipoInversion.tipoInversion
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",74275242,-3%,SEGR,SEGUROS,PFTE,PRÉSTAMOS A FAVOR DE UN TERCERO,MX,"Leyva, Korta hernandez and Santana",6baa7a6f-d7c7-41a9-b2dc-efd28693bfba,47859990.0,MXN,ACBM850110MDFSRR05,AFOT
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",30702487,5%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Fajardo - Quiñones,4f4d5a63-e6e0-42b6-ab97-3798c2c893e5,28206.0,MXN,ACBR890726HVZSRL02,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",24904722,-7%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Rodrígez S.L.,c46365f8-71d0-4ee9-a6e5-40f6438f5524,20060462.0,MXN,ACBS730510MVZVRL09,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",13594891,12%,SEGR,SEGUROS,SEGV,SEGURO DE VIDA,MX,Armendáriz S.A.,57892bd0-ac2e-4b52-86f7-3aa55a2da719,34095467.0,MXN,ACBS730510MVZVRL09,SEGR
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",26312927,13%,BANC,BANCARIA,SSIN,SEGURO DE SEPARACIÓN INDIVIDUALIZADO,MX,Villalpando Hermanos,f29ad160-5d44-4ecf-a586-3720df2c812d,27803433.0,MXN,ACBS730510MVZVRL09,SEGR
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",25531521,-6%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,"Salcido, Reyna and Quiroz",b9cf7c22-720d-40d9-81c2-4b12bd65e324,35166278.0,MXN,ACCA710224MAGÑHS05,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",16030857,-12%,BANC,BANCARIA,FIDE,FIDEICOMISOS,MX,Garibay Hermanos,98916db4-907e-4d93-9b66-7082041253f5,28313638.0,MXN,ACCA710224MAGÑHS05,AFOT
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",25688407,1%,VBUR,VALORES BURSÁTILES,IFEX,INVERSIONES FINANCIERAS EN EL EXTRANJERO,MX,Aragón - Espinoza,9904d491-4823-486e-8b7a-88a73f20ebcd,34958538.0,MXN,ACCA710224MAGÑHS05,FINV
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",47621974,22%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Delafuente e Hijos,3e773063-abab-4734-b634-48f36c5d78c8,61705.0,MXN,ACCI870702HVZVRN09,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",31764003,10%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,"Barrios, Colunga and Roque",abdf4033-6328-4af7-a14c-47db12e1b7ce,25516756.0,MXN,ACCM840324HVZVBR04,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",51150437,14%,VBUR,VALORES BURSÁTILES,CMAS,CUENTA MAESTRA,MX,Lugo - Chavarría,0db0f230-4102-4286-978d-64c2dc826184,6289053.0,MXN,ACCM840324HVZVBR04,BANC
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",42986926,14%,AFOT,AFORES Y OTROS,SOIN,SOCIEDADES DE INVERSIÓN,MX,Candelaria S.A.,0e0a7e3d-5de5-4ab4-aeb2-f72d74086f45,19817427.0,MXN,ACCM840324HVZVBR04,FINV
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",56731382,-22%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Calvillo - Araña,7f215422-5059-4b44-b920-2aab4fba5243,451422.0,MXN,ACDJ891013HAGSMN05,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",63286701,5%,SEGR,SEGUROS,SEGI,SEGURO DE INVERSIÓN,MX,Rosas Hermanos,9721a446-ba40-43ec-9054-95acffa37bb5,573792.0,MXN,ACDJ891013HAGSMN05,SEGR
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",40303748,14%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,"Tamayo, Serna and Benavídez",3f6d0628-133e-4fb8-aa20-2a16e38aa79f,48995904.0,MXN,ACFA830526HDFVLN05,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",54524782,-13%,BANC,BANCARIA,CAHO,CUENTA DE AHORRO,MX,Leyva Hermanos,ae7465d8-abfb-4ff2-bf64-a7af5bb01506,16858689.0,MXN,ACFA830526HDFVLN05,BANC
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",01892360,3%,AFOT,AFORES Y OTROS,BGUB,BONOS GUBERNAMENTALES,MX,Kardache soto - Manzanares,ca884c8e-58b2-44fc-a10e-605b2d246ecb,18100867.0,MXN,ACFA830526HDFVLN05,VBUR
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",68625309,17%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Gutiérrez S.A.,a51c27fd-79f1-42a0-933e-1eb97e04a41d,27991.0,MXN,ACFX720301MVZVLM02,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",01716226,13%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Lemus - Farías,b09ee961-e9de-4f00-894e-c9bce5e5be5e,270353.0,MXN,ACLJ860822MVZSYM06,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",40957139,21%,POMM,POSESIÓN DE MONEDAS Y/O METALES,CEJE,CUENTA EJE,MX,"Rael, Aponte and Arevalo",c8789a40-e2d1-430e-b155-afe8526ce2b8,202701.0,MXN,ACLJ860822MVZSYM06,BANC
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",20697379,-6%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Castro Hermanos,f086a922-d5b0-4632-b991-da94cf50201b,494878.0,MXN,ACMD880226HSNSTN02,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",19574491,-10%,BANC,BANCARIA,CEJE,CUENTA EJE,MX,Xana - Ramírez,93d7cc98-ff13-4ba1-867d-0f1dcef4d19c,272558.0,MXN,ACMD880226HSNSTN02,BANC
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",32543576,-16%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,"Montañez, Lerma and Enríquez",6742e58d-1d28-45a5-bedf-ae5a69910342,15571.0,MXN,ACMF780212HVZÑNT02,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",13004785,10%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Morales S.A.,2c068440-f933-470b-b94b-0544264f0bfc,29076008.0,MXN,ACMN740927MPUVNT03,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",31299992,-4%,AFOT,AFORES Y OTROS,DPLA,DEPÓSITO A PLAZOS,MX,Garrido S.A.,5b67e48b-49e2-4eb7-ba93-f43e347c689d,26936036.0,MXN,ACMN740927MPUVNT03,BANC
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",84373169,10%,ORPM,ORGANIZACIONES PRIVADAS Y/O MERCANTILES,ONZT,ONZAS TROY,MX,Burgos S.A.,2b62d1c8-edfe-4033-9a34-347e3d65d1b2,14864100.0,MXN,ACMN740927MPUVNT03,POMM
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",56998490,-23%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Agosto - Monroy,31fa3e8d-3f4d-4f73-a73c-2e082a3e040c,25548.0,MXN,ACNT700507MSNVRD08,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",80095117,15%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,"Gil, Ontiveros and Olivo",758ccc27-4db4-421f-8915-c52b715164d6,1486726.0,MXN,ACOC721011MSNVVN08,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",06377119,-21%,POMM,POSESIÓN DE MONEDAS Y/O METALES,ABAN,ACEPTACIONES BANCARIAS,MX,"Marrero, Niño and Montemayor",17b0e3e4-f16f-4556-8b63-a43f1ba3affc,101887.0,MXN,ACOC721011MSNVVN08,VBUR
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",04178792,-16%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Zavala - Gracia,bf061e89-84fc-41ba-b0e9-3f972ef9f617,6366.0,MXN,ACQA860808HDFVZL07,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",13529022,12%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Lovato S.A.,34d6fd2d-65d6-49e0-8e60-284494cee67a,1198014.0,MXN,ACRA880311MVZÑLX04,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",98658096,-12%,BANC,BANCARIA,CEJE,CUENTA EJE,MX,Soliz S.L.,89007cb2-393c-427b-ae44-dfd795d5a287,222442.0,MXN,ACRA880311MVZÑLX04,BANC
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",85691166,15%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Montaño S.L.,7d50b3d3-1bc7-46ae-ba2f-cf0329f4adaa,569561.0,MXN,ACRG771021HAGÑYL04,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",28756012,-12%,VBUR,VALORES BURSÁTILES,ABAN,ACEPTACIONES BANCARIAS,MX,Bañuelos e Hijos,fec08755-a1d4-465d-8841-df4573ddef82,647073.0,MXN,ACRG771021HAGÑYL04,VBUR
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",94397887,5%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Kamal - Urías,1d6cfb01-ddeb-44fb-82ea-db54a62eefd9,3108757.0,MXN,ACSE870702MAGVRundefined01,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",53882849,-6%,BANC,BANCARIA,CAHO,CUENTA DE AHORRO,MX,Quiroz - Solís,618c317b-393b-43b5-bcce-fc41cfed3b17,13781221.0,MXN,ACSE870702MAGVRundefined01,BANC
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",88170388,4%,BANC,BANCARIA,ADER,ACCIONES Y DERIVADOS,MX,"Solorio, Murillo and Xiana",e85192cd-4038-4777-9f83-f2410ea1bd7d,54753986.0,MXN,ACSE870702MAGVRundefined01,VBUR
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",95167702,12%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,"Galván, Ocasio and Gallardo",1613455d-6f0f-43f8-aa69-785fb8c98f2a,482104.0,MXN,ACTJ871012MAGVVS01,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",98367652,8%,AFOT,AFORES Y OTROS,ADER,ACCIONES Y DERIVADOS,MX,Badillo Hermanos,0b6049f2-35d6-4557-910c-b4cc9de2dc0d,327247.0,MXN,ACTJ871012MAGVVS01,VBUR
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",11855171,11%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Matos Hermanos,fee1c043-f4eb-4141-a59c-7792782a2569,372525.0,MXN,ACVE800525MDFÑRL04,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",98772937,-11%,SEGR,SEGUROS,CMAS,CUENTA MAESTRA,MX,Hinojosa S.A.,59adf166-1c4c-4110-ac23-0c39cebd0cdc,315322.0,MXN,ACVE800525MDFÑRL04,BANC
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",01960531,-5%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Polanco - Sosa,5e98e3ff-85a0-4a59-a22f-ad6857b8e4e9,31637060.0,MXN,ADAJ870425HAGMML03,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",67986149,4%,VBUR,VALORES BURSÁTILES,PCOM,PAPEL COMERCIAL,MX,Hernádez Hermanos,40dd56a4-2136-4542-a5ff-4d19c9f2cee0,35947156.0,MXN,ADAJ870425HAGMML03,VBUR
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",17859384,4%,BANC,BANCARIA,ACCI,ACCIONES,MX,Zúñiga S.A.,1b2efc8a-d2ec-4348-adb5-a00d969af98e,22173591.0,MXN,ADAJ870425HAGMML03,ORPM
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",90788153,21%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Contreras - Alarcón,01edbffc-92a6-407e-8449-c3aa3c3d7b0d,17446.0,MXN,ADCA841108MSNMDD06,
MODIFICAR,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",80040994,8%,BANC,BANCARIA,CNOM,CUENTA DE NÓMINA,MX,Gálvez - Romo,e14904f7-61d2-4f73-a340-e909d27cfd6f,7095055.0,MXN,ADCL860208HSNMLS05,
