curp_funcionario,tipoOperacion,titular,porcentajePropiedad,formaPago,valorAdquisicion,fechaAdquisicion,datoIdentificacion,valorConformeA,tipoInmueble.clave,tipoInmueble.valor,superficieTerreno.valor,superficieTerreno.unidad,superficieConstruccion.valor,superficieConstruccion.unidad,formaAdquisicion.clave,formaAdquisicion.valor,domicilioMexico.calle,domicilioMexico.numeroExterior,domicilioMexico.numeroInterior,domicilioMexico.coloniaLocalidad,domicilioMexico.municipioAlcaldia.clave,domicilioMexico.municipioAlcaldia.valor,domicilioMexico.entidadFederativa.clave,domicilioMexico.entidadFederativa.valor,domicilioMexico.codigoPostal,tipo.clave,tipo.valor,tercero,transmisor,valorAdquisicion.valor,valorAdquisicion.moneda,domicilioExtranjero.calle,domicilioExtranjero.numeroExterior,domicilioExtranjero.numeroInterior,domicilioExtranjero.ciudadLocalidad,domicilioExtranjero.estadoProvincia,domicilioExtranjero.pais,domicilioExtranjero.codigoPostal,motivoBaja.clave,motivoBaja.valor
ACAL860910HPUSRL09,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,NO APLICA,4703395.0,2008-07-01T10:11:14.933Z,4a3a2b65-c2b9-4a60-a924-ffe76b10b9ea,ESCRITURA PÚBLICA,CASA,CASA,126.0,m2,103.0,m2,PRM,PERMUTA,Patricio Prolongación,896,,Laredo,003,Tecate,02,Baja California,21716,LOCC,LOCAL COMERCIAL,,,,,,,,,,,,,
ACBC840518MVZSRM06,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CRÉDITO,1717838.0,1997-10-06T06:06:17.986Z,f05ed28d-a15d-421d-9ac7-7f84a701b983,ESCRITURA PÚBLICA,CASA,CASA,140.0,m2,56.0,m2,CPV,COMPRAVENTA,Cristina Calle,1415,,Lomas de capula,015,Doctor Coss,19,Nuevo León,64966,DPTO,DEPARTAMENTO,,,,,,,,,,,,,
ACBF881003HDFVRR01,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,NO APLICA,1301049.0,1990-11-01T16:26:21.701Z,3f7dcc63-47d2-4cf7-a428-18dc9cdc8a34,ESCRITURA PÚBLICA,CASA,CASA,110.0,m2,108.0,m2,CSN,CESIÓN,Emiliano Plaza,1683,,Lomas de capula,036,Santiago Maravatío,11,Guanajuato,36733,CASA,CASA,,,,,,,,,,,,,
ACBJ720419HSNVÑL09,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CRÉDITO,1248643.0,1974-05-02T05:07:44.254Z,65e10d4f-8e40-42e2-91b1-90ed3a3354fb,ESCRITURA PÚBLICA,CASA,CASA,82.0,m2,63.0,m2,CPV,COMPRAVENTA,Gonzalo Puente,367,,Granjas,010,Jalpa de Méndez,27,Tabasco,86102,CASA,CASA,,,,,,,,,,,,,
ACBM850110MDFSRR05,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,88891545.0,1972-09-14T04:57:25.781Z,3fa7dfe6-0c64-4a45-b83e-fdf29f7e8159,ESCRITURA PÚBLICA,CASA,CASA,478.0,m2,350.0,m2,CPV,COMPRAVENTA,José Miguel Extramuros,1336,,Ejercito Nacional,095,Teuchitlán,14,Jalisco,44466,DPTO,DEPARTAMENTO,,,,,,,,,,,,,
ACBM850110MDFSRR05,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,43042118.0,1994-10-08T12:06:13.013Z,48c296a2-d076-4d21-b662-f301db61ddbb,ESCRITURA PÚBLICA,CASA,CASA,5892.0,m2,5802.0,m2,CPV,COMPRAVENTA,Estela Ferrocarril,1465,,Venustiano Carranza,002,Acuña,05,Coahuila de Zaragoza,25455,RACH,RANCHO,,,,,,,,,,,,,
ACBM850110MDFSRR05,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,91601187.0,1972-01-23T00:55:36.315Z,86bd0000-455a-460d-aa75-623e56e55b41,ESCRITURA PÚBLICA,CASA,CASA,396.0,m2,369.0,m2,CPV,COMPRAVENTA,Débora Riera,1381,,Hidalgo,011,Ruíz,18,Nayarit,63598,CASA,CASA,,,,,,,,,,,,,
ACBR890726HVZSRL02,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CRÉDITO,1479159.0,1989-06-29T08:39:41.529Z,3120c05e-ac8f-48e5-844d-e1148ccfe3ba,ESCRITURA PÚBLICA,CASA,CASA,130.0,m2,78.0,m2,CPV,COMPRAVENTA,Arteaga Subida,772,,Morelos,008,Calotmul,31,Yucatán,97245,DPTO,DEPARTAMENTO,,,,,,,,,,,,,
ACBS730510MVZVRL09,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,135377173.0,1998-07-29T20:34:30.758Z,998c746e-a76c-4b94-8d3c-f520f761e7a8,ESCRITURA PÚBLICA,CASA,CASA,5027.0,m2,3258.0,m2,CPV,COMPRAVENTA,Alan Masía,37,,Centro,019,La Yesca,18,Nayarit,63928,RACH,RANCHO,,,,,,,,,,,,,
ACBS730510MVZVRL09,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,67516795.0,1997-03-08T09:22:29.699Z,2acfc714-640b-4409-85b5-bd9584f38e64,ESCRITURA PÚBLICA,CASA,CASA,489.0,m2,485.0,m2,CPV,COMPRAVENTA,Pablo Chalet,1937,,Moctezuma,006,Pabellón de Arteaga,01,Aguascalientes,20963,LOCC,LOCAL COMERCIAL,,,,,,,,,,,,,
ACBS730510MVZVRL09,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,79050016.0,2007-03-25T16:39:29.141Z,37c33fe8-b039-46ea-9912-6da6ef4440bb,ESCRITURA PÚBLICA,CASA,CASA,385.0,m2,331.0,m2,CPV,COMPRAVENTA,Rodríguez Aldea,226,,Del Valle,202,San Juan Lachao,20,Oaxaca,68177,CASA,CASA,,,,,,,,,,,,,
ACCA710224MAGÑHS05,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,137657410.0,2007-10-05T17:22:14.580Z,bf9bce64-4566-43cf-a587-dad7b1efb9e9,ESCRITURA PÚBLICA,CASA,CASA,5511.0,m2,4810.0,m2,CPV,COMPRAVENTA,Sebastian Jardines,41,,Ignacio Zaragoza,006,San Quintín,02,Baja California,21110,TERR,TERRENO,,,,,,,,,,,,,
ACCA710224MAGÑHS05,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,NO APLICA,40771422.0,2004-07-23T04:22:23.205Z,8b7dfcd6-0518-47d9-b83a-b0e6e495462c,ESCRITURA PÚBLICA,CASA,CASA,4661.0,m2,2377.0,m2,CSN,CESIÓN,Alejandro Avenida,263,,Ignacio Zaragoza,037,Juárez,08,Chihuahua,31949,RACH,RANCHO,,,,,,,,,,,,,
ACCA710224MAGÑHS05,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CRÉDITO,80954285.0,1974-12-13T03:31:12.587Z,f85bb3f5-8613-4ed9-843a-7a05874f7ea4,ESCRITURA PÚBLICA,CASA,CASA,5732.0,m2,5422.0,m2,CPV,COMPRAVENTA,Abrego Huerta,1866,,Laredo,003,La Paz,03,Baja California Sur,23453,EDIF,EDIFICIO,,,,,,,,,,,,,
ACCI870702HVZVRN09,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,NO APLICA,1677051.0,1978-08-04T15:35:46.714Z,b685bbc4-f958-4857-8944-467874a00268,ESCRITURA PÚBLICA,CASA,CASA,85.0,m2,69.0,m2,HRN,HERENCIA,Esquivel Ramal,640,,Laredo,004,Tijuana,02,Baja California,21908,DPTO,DEPARTAMENTO,,,,,,,,,,,,,
ACCM840324HVZVBR04,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,NO APLICA,52377332.0,1973-09-29T21:21:17.066Z,65532610-da91-4934-b4fd-103d41a1fdc4,ESCRITURA PÚBLICA,CASA,CASA,4185.0,m2,4106.0,m2,PRM,PERMUTA,Ricardo Colonia,1089,,Justo Sierra,032,San Juan de Sabinas,05,Coahuila de Zaragoza,25742,RACH,RANCHO,,,,,,,,,,,,,
ACCM840324HVZVBR04,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CRÉDITO,42831569.0,1976-04-27T09:56:16.590Z,1b64a424-384c-46db-b053-f4f11ae41c8d,ESCRITURA PÚBLICA,CASA,CASA,6100.0,m2,5918.0,m2,CPV,COMPRAVENTA,Soria Poblado,677,,Lomas de capula,013,San Pedro Lagunillas,18,Nayarit,63765,RACH,RANCHO,,,,,,,,,,,,,
ACCM840324HVZVBR04,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,144076821.0,1978-08-05T17:40:13.223Z,c404d7c6-ff3b-4714-b997-aab462c594a2,ESCRITURA PÚBLICA,CASA,CASA,5255.0,m2,3823.0,m2,CPV,COMPRAVENTA,Abril Manzana,1047,,Centro,065,San Felipe,31,Yucatán,97218,TERR,TERRENO,,,,,,,,,,,,,
ACDJ891013HAGSMN05,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,2842265.0,1987-02-07T15:51:51.824Z,d729d5b2-2596-438d-8b3c-0984520d3958,ESCRITURA PÚBLICA,CASA,CASA,157.0,m2,119.0,m2,CPV,COMPRAVENTA,Deleón Polígono,680,,Independencia,003,Isla Mujeres,23,Quintana Roo,77556,CASA,CASA,,,,,,,,,,,,,
ACFA830526HDFVLN05,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,10605219.0,2008-12-04T01:30:39.463Z,17f13476-d4a1-4567-9f89-14d66147ca68,ESCRITURA PÚBLICA,CASA,CASA,457.0,m2,327.0,m2,CPV,COMPRAVENTA,Agosto Chalet,53,,Ejercito Nacional,077,San Lucas,16,Michoacán de Ocampo,58558,LOCC,LOCAL COMERCIAL,,,,,,,,,,,,,
ACFA830526HDFVLN05,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,21238267.0,1999-05-03T10:34:17.574Z,f05375e3-311f-4bb2-8905-c29e29cd3502,ESCRITURA PÚBLICA,CASA,CASA,6116.0,m2,5895.0,m2,CPV,COMPRAVENTA,Ponce Partida,875,,16 de septiembre,074,San Felipe del Progreso,15,México,50334,TERR,TERRENO,,,,,,,,,,,,,
ACFA830526HDFVLN05,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,146973657.0,1984-03-21T13:06:11.058Z,daa5cb69-415d-4d75-be2c-80c156767c1e,ESCRITURA PÚBLICA,CASA,CASA,3313.0,m2,2368.0,m2,CPV,COMPRAVENTA,Luz Explanada,1677,,Laredo,044,Jiménez,16,Michoacán de Ocampo,58646,EDIF,EDIFICIO,,,,,,,,,,,,,
ACFX720301MVZVLM02,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,NO APLICA,998071.0,2008-05-22T14:56:53.249Z,f44e53ef-8dcd-4b6a-ab83-25672fe31723,ESCRITURA PÚBLICA,CASA,CASA,88.0,m2,74.0,m2,HRN,HERENCIA,Isaac Ronda,1048,,Moctezuma,049,Madero,16,Michoacán de Ocampo,58167,CASA,CASA,,,,,,,,,,,,,
ACLJ860822MVZSYM06,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CRÉDITO,4550270.0,2007-04-27T13:12:20.523Z,018321c3-6403-4e37-8b28-cd5a9413a242,ESCRITURA PÚBLICA,CASA,CASA,140.0,m2,105.0,m2,CPV,COMPRAVENTA,Clara Masía,1327,,Laredo,017,Cuauhtémoc,08,Chihuahua,31829,BODG,BODEGA,,,,,,,,,,,,,
ACMD880226HSNSTN02,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,9485370.0,1972-09-17T04:06:29.018Z,7e0b8ad7-927b-4d6b-9719-63581f7b2e66,ESCRITURA PÚBLICA,CASA,CASA,80.0,m2,80.0,m2,CPV,COMPRAVENTA,Lorenzo Vía Pública,1304,,Marina Nacional,026,Santa Cruz Tlaxcala,29,Tlaxcala,90118,DPTO,DEPARTAMENTO,,,,,,,,,,,,,
ACMN740927MPUVNT03,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,122960521.0,1994-07-30T23:10:43.499Z,22052b8c-ce3a-47bd-9263-99349502cc45,ESCRITURA PÚBLICA,CASA,CASA,5837.0,m2,3611.0,m2,CPV,COMPRAVENTA,Olivares Lado,1758,,Ignacio Zaragoza,005,Huajicori,18,Nayarit,63762,EDIF,EDIFICIO,,,,,,,,,,,,,
ACMN740927MPUVNT03,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,66305202.0,1972-12-10T22:21:24.798Z,171e05b8-b68a-4bcd-8bef-5dd68bea6439,ESCRITURA PÚBLICA,CASA,CASA,304.0,m2,270.0,m2,CPV,COMPRAVENTA,Garza Partida,838,,Del Valle,058,El Naranjo,24,San Luis Potosí,78135,DPTO,DEPARTAMENTO,,,,,,,,,,,,,
ACMN740927MPUVNT03,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,20732339.0,1995-12-31T23:14:05.605Z,68180114-89c3-4fc4-88d4-d00000b6a2a7,ESCRITURA PÚBLICA,CASA,CASA,490.0,m2,273.0,m2,CPV,COMPRAVENTA,Quesada Prolongación,749,,Hidalgo,066,Pátzcuaro,16,Michoacán de Ocampo,58836,LOCC,LOCAL COMERCIAL,,,,,,,,,,,,,
ACOC721011MSNVVN08,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CRÉDITO,2887852.0,1970-06-06T07:05:50.278Z,f8f2a32a-2ba5-466a-8f2b-cad0edf7584e,ESCRITURA PÚBLICA,CASA,CASA,145.0,m2,89.0,m2,CPV,COMPRAVENTA,Alexis Muelle,337,,Marina Nacional,043,Susticacán,32,Zacatecas,98518,LOCC,LOCAL COMERCIAL,,,,,,,,,,,,,
ACRA880311MVZÑLX04,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CRÉDITO,8783179.0,1972-02-23T23:36:56.234Z,735c8690-1431-456e-9565-a89d5f1de1a8,ESCRITURA PÚBLICA,CASA,CASA,109.0,m2,100.0,m2,CPV,COMPRAVENTA,Dolores Lado,1051,,Marina Nacional,010,Calakmul,04,Campeche,24919,CASA,CASA,,,,,,,,,,,,,
ACRG771021HAGÑYL04,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CRÉDITO,8758323.0,1999-07-14T23:48:56.375Z,58cb686d-275d-4a74-b742-127cda453fdc,ESCRITURA PÚBLICA,CASA,CASA,167.0,m2,130.0,m2,CPV,COMPRAVENTA,Norma Bajada,1763,,Laredo,009,Jalapa,27,Tabasco,86673,BODG,BODEGA,,,,,,,,,,,,,
ACSE870702MAGVRundefined01,SIN_CAMBIOS,"[{'clave': 'DEC', 'valor': 'DECLARANTE'}]",100.0,CONTADO,30660838.0,1998-04-24T04:51:47.675Z,c305a0e1-ed78-4c78-b77a-d004e84e4a39,ESCRITURA PÚBLICA,CASA,CASA,489.0,m2,441.0,m2,CPV,COMPRAVENTA,Adorno Grupo,1179,,Lomas de capula,007,Choix,25,Sinaloa,80907,PALC,PALCO,,,,,,,,,,,,,
