curp,year,valor_vehiculos,valor_inmuebles,valor_inversiones,patrimonio_total
ABCI870911MPURRN09,2016,879111.0,0.0,12696.0,891807.0
ABCI870911MPURRN09,2017,879111.0,0.0,11807.0,890918.0
ABCI870911MPURRN09,2018,973170.0,0.0,12515.0,985685.0
ABCI870911MPURRN09,2019,973170.0,0.0,14267.0,987437.0
ABCI870911MPURRN09,2020,1074574.0,0.0,10842.0,1085416.0
ABCI870911MPURRN09,2021,1383366.0,0.0,0.0,1383366.0
ABCR720008MSNRSB08,2015,300762.0,8000717.0,0.0,8301479.0
ABCR720008MSNRSB08,2016,882153.0,8000717.0,1036395.0,9919265.0
ABCR720008MSNRSB08,2017,882153.0,8000717.0,1181489.0,10064359.0
ABCR720008MSNRSB08,2018,1310468.0,8000717.0,956361.0,10267546.0
ABCR720008MSNRSB08,2019,1310468.0,8000717.0,980335.0,10291520.0
ABCR720008MSNRSB08,2020,1310468.0,8000717.0,1006850.0,10318035.0
ABCR720008MSNRSB08,2021,1839614.0,8000717.0,0.0,9840331.0
ABEI730715HAGRPN07,2015,2430342.0,165876450.0,0.0,168306792.0
ABEI730715HAGRPN07,2016,2430342.0,165876450.0,69117941.0,237424733.0
ABEI730715HAGRPN07,2017,2430342.0,165876450.0,66283683.0,234590475.0
ABEI730715HAGRPN07,2018,2430342.0,165876450.0,72022012.0,240328804.0
ABEI730715HAGRPN07,2019,2430342.0,165876450.0,68425286.0,236732078.0
ABEI730715HAGRPN07,2020,2430342.0,165876450.0,71128766.0,239435558.0
ABEI730715HAGRPN07,2021,2853620.0,165876450.0,0.0,168730070.0
ABFJ871119MPURGN02,2015,351456.0,2896678.0,0.0,3248134.0
ABFJ871119MPURGN02,2016,898746.0,2896678.0,1450772.0,5246196.0
ABFJ871119MPURGN02,2017,1239867.0,2896678.0,1242739.0,5379284.0
ABFJ871119MPURGN02,2018,1774082.0,2896678.0,1386280.0,6057040.0
ABFJ871119MPURGN02,2019,1774082.0,2896678.0,1407391.0,6078151.0
ABFJ871119MPURGN02,2020,1774082.0,2896678.0,1501238.0,6171998.0
ABFJ871119MPURGN02,2021,2135801.0,2896678.0,0.0,5032479.0
ABJG820014MAGYRR08,2015,332567.0,3917190.0,0.0,4249757.0
ABJG820014MAGYRR08,2016,332567.0,3917190.0,970634.0,5220391.0
ABJG820014MAGYRR08,2017,332567.0,3917190.0,821924.0,5071681.0
ABJG820014MAGYRR08,2018,758067.0,3917190.0,827455.0,5502712.0
ABJG820014MAGYRR08,2019,758067.0,3917190.0,811586.0,5486843.0
ABJG820014MAGYRR08,2020,1331031.0,3917190.0,757412.0,6005633.0
ABJG820014MAGYRR08,2021,1705675.0,3917190.0,0.0,5622865.0
ABNS890812MVZRZN06,2015,1067549.0,89259349.0,0.0,90326898.0
ABNS890812MVZRZN06,2016,2251678.0,89259349.0,79253484.0,170764511.0
ABNS890812MVZRZN06,2017,2251678.0,89259349.0,79283145.0,170794172.0
ABNS890812MVZRZN06,2018,2251678.0,89259349.0,79416098.0,170927125.0
ABNS890812MVZRZN06,2019,3046466.0,89259349.0,76530062.0,168835877.0
ABNS890812MVZRZN06,2020,3493827.0,89259349.0,79490378.0,172243554.0
ABNS890812MVZRZN06,2021,4249528.0,89259349.0,0.0,93508877.0
ABPJ861006MSNYZN08,2015,2678264.0,289545271.0,0.0,292223535.0
ABPJ861006MSNYZN08,2016,3433935.0,289545271.0,86176187.0,379155393.0
ABPJ861006MSNYZN08,2017,4127206.0,289545271.0,95175088.0,388847565.0
ABPJ861006MSNYZN08,2018,4658057.0,289545271.0,104524455.0,398727783.0
ABPJ861006MSNYZN08,2019,5121900.0,289545271.0,113114122.0,407781293.0
ABPJ861006MSNYZN08,2020,5920680.0,289545271.0,107051852.0,402517803.0
ABPJ861006MSNYZN08,2021,6691236.0,289545271.0,0.0,296236507.0
ABRH880427HDFRNR02,2015,584626.0,1955123.0,0.0,2539749.0
ABRH880427HDFRNR02,2016,584626.0,1955123.0,1581977.0,4121726.0
ABRH880427HDFRNR02,2017,584626.0,1955123.0,1519645.0,4059394.0
ABRH880427HDFRNR02,2018,919170.0,1955123.0,1773987.0,4648280.0
ABRH880427HDFRNR02,2019,1288982.0,1955123.0,1496714.0,4740819.0
ABRH880427HDFRNR02,2020,1288982.0,1955123.0,1519993.0,4764098.0
ABRH880427HDFRNR02,2021,1288982.0,1955123.0,0.0,3244105.0
ABVD720809HPUYLN06,2015,552177.0,839753.0,0.0,1391930.0
ABVD720809HPUYLN06,2016,552177.0,839753.0,940296.0,2332226.0
ABVD720809HPUYLN06,2017,887577.0,839753.0,962043.0,2689373.0
ABVD720809HPUYLN06,2018,887577.0,839753.0,906972.0,2634302.0
ABVD720809HPUYLN06,2019,887577.0,839753.0,1028548.0,2755878.0
ABVD720809HPUYLN06,2020,1388898.0,839753.0,868468.0,3097119.0
ABVD720809HPUYLN06,2021,1823912.0,839753.0,0.0,2663665.0
ACAA810708HVZÑYX01,2015,0.0,0.0,0.0,0.0
ACAA810708HVZÑYX01,2016,0.0,0.0,10867.0,10867.0
ACAA810708HVZÑYX01,2017,0.0,0.0,9128.0,9128.0
ACAA810708HVZÑYX01,2018,0.0,0.0,9949.0,9949.0
ACAA810708HVZÑYX01,2019,0.0,0.0,11341.0,11341.0
ACAA810708HVZÑYX01,2020,0.0,0.0,14062.0,14062.0
ACAA810708HVZÑYX01,2021,0.0,0.0,0.0,0.0
ACAL860910HPUSRL09,2015,545685.0,4703395.0,0.0,5249080.0
ACAL860910HPUSRL09,2016,1540002.0,4703395.0,1094785.0,7338182.0
ACAL860910HPUSRL09,2017,2031027.0,4703395.0,1022979.0,7757401.0
ACAL860910HPUSRL09,2018,2495359.0,4703395.0,952495.0,8151249.0
ACAL860910HPUSRL09,2019,2495359.0,4703395.0,1076423.0,8275177.0
ACAL860910HPUSRL09,2020,2921633.0,4703395.0,993133.0,8618161.0
ACAL860910HPUSRL09,2021,3252347.0,4703395.0,0.0,7955742.0
ACBC840518MVZSRM06,2015,335372.0,1717838.0,0.0,2053210.0
ACBC840518MVZSRM06,2016,368062.0,1717838.0,25486.0,2111386.0
ACBC840518MVZSRM06,2017,368062.0,1717838.0,20898.0,2106798.0
ACBC840518MVZSRM06,2018,368062.0,1717838.0,16300.0,2102200.0
ACBC840518MVZSRM06,2019,368062.0,1717838.0,13366.0,2099266.0
ACBC840518MVZSRM06,2020,368062.0,1717838.0,11494.0,2097394.0
ACBC840518MVZSRM06,2021,509319.0,1717838.0,0.0,2227157.0
ACBF881003HDFVRR01,2015,426883.0,1301049.0,0.0,1727932.0
ACBF881003HDFVRR01,2016,761219.0,1301049.0,459458.0,2521726.0
ACBF881003HDFVRR01,2017,761219.0,1301049.0,531515.0,2593783.0
ACBF881003HDFVRR01,2018,1105734.0,1301049.0,492080.0,2898863.0
ACBF881003HDFVRR01,2019,1105734.0,1301049.0,541929.0,2948712.0
ACBF881003HDFVRR01,2020,1462969.0,1301049.0,594205.0,3358223.0
ACBF881003HDFVRR01,2021,1930422.0,1301049.0,0.0,3231471.0
ACBJ720419HSNVÑL09,2015,62778.0,1248643.0,0.0,1311421.0
ACBJ720419HSNVÑL09,2016,356874.0,1248643.0,11439.0,1616956.0
ACBJ720419HSNVÑL09,2017,521781.0,1248643.0,13612.0,1784036.0
ACBJ720419HSNVÑL09,2018,521781.0,1248643.0,15517.0,1785941.0
ACBJ720419HSNVÑL09,2019,521781.0,1248643.0,17689.0,1788113.0
ACBJ720419HSNVÑL09,2020,521781.0,1248643.0,13443.0,1783867.0
ACBJ720419HSNVÑL09,2021,521781.0,1248643.0,0.0,1770424.0
ACBL890308MVZÑÑS04,2015,135642.0,0.0,0.0,135642.0
ACBL890308MVZÑÑS04,2016,242968.0,0.0,11170.0,254138.0
ACBL890308MVZÑÑS04,2017,242968.0,0.0,10053.0,253021.0
ACBL890308MVZÑÑS04,2018,471142.0,0.0,10957.0,482099.0
ACBL890308MVZÑÑS04,2019,616959.0,0.0,13586.0,630545.0
ACBL890308MVZÑÑS04,2020,685220.0,0.0,11004.0,696224.0
ACBL890308MVZÑÑS04,2021,947901.0,0.0,0.0,947901.0
ACBM850110MDFSRR05,2015,5153235.0,223534850.0,0.0,228688085.0
ACBM850110MDFSRR05,2016,5153235.0,223534850.0,115925376.0,344613461.0
ACBM850110MDFSRR05,2017,5736773.0,223534850.0,114345525.0,343617148.0
ACBM850110MDFSRR05,2018,6390064.0,223534850.0,112101586.0,342026500.0
ACBM850110MDFSRR05,2019,6955856.0,223534850.0,119119833.0,349610539.0
ACBM850110MDFSRR05,2020,7627152.0,223534850.0,119455023.0,350617025.0
ACBM850110MDFSRR05,2021,7627152.0,223534850.0,0.0,231162002.0
ACBR890726HVZSRL02,2015,0.0,1479159.0,0.0,1479159.0
ACBR890726HVZSRL02,2016,0.0,1479159.0,19988.0,1499147.0
ACBR890726HVZSRL02,2017,0.0,1479159.0,21786.0,1500945.0
ACBR890726HVZSRL02,2018,0.0,1479159.0,25707.0,1504866.0
ACBR890726HVZSRL02,2019,0.0,1479159.0,24421.0,1503580.0
ACBR890726HVZSRL02,2020,0.0,1479159.0,26863.0,1506022.0
ACBR890726HVZSRL02,2021,0.0,1479159.0,0.0,1479159.0
ACBS730510MVZVRL09,2015,5731953.0,281943984.0,0.0,287675937.0
ACBS730510MVZVRL09,2016,6119267.0,281943984.0,86914471.0,374977722.0
ACBS730510MVZVRL09,2017,6698085.0,281943984.0,79846540.0,368488609.0
ACBS730510MVZVRL09,2018,7389915.0,281943984.0,78840861.0,368174760.0
ACBS730510MVZVRL09,2019,7770610.0,281943984.0,78918920.0,368633514.0
ACBS730510MVZVRL09,2020,7770610.0,281943984.0,76617580.0,366332174.0
ACBS730510MVZVRL09,2021,7770610.0,281943984.0,0.0,289714594.0
ACCA710224MAGÑHS05,2015,5372685.0,259383117.0,0.0,264755802.0
ACCA710224MAGÑHS05,2016,6618956.0,259383117.0,98083234.0,364085307.0
ACCA710224MAGÑHS05,2017,7084159.0,259383117.0,94225426.0,360692702.0
ACCA710224MAGÑHS05,2018,7084159.0,259383117.0,96257129.0,362724405.0
ACCA710224MAGÑHS05,2019,7084159.0,259383117.0,103597654.0,370064930.0
ACCA710224MAGÑHS05,2020,7668192.0,259383117.0,104197938.0,371249247.0
ACCA710224MAGÑHS05,2021,8214092.0,259383117.0,0.0,267597209.0
ACCI870702HVZVRN09,2015,141706.0,0.0,0.0,141706.0
ACCI870702HVZVRN09,2016,343197.0,0.0,33774.0,376971.0
ACCI870702HVZVRN09,2017,607429.0,0.0,38840.0,646269.0
ACCI870702HVZVRN09,2018,607429.0,0.0,34567.0,641996.0
ACCI870702HVZVRN09,2019,871754.0,0.0,42863.0,914617.0
ACCI870702HVZVRN09,2020,871754.0,0.0,50578.0,922332.0
ACCI870702HVZVRN09,2021,1154062.0,0.0,0.0,1154062.0
ACCM840324HVZVBR04,2015,2821693.0,239285722.0,0.0,242107415.0
ACCM840324HVZVBR04,2016,3431257.0,239285722.0,45006843.0,287723822.0
ACCM840324HVZVBR04,2017,3431257.0,239285722.0,45830244.0,288547223.0
ACCM840324HVZVBR04,2018,3431257.0,239285722.0,45756810.0,288473789.0
ACCM840324HVZVBR04,2019,3431257.0,239285722.0,44806186.0,287523165.0
ACCM840324HVZVBR04,2020,4175675.0,239285722.0,46097473.0,289558870.0
ACCM840324HVZVBR04,2021,4175675.0,239285722.0,0.0,243461397.0
ACDJ891013HAGSMN05,2015,585796.0,2842265.0,0.0,3428061.0
ACDJ891013HAGSMN05,2016,585796.0,2842265.0,1269203.0,4697264.0
ACDJ891013HAGSMN05,2017,585796.0,2842265.0,1115147.0,4543208.0
ACDJ891013HAGSMN05,2018,585796.0,2842265.0,1270311.0,4698372.0
ACDJ891013HAGSMN05,2019,1117309.0,2842265.0,1278637.0,5238211.0
ACDJ891013HAGSMN05,2020,1569257.0,2842265.0,1125216.0,5536738.0
ACDJ891013HAGSMN05,2021,1569257.0,2842265.0,0.0,4411522.0
ACFA830526HDFVLN05,2015,1257690.0,178817143.0,0.0,180074833.0
ACFA830526HDFVLN05,2016,1961158.0,178817143.0,79122111.0,259900412.0
ACFA830526HDFVLN05,2017,2696148.0,178817143.0,79123024.0,260636315.0
ACFA830526HDFVLN05,2018,3342253.0,178817143.0,75620455.0,257779851.0
ACFA830526HDFVLN05,2019,3901571.0,178817143.0,76062814.0,258781528.0
ACFA830526HDFVLN05,2020,3901571.0,178817143.0,79930326.0,262649040.0
ACFA830526HDFVLN05,2021,3901571.0,178817143.0,0.0,182718714.0
ACFX720301MVZVLM02,2015,334175.0,0.0,0.0,334175.0
ACFX720301MVZVLM02,2016,568806.0,0.0,21468.0,590274.0
ACFX720301MVZVLM02,2017,568806.0,0.0,25117.0,593923.0
ACFX720301MVZVLM02,2018,856600.0,0.0,20344.0,876944.0
ACFX720301MVZVLM02,2019,856600.0,0.0,22785.0,879385.0
ACFX720301MVZVLM02,2020,856600.0,0.0,23924.0,880524.0
ACFX720301MVZVLM02,2021,856600.0,0.0,0.0,856600.0
ACLJ860822MVZSYM06,2015,510760.0,4550270.0,0.0,5061030.0
ACLJ860822MVZSYM06,2016,893254.0,4550270.0,569375.0,6012899.0
ACLJ860822MVZSYM06,2017,893254.0,4550270.0,526748.0,5970272.0
ACLJ860822MVZSYM06,2018,1426604.0,4550270.0,426095.0,6402969.0
ACLJ860822MVZSYM06,2019,1426604.0,4550270.0,390002.0,6366876.0
ACLJ860822MVZSYM06,2020,1775992.0,4550270.0,406773.0,6733035.0
ACLJ860822MVZSYM06,2021,2281197.0,4550270.0,0.0,6831467.0
ACMD880226HSNSTN02,2015,522270.0,9485370.0,0.0,10007640.0
ACMD880226HSNSTN02,2016,968909.0,9485370.0,949337.0,11403616.0
ACMD880226HSNSTN02,2017,1431909.0,9485370.0,853233.0,11770512.0
ACMD880226HSNSTN02,2018,1431909.0,9485370.0,1046323.0,11963602.0
ACMD880226HSNSTN02,2019,1431909.0,9485370.0,841820.0,11759099.0
ACMD880226HSNSTN02,2020,1431909.0,9485370.0,829310.0,11746589.0
ACMD880226HSNSTN02,2021,1431909.0,9485370.0,0.0,10917279.0
ACMF780212HVZÑNT02,2015,310373.0,0.0,0.0,310373.0
ACMF780212HVZÑNT02,2016,310373.0,0.0,20226.0,330599.0
ACMF780212HVZÑNT02,2017,346511.0,0.0,23462.0,369973.0
ACMF780212HVZÑNT02,2018,655051.0,0.0,19473.0,674524.0
ACMF780212HVZÑNT02,2019,685505.0,0.0,21809.0,707314.0
ACMF780212HVZÑNT02,2020,685505.0,0.0,18537.0,704042.0
ACMF780212HVZÑNT02,2021,770204.0,0.0,0.0,770204.0
ACMN740927MPUVNT03,2015,5346347.0,209998062.0,0.0,215344409.0
ACMN740927MPUVNT03,2016,5346347.0,209998062.0,79843099.0,295187508.0
ACMN740927MPUVNT03,2017,5346347.0,209998062.0,84302654.0,299647063.0
ACMN740927MPUVNT03,2018,5915783.0,209998062.0,81047151.0,296960996.0
ACMN740927MPUVNT03,2019,5915783.0,209998062.0,73725037.0,289638882.0
ACMN740927MPUVNT03,2020,6417074.0,209998062.0,68003925.0,284419061.0
ACMN740927MPUVNT03,2021,7159018.0,209998062.0,0.0,217157080.0
ACNT700507MSNVRD08,2015,0.0,0.0,0.0,0.0
ACNT700507MSNVRD08,2016,0.0,0.0,33455.0,33455.0
ACNT700507MSNVRD08,2017,0.0,0.0,36131.0,36131.0
ACNT700507MSNVRD08,2018,0.0,0.0,27459.0,27459.0
ACNT700507MSNVRD08,2019,0.0,0.0,29106.0,29106.0
ACNT700507MSNVRD08,2020,0.0,0.0,33180.0,33180.0
ACNT700507MSNVRD08,2021,0.0,0.0,0.0,0.0
ACOC721011MSNVVN08,2015,316361.0,2887852.0,0.0,3204213.0
ACOC721011MSNVVN08,2016,774282.0,2887852.0,1072742.0,4734876.0
ACOC721011MSNVVN08,2017,1171639.0,2887852.0,1125031.0,5184522.0
ACOC721011MSNVVN08,2018,1171639.0,2887852.0,1037895.0,5097386.0
ACOC721011MSNVVN08,2019,1171639.0,2887852.0,1205639.0,5265130.0
ACOC721011MSNVVN08,2020,1171639.0,2887852.0,1421777.0,5481268.0
ACOC721011MSNVVN08,2021,1684148.0,2887852.0,0.0,4572000.0
ACQA860808HDFVZL07,2015,125497.0,0.0,0.0,125497.0
ACQA860808HDFVZL07,2016,394096.0,0.0,8818.0,402914.0
ACQA860808HDFVZL07,2017,741974.0,0.0,9347.0,751321.0
ACQA860808HDFVZL07,2018,1089664.0,0.0,7103.0,1096767.0
ACQA860808HDFVZL07,2019,1089664.0,0.0,8239.0,1097903.0
ACQA860808HDFVZL07,2020,1089664.0,0.0,7579.0,1097243.0
ACQA860808HDFVZL07,2021,1252722.0,0.0,0.0,1252722.0
ACRA880311MVZÑLX04,2015,507847.0,8783179.0,0.0,9291026.0
ACRA880311MVZÑLX04,2016,507847.0,8783179.0,964102.0,10255128.0
ACRA880311MVZÑLX04,2017,507847.0,8783179.0,1028970.0,10319996.0
ACRA880311MVZÑLX04,2018,922127.0,8783179.0,1058393.0,10763699.0
ACRA880311MVZÑLX04,2019,922127.0,8783179.0,1175398.0,10880704.0
ACRA880311MVZÑLX04,2020,1468129.0,8783179.0,1322432.0,11573740.0
ACRA880311MVZÑLX04,2021,1833030.0,8783179.0,0.0,10616209.0
ACRG771021HAGÑYL04,2015,354320.0,8758323.0,0.0,9112643.0
ACRG771021HAGÑYL04,2016,717013.0,8758323.0,1197031.0,10672367.0
ACRG771021HAGÑYL04,2017,1084382.0,8758323.0,1292793.0,11135498.0
ACRG771021HAGÑYL04,2018,1084382.0,8758323.0,1180547.0,11023252.0
ACRG771021HAGÑYL04,2019,1084382.0,8758323.0,1178773.0,11021478.0
ACRG771021HAGÑYL04,2020,1662219.0,8758323.0,1230582.0,11651124.0
ACRG771021HAGÑYL04,2021,1662219.0,8758323.0,0.0,10420542.0
ACSE870702MAGVRundefined01,2015,5217169.0,135692752.0,0.0,140909921.0
ACSE870702MAGVRundefined01,2016,5217169.0,135692752.0,69121877.0,210031798.0
ACSE870702MAGVRundefined01,2017,5928167.0,135692752.0,64575709.0,206196628.0
ACSE870702MAGVRundefined01,2018,5928167.0,135692752.0,66893692.0,208514611.0
ACSE870702MAGVRundefined01,2019,6448889.0,135692752.0,68557997.0,210699638.0
ACSE870702MAGVRundefined01,2020,7146904.0,135692752.0,70269659.0,213109315.0
ACSE870702MAGVRundefined01,2021,7644158.0,135692752.0,0.0,143336910.0
ACTJ871012MAGVVS01,2015,537058.0,2608885.0,0.0,3145943.0
ACTJ871012MAGVVS01,2016,537058.0,2608885.0,830937.0,3976880.0
ACTJ871012MAGVVS01,2017,1122696.0,2608885.0,693943.0,4425524.0
ACTJ871012MAGVVS01,2018,1525222.0,2608885.0,599504.0,4733611.0
ACTJ871012MAGVVS01,2019,1525222.0,2608885.0,721831.0,4855938.0
ACTJ871012MAGVVS01,2020,2102804.0,2608885.0,733457.0,5445146.0
ACTJ871012MAGVVS01,2021,2461037.0,2608885.0,0.0,5069922.0
ACVE800525MDFÑRL04,2015,575585.0,4477385.0,0.0,5052970.0
ACVE800525MDFÑRL04,2016,1634333.0,4477385.0,824764.0,6936482.0
ACVE800525MDFÑRL04,2017,2175092.0,4477385.0,873820.0,7526297.0
ACVE800525MDFÑRL04,2018,2175092.0,4477385.0,747799.0,7400276.0
ACVE800525MDFÑRL04,2019,2610178.0,4477385.0,684809.0,7772372.0
ACVE800525MDFÑRL04,2020,3162061.0,4477385.0,689904.0,8329350.0
ACVE800525MDFÑRL04,2021,3162061.0,4477385.0,0.0,7639446.0
ADAJ870425HAGMML03,2015,5216139.0,269091854.0,0.0,274307993.0
ADAJ870425HAGMML03,2016,6628281.0,269091854.0,88015047.0,363735182.0
ADAJ870425HAGMML03,2017,6628281.0,269091854.0,88128362.0,363848497.0
ADAJ870425HAGMML03,2018,6628281.0,269091854.0,78298112.0,354018247.0
ADAJ870425HAGMML03,2019,7341165.0,269091854.0,85135218.0,361568237.0
ADAJ870425HAGMML03,2020,7834859.0,269091854.0,89187504.0,366114217.0
ADAJ870425HAGMML03,2021,8565999.0,269091854.0,0.0,277657853.0
ADCA841108MSNMDD06,2015,130226.0,0.0,0.0,130226.0
ADCA841108MSNMDD06,2016,236513.0,0.0,11397.0,247910.0
ADCA841108MSNMDD06,2017,484178.0,0.0,13562.0,497740.0
ADCA841108MSNMDD06,2018,557820.0,0.0,12341.0,570161.0
ADCA841108MSNMDD06,2019,557820.0,0.0,11723.0,569543.0
ADCA841108MSNMDD06,2020,557820.0,0.0,14419.0,572239.0
ADCA841108MSNMDD06,2021,557820.0,0.0,0.0,557820.0
ADCL860208HSNMLS05,2015,4571095.0,257668673.0,0.0,262239768.0
ADCL860208HSNMLS05,2016,5866934.0,257668673.0,96175703.0,359711310.0
ADCL860208HSNMLS05,2017,5866934.0,257668673.0,97761439.0,361297046.0
ADCL860208HSNMLS05,2018,5866934.0,257668673.0,94115173.0,357650780.0
ADCL860208HSNMLS05,2019,6493670.0,257668673.0,92311306.0,356473649.0
ADCL860208HSNMLS05,2020,6879379.0,257668673.0,84406023.0,348954075.0
ADCL860208HSNMLS05,2021,7649716.0,257668673.0,0.0,265318389.0
ADCM710807HDFRRR07,2015,0.0,0.0,0.0,0.0
ADCM710807HDFRRR07,2016,0.0,0.0,24659.0,24659.0
ADCM710807HDFRRR07,2017,0.0,0.0,26138.0,26138.0
ADCM710807HDFRRR07,2018,0.0,0.0,27967.0,27967.0
ADCM710807HDFRRR07,2019,0.0,0.0,31882.0,31882.0
ADCM710807HDFRRR07,2020,0.0,0.0,36664.0,36664.0
ADCM710807HDFRRR07,2021,0.0,0.0,0.0,0.0
ADCV790819HAGRRN04,2015,3546903.0,240387118.0,0.0,243934021.0
ADCV790819HAGRRN04,2016,4212196.0,240387118.0,102215379.0,346814693.0
ADCV790819HAGRRN04,2017,4212196.0,240387118.0,107676767.0,352276081.0
ADCV790819HAGRRN04,2018,4212196.0,240387118.0,102810864.0,347410178.0
ADCV790819HAGRRN04,2019,4711820.0,240387118.0,98028178.0,343127116.0
ADCV790819HAGRRN04,2020,4711820.0,240387118.0,99574579.0,344673517.0
ADCV790819HAGRRN04,2021,4711820.0,240387118.0,0.0,245098938.0
ADDM820216MVZRLR09,2015,325534.0,726204.0,0.0,1051738.0
ADDM820216MVZRLR09,2016,426559.0,726204.0,13879.0,1166642.0
ADDM820216MVZRLR09,2017,426559.0,726204.0,12907.0,1165670.0
ADDM820216MVZRLR09,2018,426559.0,726204.0,15488.0,1168251.0
ADDM820216MVZRLR09,2019,488642.0,726204.0,13164.0,1228010.0
ADDM820216MVZRLR09,2020,636355.0,726204.0,15796.0,1378355.0
ADDM820216MVZRLR09,2021,636355.0,726204.0,0.0,1362559.0
ADFK860816HDFMNV01,2015,0.0,0.0,0.0,0.0
ADFK860816HDFMNV01,2016,0.0,0.0,22758.0,22758.0
ADFK860816HDFMNV01,2017,0.0,0.0,26626.0,26626.0
ADFK860816HDFMNV01,2018,0.0,0.0,32749.0,32749.0
ADFK860816HDFMNV01,2019,0.0,0.0,36351.0,36351.0
ADFK860816HDFMNV01,2020,0.0,0.0,38895.0,38895.0
ADFK860816HDFMNV01,2021,0.0,0.0,0.0,0.0
ADHB830001MVZMXR01,2015,378534.0,4734386.0,0.0,5112920.0
