tipoOperacion,nombre,primerApellido,segundoApellido,fechaNacimiento,extranjero,curp,habitaDomicilioDeclarante,lugarDondeReside,rfc.rfc,rfc.homoClave,parentescoRelacion.clave,parentescoRelacion.valor,actividadLaboral.clave,actividadLaboral.valor,curp_funcionario,rfc,domicilioMexico.calle,domicilioMexico.numeroExterior,domicilioMexico.numeroInterior,domicilioMexico.coloniaLocalidad,domicilioMexico.municipioAlcaldia.clave,domicilioMexico.municipioAlcaldia.valor,domicilioMexico.entidadFederativa.clave,domicilioMexico.entidadFederativa.valor,domicilioMexico.codigoPostal,domicilioExtranjero.calle,domicilioExtranjero.numeroExterior,domicilioExtranjero.numeroInterior,domicilioExtranjero.ciudadLocalidad,domicilioExtranjero.estadoProvincia,domicilioExtranjero.pais,domicilioExtranjero.codigoPostal,actividadLaboralSectorPublico.nivelOrdenGobierno,actividadLaboralSectorPublico.ambitoPublico,actividadLaboralSectorPublico.nombreEntePublico,actividadLaboralSectorPublico.areaAdscripcion,actividadLaboralSectorPublico.empleoCargoComision,actividadLaboralSectorPublico.funcionPrincipal,actividadLaboralSectorPublico.salarioMensualNeto.valor,actividadLaboralSectorPublico.salarioMensualNeto.moneda,actividadLaboralSectorPublico.fechaIngreso,actividadLaboralSectorPrivadoOtro.nombreEmpresaSociedadAsociacion,actividadLaboralSectorPrivadoOtro.rfc,actividadLaboralSectorPrivadoOtro.empleoCargo,actividadLaboralSectorPrivadoOtro.fechaIngreso,actividadLaboralSectorPrivadoOtro.salarioMensualNeto.valor,actividadLaboralSectorPrivadoOtro.salarioMensualNeto.moneda,actividadLaboralSectorPrivadoOtro.proveedorContratistaGobierno,actividadLaboralSectorPrivadoOtro.sector.clave,actividadLaboralSectorPrivadoOtro.sector.valor
SIN_CAMBIOS,Pedro,Jurado,Alarcón,2008-10-22,False,JUAP20081022MDFRRD08,True,MEXICO,JUAP20081022,A93,NIN,NINGUNO,NIN,NINGUNO,ABFJ871119MPURGN02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Alan,Garza,Pizarro,2005-04-09,False,GAPA20050409MSNRZN07,True,MEXICO,GAPA20050409,C77,AHI,AHIJADO(A),NIN,NINGUNO,ABJG820014MAGYRR08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Ariadna,Benavídez,Marín,2006-03-13,False,BEMA20060313HAGNRD08,True,MEXICO,BEMA20060313,A92,HER,HERMANO(A),NIN,NINGUNO,ABPJ861006MSNYZN08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Alfredo,Delgadillo,Guzmán,2005-10-25,False,DEGA20051025HPULZF03,True,MEXICO,DEGA20051025,A24,NIN,NINGUNO,NIN,NINGUNO,ABRH880427HDFRNR02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,María Soledad,Zamora,Segovia,2010-03-17,False,ZASM20100317MSNMGR01,True,MEXICO,ZASM20100317,D74,PRI,PRIMO(A),NIN,NINGUNO,ABVD720809HPUYLN06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Damián,Guevara,Rubio,2008-04-04,False,GURD20080404MPUVBM08,True,MEXICO,GURD20080404,B95,PRI,PRIMO(A),NIN,NINGUNO,ACAA810708HVZÑYX01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Sofia,Campos,Zamarreno,2008-00-07,False,CAZS20080007HAGMMF06,True,MEXICO,CAZS20080007,A71,HER,HERMANO(A),NIN,NINGUNO,ACAA810708HVZÑYX01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Hugo,Alcala,Godoy,2011-04-20,False,ALGH20110420HVZCDG06,True,MEXICO,ALGH20110420,E76,HER,HERMANO(A),NIN,NINGUNO,ACAL860910HPUSRL09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,María Cristina,Alvarez,Serrato,2007-02-19,False,ALSM20070219MVZVRR02,True,MEXICO,ALSM20070219,A41,NIN,NINGUNO,NIN,NINGUNO,ACAL860910HPUSRL09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Ramón,Zambrano,Cruz,2008-09-18,False,ZACR20080918MDFMRM04,True,MEXICO,ZACR20080918,E22,HIJ,HIJO(A),NIN,NINGUNO,ACBC840518MVZSRM06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Ana Luisa,Henríquez,Moya,2010-06-08,False,HEMA20100608HVZNY 01,True,MEXICO,HEMA20100608,E67,AHI,AHIJADO(A),NIN,NINGUNO,ACBC840518MVZSRM06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Miguel,Esparza,Orellana,2012-09-08,False,ESOM20120908MAGPLG01,True,MEXICO,ESOM20120908,C67,PRI,PRIMO(A),NIN,NINGUNO,ACBC840518MVZSRM06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Alondra Romina,Casanova,Valdez,2008-03-19,False,CAVA20080319HSNSLN04,True,MEXICO,CAVA20080319,D38,PRI,PRIMO(A),NIN,NINGUNO,ACBF881003HDFVRR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Emiliano,Alva,Krauel natera,2010-02-20,False,ALKE20100220HPUVRL01,True,MEXICO,ALKE20100220,E29,HIJ,HIJO(A),NIN,NINGUNO,ACBF881003HDFVRR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Carmen,Camarillo,Osorio,2005-05-22,False,CAOC20050522MPUMRR02,True,MEXICO,CAOC20050522,B54,NIN,NINGUNO,NIN,NINGUNO,ACBJ720419HSNVÑL09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Antonia,Vaca,Cavazos,2012-00-14,False,VACA20120014MVZCVT03,True,MEXICO,VACA20120014,B61,PRI,PRIMO(A),NIN,NINGUNO,ACBJ720419HSNVÑL09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Esperanza,Tello,Escobar,2005-11-16,False,TEEE20051116HAGLCP03,True,MEXICO,TEEE20051116,D80,HIJ,HIJO(A),NIN,NINGUNO,ACBL890308MVZÑÑS04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Jazmin,Mares,Mascareñas,2012-01-16,False,MAMJ20120116HDFRSZ09,True,MEXICO,MAMJ20120116,B20,HER,HERMANO(A),NIN,NINGUNO,ACBL890308MVZÑÑS04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Yaretzi,Barraza,Ochoa,2006-08-06,False,BAOY20060806MSNRHR09,True,MEXICO,BAOY20060806,E57,NIN,NINGUNO,NIN,NINGUNO,ACBL890308MVZÑÑS04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Patricio,Benavides,Villareal,2013-02-13,False,BEVP20130213MSNNLT05,True,MEXICO,BEVP20130213,E62,AHI,AHIJADO(A),NIN,NINGUNO,ACBM850110MDFSRR05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Enrique,Molina,Zavala,2012-03-04,False,MOZE20120304MAGLVR09,True,MEXICO,MOZE20120304,B76,HIJ,HIJO(A),NIN,NINGUNO,ACBR890726HVZSRL02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Naomi,Domínquez,Casárez,2007-11-17,False,DOCN20071117MAGMSM04,True,MEXICO,DOCN20071117,A90,PRI,PRIMO(A),NIN,NINGUNO,ACBR890726HVZSRL02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Emilia,García,Mesa,2007-04-14,False,GAME20070414MDFRSL06,True,MEXICO,GAME20070414,C87,HIJ,HIJO(A),NIN,NINGUNO,ACBS730510MVZVRL09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Elsa,Kara,Madrigal,2010-03-15,False,KAME20100315MSNRDS02,True,MEXICO,KAME20100315,E39,HER,HERMANO(A),NIN,NINGUNO,ACCI870702HVZVRN09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Lorenzo,Sandoval,Apodaca,2005-06-09,False,SAAL20050609MPUNDR02,True,MEXICO,SAAL20050609,B40,SOB,SOBRINO(A),NIN,NINGUNO,ACCI870702HVZVRN09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Hernán,Aguayo,Gonzales,2009-02-27,False,AGGH20090227HVZYNR01,True,MEXICO,AGGH20090227,C22,HER,HERMANO(A),NIN,NINGUNO,ACDJ891013HAGSMN05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Yamileth,Mateo,Karan,2010-04-14,False,MAKY20100414MPUTRM01,True,MEXICO,MAKY20100414,B74,NIN,NINGUNO,NIN,NINGUNO,ACFA830526HDFVLN05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Gilberto,Quintairos,Kano,2012-00-11,False,QUKG20120011HPUNNL02,True,MEXICO,QUKG20120011,A28,SOB,SOBRINO(A),NIN,NINGUNO,ACFX720301MVZVLM02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Ramiro,Pérez,Caballero,2007-03-24,False,PÉCR20070324HPURBM05,True,MEXICO,PÉCR20070324,A70,NIN,NINGUNO,NIN,NINGUNO,ACFX720301MVZVLM02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Elsa,Reyna,Vergara,2012-08-05,False,REVE20120805HSNYRS09,True,MEXICO,REVE20120805,B13,SOB,SOBRINO(A),NIN,NINGUNO,ACLJ860822MVZSYM06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Mercedes,Gastélum,Puga,2005-03-04,False,GAPM20050304MAGSGR06,True,MEXICO,GAPM20050304,B60,NIN,NINGUNO,NIN,NINGUNO,ACLJ860822MVZSYM06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Jimena,Alanis,Archuleta,2007-01-24,False,ALAJ20070124HAGNCM09,True,MEXICO,ALAJ20070124,E38,SOB,SOBRINO(A),NIN,NINGUNO,ACMD880226HSNSTN02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Hugo,Molina,Zamora,2006-10-07,False,MOZH20061007HPULMG04,True,MEXICO,MOZH20061007,C34,HIJ,HIJO(A),NIN,NINGUNO,ACMD880226HSNSTN02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Adán,Rodríguez,Carrion,2013-05-21,False,ROCA20130521MAGDRN09,True,MEXICO,ROCA20130521,E58,SOB,SOBRINO(A),NIN,NINGUNO,ACMF780212HVZÑNT02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Elizabeth,Fonseca,Xenia,2005-05-25,False,FOXE20050525HPUNNZ01,True,MEXICO,FOXE20050525,B39,HIJ,HIJO(A),NIN,NINGUNO,ACMF780212HVZÑNT02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Julio César,Ramón,Beltrán,2006-11-16,False,RABJ20061116MAGMLL07,True,MEXICO,RABJ20061116,C36,HIJ,HIJO(A),NIN,NINGUNO,ACMN740927MPUVNT03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Estefanía,Zelaya,Barragán,2006-03-15,False,ZEBE20060315HSNLRT06,True,MEXICO,ZEBE20060315,D50,PRI,PRIMO(A),NIN,NINGUNO,ACNT700507MSNVRD08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Olivia,Kindelan,Escobedo,2013-00-11,False,KIEO20130011MDFNCV08,True,MEXICO,KIEO20130011,B53,PRI,PRIMO(A),NIN,NINGUNO,ACNT700507MSNVRD08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Marcos,Chavarría,Marín,2011-04-18,False,CHMM20110418HVZHRR02,True,MEXICO,CHMM20110418,C56,SOB,SOBRINO(A),NIN,NINGUNO,ACOC721011MSNVVN08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Débora,Madrigal,Valle,2007-11-20,False,MAVD20071120MSNDLB05,True,MEXICO,MAVD20071120,D93,PRI,PRIMO(A),NIN,NINGUNO,ACQA860808HDFVZL07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Miguel Ángel,Sepúlveda,Briseño,2005-00-15,False,SEBM20050015MPUPRG03,True,MEXICO,SEBM20050015,C53,HER,HERMANO(A),NIN,NINGUNO,ACQA860808HDFVZL07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Concepción,Ochoa,Matos,2007-09-23,False,OCMC20070923HAGHTN03,True,MEXICO,OCMC20070923,C47,HER,HERMANO(A),NIN,NINGUNO,ACQA860808HDFVZL07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Concepción,Terrazas,Huerta,2009-01-20,False,TEHC20090120HAGRRN01,True,MEXICO,TEHC20090120,B51,AHI,AHIJADO(A),NIN,NINGUNO,ACRA880311MVZÑLX04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Bernardo,Corrales,Ceballos,2011-00-11,False,COCB20110011MDFRBR03,True,MEXICO,COCB20110011,B34,SOB,SOBRINO(A),NIN,NINGUNO,ACRA880311MVZÑLX04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,José,Arriaga,Linares,2011-07-03,False,ARLJ20110703MDFRNS09,True,MEXICO,ARLJ20110703,D42,AHI,AHIJADO(A),NIN,NINGUNO,ACRG771021HAGÑYL04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Joaquín,Zamarreno,Serna,2013-10-03,False,ZASJ20131003MPUMRQ09,True,MEXICO,ZASJ20131003,B95,AHI,AHIJADO(A),NIN,NINGUNO,ACTJ871012MAGVVS01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Víctor,Medrano,Villalpando,2007-00-26,False,MEVV20070026HAGDLC04,True,MEXICO,MEVV20070026,E93,HER,HERMANO(A),NIN,NINGUNO,ACVE800525MDFÑRL04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,María José,Gómez,Dávila,2008-11-23,False,GÓDM20081123MSNMVR08,True,MEXICO,GÓDM20081123,E59,NIN,NINGUNO,NIN,NINGUNO,ADCA841108MSNMDD06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Alejandra,Curiel,Alba,2005-00-20,False,CUAA20050020HSNRBJ06,True,MEXICO,CUAA20050020,B95,HER,HERMANO(A),NIN,NINGUNO,ADCA841108MSNMDD06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Olivia,Alaniz,Alcaraz,2005-07-12,False,ALAO20050712MSNNCV09,True,MEXICO,ALAO20050712,A79,HIJ,HIJO(A),NIN,NINGUNO,ADCA841108MSNMDD06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Brayan,Cerda,Llamas,2010-08-19,False,CELB20100819MAGRLR02,True,MEXICO,CELB20100819,B24,SOB,SOBRINO(A),NIN,NINGUNO,ADCM710807HDFRRR07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Ricardo,Montemayor,Nava,2006-03-03,False,MONR20060303MAGNVC06,True,MEXICO,MONR20060303,E65,AHI,AHIJADO(A),NIN,NINGUNO,ADCM710807HDFRRR07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,María de los Ángeles,Fonseca,Vallejo,2011-05-11,False,FOVM20110511HDFNLR08,True,MEXICO,FOVM20110511,C13,NIN,NINGUNO,NIN,NINGUNO,ADCV790819HAGRRN04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Patricia,Olivares,Holguín,2010-03-03,False,OLHP20100303HDFVLT05,True,MEXICO,OLHP20100303,B30,HIJ,HIJO(A),NIN,NINGUNO,ADDM820216MVZRLR09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Tomás,Vallejo,Zambrana,2012-05-24,False,VAZT20120524MPULMM08,True,MEXICO,VAZT20120524,A54,SOB,SOBRINO(A),NIN,NINGUNO,ADDM820216MVZRLR09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Luis Fernando,Soto,Pichardo,2010-10-04,False,SOPL20101004MVZTCS03,True,MEXICO,SOPL20101004,E38,PRI,PRIMO(A),NIN,NINGUNO,ADFK860816HDFMNV01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,María Fernanda,Iglesias,Rivero,2009-04-11,False,IGRM20090411HVZLVR05,True,MEXICO,IGRM20090411,B86,HER,HERMANO(A),NIN,NINGUNO,ADFK860816HDFMNV01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Jorge,Aparicio,Negrón,2011-11-14,False,APNJ20111114HAGRGR03,True,MEXICO,APNJ20111114,C59,HER,HERMANO(A),NIN,NINGUNO,ADHB830001MVZMXR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Alondra Romina,Martínez,Rodríguez,2012-00-20,False,MARA20120020MSNRDN06,True,MEXICO,MARA20120020,E58,AHI,AHIJADO(A),NIN,NINGUNO,ADKP840010HDFRRT05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Miranda,Roldán,Santiago,2007-08-05,False,ROSM20070805MSNLNR07,True,MEXICO,ROSM20070805,A51,SOB,SOBRINO(A),NIN,NINGUNO,ADMR860422MDFMCS01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Luis Gabino,Trujillo,Montenegro,2007-10-20,False,TRML20071020HVZRNS08,True,MEXICO,TRML20071020,B75,NIN,NINGUNO,NIN,NINGUNO,ADMR860422MDFMCS01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,María del Carmen,Gonzales,Vélez,2007-05-16,False,GOVM20070516HDFNLR04,True,MEXICO,GOVM20070516,B85,AHI,AHIJADO(A),NIN,NINGUNO,ADSY790908HAGMNL01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Alexa,Ramírez,Corona,2007-08-16,False,RACA20070816HAGMRX06,True,MEXICO,RACA20070816,B21,NIN,NINGUNO,NIN,NINGUNO,ADSY790908HAGMNL01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Eva,Rivera,Castillo,2007-03-01,False,RICE20070301HSNVSundefined05,True,MEXICO,RICE20070301,C89,NIN,NINGUNO,NIN,NINGUNO,ADTV850814HDFMRN07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Ramiro,Gaytán,Palacios,2011-03-12,False,GAPR20110312HVZYLM04,True,MEXICO,GAPR20110312,B30,NIN,NINGUNO,NIN,NINGUNO,ADVE850312HAGMLT05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Fatima,Tijerina,Huixtlacatl,2010-09-23,False,TIHF20100923HSNJXT08,True,MEXICO,TIHF20100923,C93,AHI,AHIJADO(A),NIN,NINGUNO,ADVE850312HAGMLT05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Alfredo,Mesa,Ibarra,2005-08-26,False,MEIA20050826MPUSRF09,True,MEXICO,MEIA20050826,A45,PRI,PRIMO(A),NIN,NINGUNO,ADVL880902MDFMLZ03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Gabriel,Contreras,Rangel,2007-01-16,False,CORG20070116MDFNNB05,True,MEXICO,CORG20070116,E33,PRI,PRIMO(A),NIN,NINGUNO,ADVL880902MDFMLZ03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Francisco Javier,Menchaca,Yami,2010-10-25,False,MEYF20101025MVZNMR05,True,MEXICO,MEYF20101025,E76,AHI,AHIJADO(A),NIN,NINGUNO,ADXB780627MAGMNR02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN_CAMBIOS,Eva,Saiz,Madrigal,2012-07-17,False,SAME20120717HDFZDundefined05,True,MEXICO,SAME20120717,A20,PRI,PRIMO(A),NIN,NINGUNO,ADXB780627MAGMNR02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
