tipoOperacion,marca,modelo,anio,numeroSerieRegistro,tipoVehiculo.clave,tipoVehiculo.valor,titularBien.clave,titularBien.valor,valorAdquisicion.valor,valorAdquisicion.moneda,curp_funcionario,titular,transmisor,tercero,formaPago,fechaAdquisicion,lugarRegistro.pais,lugarRegistro.entidadFederativa.clave,lugarRegistro.entidadFederativa.valor,formaAdquisicion.clave,formaAdquisicion.valor,motivoBaja.clave,motivoBaja.valor
BAJA,peugeot,505s turbo diesel,1982,579500b1-47bd-407b-a621-8cd386376d4e,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,159361.0,MXN,ABAM750311HPURCR03,,,,,,,,,,,,
BAJA,toyota,corona,1975,fffa8534-0c44-43e0-b7c1-96e34dd2ee6f,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,258392.0,MXN,ABAM750311HPURCR03,,,,,,,,,,,,
BAJA,plymouth,reliant,1982,35b26e16-9776-44f7-a75f-ef26035b2f0d,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,73702.0,MXN,ABAM750311HPURCR03,,,,,,,,,,,,
AGREGAR,honda,civic 1500 gl,1980,dc6b7f9e-3261-4ab9-8044-0baf23c417f3,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,328459.0,MXN,ABAM750311HPURCR03,,,,,,,,,,,,
BAJA,ford,pinto,2015,69b72ca7-c2ce-4e06-96bb-0c1d80847764,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,301678.0,MXN,ABAM881010MDFYVT07,,,,,,,,,,,,
BAJA,plymouth,reliant,2000,f416cfa3-85a9-4ac2-b634-e3b2e8429a03,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,537330.0,MXN,ABAM881010MDFYVT07,,,,,,,,,,,,
BAJA,buick,century special,2003,c09a9831-fb40-463b-a8fc-f73538cfab6a,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,502218.0,MXN,ABAM881010MDFYVT07,,,,,,,,,,,,
SIN_CAMBIOS,datsun,710,2000,af9dbbb2-df1a-4f08-ab00-90369ec1b0b9,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,414979.0,MXN,ABAM881010MDFYVT07,,,,,,,,,,,,
BAJA,dodge,aries se,2007,5bd97293-b9d8-499c-b08c-540ea6d6c747,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,463787.0,MXN,ABBA870314MSNRRN07,,,,,,,,,,,,
BAJA,ford,gran torino,2013,8b89abe8-ea9c-4dc0-87ed-263cc03667e9,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,535837.0,MXN,ABBA870314MSNRRN07,,,,,,,,,,,,
BAJA,toyota,corona,2002,12b1627e-2a5e-4362-9769-391cb74e1685,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,541605.0,MXN,ABBA870314MSNRRN07,,,,,,,,,,,,
BAJA,ford,gran torino,2003,920a8c09-369b-4dd2-a335-5bff1ab68b47,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,428764.0,MXN,ABBA870314MSNRRN07,,,,,,,,,,,,
BAJA,maxda,glc deluxe,2005,69334ae3-6110-4f6d-84fd-d8c60d285f19,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,356471.0,MXN,ABBA870314MSNRRN07,,,,,,,,,,,,
SIN_CAMBIOS,chrysler,cordoba,2002,a50de3d0-40ff-46fb-a47b-81905bf7f5b2,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,331392.0,MXN,ABBA870314MSNRRN07,,,,,,,,,,,,
BAJA,fiat,124b,2006,322b5bab-2b35-4eee-893b-ac1f1d94a1a0,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,421622.0,MXN,ABBE760411HAGRRR08,,,,,,,,,,,,
BAJA,mazda,rx-4,2006,e0c412e2-e180-4e7b-9f54-b0b5f823dc60,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,534651.0,MXN,ABBE760411HAGRRR08,,,,,,,,,,,,
BAJA,pontiac,j2000 se hatchback,2003,ef962adf-532d-4fb7-aa6a-29885ba1c162,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,531029.0,MXN,ABBE760411HAGRRR08,,,,,,,,,,,,
BAJA,subaru,,2011,c6edf64e-aa10-4745-b9d5-948de4939c1f,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,482178.0,MXN,ABBE760411HAGRRR08,,,,,,,,,,,,
AGREGAR,dodge,colt (sw),2012,85e94519-09c4-4c0e-addd-5928aca3537d,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,393947.0,MXN,ABBE760411HAGRRR08,,,,,,,,,,,,
BAJA,buick,lesabre custom,2016,4c81837e-d881-4476-abd8-4497dfc3c718,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,556699.0,MXN,ABCE790011HVZRLL09,,,,,,,,,,,,
BAJA,Lamborgini,Urus,2012,fc0d3dc0-8974-476b-b54f-ede48b9a7e28,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,4200000.0,MXN,ABCE790011HVZRLL09,,,,,,,,,,,,
BAJA,toyota,celica gt liftback,2012,f511b57d-0c8b-465d-ac82-383bdcd77a8c,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,451791.0,MXN,ABCE790011HVZRLL09,,,,,,,,,,,,
BAJA,dodge,d200,2011,bdc3791c-afcd-4eff-be9b-28f0672430a2,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,785728.0,MXN,ABCE790011HVZRLL09,,,,,,,,,,,,
BAJA,honda,Accelerationord,2016,a3cf7394-6360-4a79-9b7a-7f2f2528812b,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,791780.0,MXN,ABCE790011HVZRLL09,,,,,,,,,,,,
BAJA,Audi,Q8,2010,5c13fa46-f672-49ab-a19c-c25f69aef513,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,468862.0,MXN,ABCE790011HVZRLL09,,,,,,,,,,,,
SIN_CAMBIOS,Mercedes Benz,AMG G,2011,84a9c006-4910-47bb-80b8-7d5a0c966868,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,480732.0,MXN,ABCE790011HVZRLL09,,,,,,,,,,,,
SIN_CAMBIOS,Mercedes Benz,AMG G,2012,0726df03-d22c-4aba-8da3-2c6f938a7f26,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,788933.0,MXN,ABCE790011HVZRLL09,,,,,,,,,,,,
AGREGAR,mazda,glc deluxe,2013,8f5d6cee-5ce4-478b-b269-b979310838dc,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,470626.0,MXN,ABCE790011HVZRLL09,,,,,,,,,,,,
BAJA,mazda,626,1980,892188a9-f7a4-40a4-9848-a78a33765c0e,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,304422.0,MXN,ABCI870911MPURRN09,,,,,,,,,,,,
BAJA,pontiac,ventura sj,1976,2ba3f055-b802-420d-b38f-4b3065e6356d,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,282095.0,MXN,ABCI870911MPURRN09,,,,,,,,,,,,
BAJA,toyota,corona,1975,92d3b20a-243e-4a41-8d30-573995c75658,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,292594.0,MXN,ABCI870911MPURRN09,,,,,,,,,,,,
BAJA,honda,Accelerationord,1982,18e9d45e-6221-4d68-92bc-ace71deb9d02,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,94059.0,MXN,ABCI870911MPURRN09,,,,,,,,,,,,
BAJA,cadillac,eldorado,1979,e2aaa319-9ae8-49bf-95c9-6f02e7b73045,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,101404.0,MXN,ABCI870911MPURRN09,,,,,,,,,,,,
AGREGAR,dodge,aspen se,1976,a420f447-54bc-43f5-b905-1bfc1b6e22db,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,308792.0,MXN,ABCI870911MPURRN09,,,,,,,,,,,,
BAJA,fiat,128,2001,060b4aaa-598b-4284-9dae-b41a02ae013c,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,300762.0,MXN,ABCR720008MSNRSB08,,,,,,,,,,,,
BAJA,ford,gran torino,2012,cdef61fb-2c02-4b58-942e-57e1d148b1ff,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,581391.0,MXN,ABCR720008MSNRSB08,,,,,,,,,,,,
BAJA,renault,5 gtl,2005,b83115c4-e443-49c3-841d-822c68088cb3,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,428315.0,MXN,ABCR720008MSNRSB08,,,,,,,,,,,,
AGREGAR,dodge,charger 2.2,2003,c3c0afe2-37a9-4bf0-aa80-2ead29a4eb37,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,529146.0,MXN,ABCR720008MSNRSB08,,,,,,,,,,,,
BAJA,volkswagen,dasher,2011,1fd52880-a2cd-4c8d-a149-aa9a28bd7e98,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,693077.0,MXN,ABEI730715HAGRPN07,,,,,,,,,,,,
SIN_CAMBIOS,BMW,Z4,2009,5a8c6f68-417a-46ce-bd9a-d5ead83bde85,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,1100000.0,MXN,ABEI730715HAGRPN07,,,,,,,,,,,,
SIN_CAMBIOS,peugeot,504,2013,403c96b3-670c-4fcd-a5a3-e71c4e1b3084,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,637265.0,MXN,ABEI730715HAGRPN07,,,,,,,,,,,,
AGREGAR,Mercedes Benz,AMG G,2010,1ada782d-76d5-4010-9a35-9053a9edc6ef,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,423278.0,MXN,ABEI730715HAGRPN07,,,,,,,,,,,,
BAJA,chevrolet,caprice classic,2002,d3fa083d-3843-4bbe-a186-80e8351908f9,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,351456.0,MXN,ABFJ871119MPURGN02,,,,,,,,,,,,
BAJA,amc,matador (sw),2006,5d04a363-54bb-4fbf-ad78-99e7136e2869,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,547290.0,MXN,ABFJ871119MPURGN02,,,,,,,,,,,,
BAJA,amc,hornet,2001,e83c0efe-349c-47e0-ba20-4f94700e77c4,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,341121.0,MXN,ABFJ871119MPURGN02,,,,,,,,,,,,
BAJA,toyota,carina,2005,f9f31fd4-353a-4bdd-91f5-0cff84628ff6,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,534215.0,MXN,ABFJ871119MPURGN02,,,,,,,,,,,,
AGREGAR,toyota,corolla,2009,4dacf7a8-ba3e-4a5f-9ca1-67455c3e4c06,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,361719.0,MXN,ABFJ871119MPURGN02,,,,,,,,,,,,
BAJA,plymouth,sapporo,2012,db92c716-1823-426f-b37e-87aebe0bb335,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,332567.0,MXN,ABJG820014MAGYRR08,,,,,,,,,,,,
BAJA,plymouth,grand fury,2010,b8a878d9-3580-4487-8f5f-29194931e11a,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,425500.0,MXN,ABJG820014MAGYRR08,,,,,,,,,,,,
BAJA,dodge,colt,2014,a522d225-e3e2-4093-af45-d625e8a62096,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,572964.0,MXN,ABJG820014MAGYRR08,,,,,,,,,,,,
AGREGAR,chevrolet,monte carlo landau,2011,1907a394-48d5-4038-953b-cbf89158b24d,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,374644.0,MXN,ABJG820014MAGYRR08,,,,,,,,,,,,
BAJA,subaru,,2016,87b48d29-8b82-409a-ae48-429c7237b321,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,597449.0,MXN,ABNS890812MVZRZN06,,,,,,,,,,,,
BAJA,Mercedes Benz,AMG G,2013,be065d65-b813-4d59-9a00-cdc28d9ff8bd,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,0.0,MXN,ABNS890812MVZRZN06,,,,,,,,,,,,
BAJA,plymouth,satellite,2014,145cb47a-d586-41a6-aa00-1d0733b20f11,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,470100.0,MXN,ABNS890812MVZRZN06,,,,,,,,,,,,
BAJA,toyota,corolla tercel,2011,450abbd4-a350-42b5-bd40-b6b027907bb0,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,532091.0,MXN,ABNS890812MVZRZN06,,,,,,,,,,,,
BAJA,Jaguar,F-Type,2010,2df54fad-559a-422a-a1c1-b45f66513fa1,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,652038.0,MXN,ABNS890812MVZRZN06,,,,,,,,,,,,
SIN_CAMBIOS,BMW,Z4,2013,5d381420-c967-45be-85b9-143b114ea27d,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,794788.0,MXN,ABNS890812MVZRZN06,,,,,,,,,,,,
SIN_CAMBIOS,Mercedes Benz,AMG G,2013,8e6eee55-c525-456b-95b4-f2f9767ca771,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,447361.0,MXN,ABNS890812MVZRZN06,,,,,,,,,,,,
AGREGAR,amc,rebel sst,2015,6337f222-557a-49d8-8c72-bc8f6a22c975,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,755701.0,MXN,ABNS890812MVZRZN06,,,,,,,,,,,,
BAJA,amc,concord d/l,2010,f9cba08d-556c-4099-9a21-d17e145bc2fd,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,444120.0,MXN,ABPJ861006MSNYZN08,,,,,,,,,,,,
BAJA,Audi,Q8,2011,2b7a9fd8-49e3-4950-9ffe-0bf0daa588ab,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,1700000.0,MXN,ABPJ861006MSNYZN08,,,,,,,,,,,,
BAJA,honda,prelude,2012,61d00216-0334-4cbc-9795-faa42d8b8377,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,534144.0,MXN,ABPJ861006MSNYZN08,,,,,,,,,,,,
BAJA,chevrolet,impala,2014,bec9a210-59f1-4ad1-886e-86ec6640ac5c,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,755671.0,MXN,ABPJ861006MSNYZN08,,,,,,,,,,,,
BAJA,chevrolet,monte carlo landau,2013,c9eea859-85e0-459f-8a3d-5823e6abf029,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,693271.0,MXN,ABPJ861006MSNYZN08,,,,,,,,,,,,
BAJA,ford,escort 2h,2010,dfc15e24-ca7d-46a6-b5d7-db1b1df7faa5,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,530851.0,MXN,ABPJ861006MSNYZN08,,,,,,,,,,,,
SIN_CAMBIOS,subaru,,2014,4a5258ca-a53e-49ba-a6df-ac23f1aef1aa,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,463843.0,MXN,ABPJ861006MSNYZN08,,,,,,,,,,,,
SIN_CAMBIOS,ford,fairmont,2011,d1e4f75f-7ef3-4efd-a74b-9f8b765fd6bf,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,798780.0,MXN,ABPJ861006MSNYZN08,,,,,,,,,,,,
AGREGAR,volkswagen,super beetle,2012,5a3bdf5e-897e-4847-9e0d-d2c983395943,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,770556.0,MXN,ABPJ861006MSNYZN08,,,,,,,,,,,,
BAJA,plymouth,horizon miser,2010,f2e52d31-5631-44ec-9898-217bfa9cc06b,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,584626.0,MXN,ABRH880427HDFRNR02,,,,,,,,,,,,
BAJA,toyota,celica gt,2000,bebd68c1-395b-457a-a81b-be7d4a9d64f7,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,334544.0,MXN,ABRH880427HDFRNR02,,,,,,,,,,,,
SIN_CAMBIOS,volkswagen,model 111,2008,5bc088ec-841d-45f8-b1ee-e0383d441474,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,369812.0,MXN,ABRH880427HDFRNR02,,,,,,,,,,,,
BAJA,mazda,glc deluxe,2010,0b06a0a6-0aa8-4742-9488-f563db239d77,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,552177.0,MXN,ABVD720809HPUYLN06,,,,,,,,,,,,
BAJA,honda,civic cvcc,2000,46390687-2df6-4203-bcaa-02b6cbc7bc52,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,335400.0,MXN,ABVD720809HPUYLN06,,,,,,,,,,,,
BAJA,ford,torino,2014,9dd663f1-fa2d-4249-b47c-9f8ce7c9949a,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,501321.0,MXN,ABVD720809HPUYLN06,,,,,,,,,,,,
AGREGAR,toyota,mark ii,2011,4fe4d787-d9c8-4e75-989b-e6cd92a49207,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,435014.0,MXN,ABVD720809HPUYLN06,,,,,,,,,,,,
BAJA,opel,manta,2001,38c8f0fb-2741-48c8-8551-585f6f5f395c,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,545685.0,MXN,ACAL860910HPUSRL09,,,,,,,,,,,,
BAJA,audi,4000,2003,42de6e41-a6b1-4ad6-aa51-e2de0d7bafa8,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,542877.0,MXN,ACAL860910HPUSRL09,,,,,,,,,,,,
BAJA,ford,pinto,2004,172dfedd-dca8-4d9c-9d5d-8bfaa4857d37,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,451440.0,MXN,ACAL860910HPUSRL09,,,,,,,,,,,,
BAJA,mercedes-benz,280s,2003,e25b4fa8-b2aa-4acc-b2ef-35798dba9c77,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,491025.0,MXN,ACAL860910HPUSRL09,,,,,,,,,,,,
BAJA,audi,100 ls,2005,bea601d3-54d8-458b-a2aa-edc58ef37d93,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,464332.0,MXN,ACAL860910HPUSRL09,,,,,,,,,,,,
BAJA,dodge,colt hatchback custom,2008,0a4fc4d8-7e36-4797-838b-f00380c9cc31,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,426274.0,MXN,ACAL860910HPUSRL09,,,,,,,,,,,,
AGREGAR,honda,Accelerationord cvcc,2010,df972f84-6575-4fbd-b0be-9b8bae4d98a2,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,330714.0,MXN,ACAL860910HPUSRL09,,,,,,,,,,,,
BAJA,ford,pinto (sw),1972,3159b1f0-50d4-4529-802e-d1fc234c553b,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,335372.0,MXN,ACBC840518MVZSRM06,,,,,,,,,,,,
BAJA,pontiac,phoenix,1979,032b24dc-b5c3-42cb-bca8-30ca1568c11a,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,32690.0,MXN,ACBC840518MVZSRM06,,,,,,,,,,,,
AGREGAR,amc,spirit dl,1979,fd76384a-e5a0-444d-9bca-e32ac7701765,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,141257.0,MXN,ACBC840518MVZSRM06,,,,,,,,,,,,
BAJA,chevrolet,impala,2011,a64baa1e-6b70-4780-bf96-1018178a82d6,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,426883.0,MXN,ACBF881003HDFVRR01,,,,,,,,,,,,
BAJA,chevrolet,chevette,2003,f83d6c85-d3bb-4742-8072-11cb91e7859b,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,334336.0,MXN,ACBF881003HDFVRR01,,,,,,,,,,,,
BAJA,chevrolet,citation,2005,903c0f0d-8dcd-47bd-a76a-d100d17e0323,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,344515.0,MXN,ACBF881003HDFVRR01,,,,,,,,,,,,
BAJA,chevrolet,impala,2012,bafd5361-f69a-4682-9c67-3d1cd7c0e9d2,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,357235.0,MXN,ACBF881003HDFVRR01,,,,,,,,,,,,
AGREGAR,plymouth,volare custom,2010,68512df0-acd4-4f7a-91c5-024ca01f1e91,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,467453.0,MXN,ACBF881003HDFVRR01,,,,,,,,,,,,
BAJA,capri,ii,1976,c98f2a80-57f5-4ad9-ad5c-bbb8f5a467e6,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,62778.0,MXN,ACBJ720419HSNVÑL09,,,,,,,,,,,,
BAJA,datsun,f-10 hatchback,1977,cc6f8414-c7b1-4b34-9e2a-e3033c2c058a,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,294096.0,MXN,ACBJ720419HSNVÑL09,,,,,,,,,,,,
SIN_CAMBIOS,mercedes-benz,240d,1980,b12a8d30-51d2-4ab7-ac21-210cdbd77e86,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,164907.0,MXN,ACBJ720419HSNVÑL09,,,,,,,,,,,,
BAJA,chevrolet,citation,1979,f5a7c47a-89a2-47b9-abee-ac3073d8cce7,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,135642.0,MXN,ACBL890308MVZÑÑS04,,,,,,,,,,,,
BAJA,fiat,128,1974,5cce5919-453c-4429-9c99-fc372de53a11,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,107326.0,MXN,ACBL890308MVZÑÑS04,,,,,,,,,,,,
BAJA,amc,hornet sportabout (sw),1971,3ee3cb71-9cd7-44bb-9764-83b302185b65,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,228174.0,MXN,ACBL890308MVZÑÑS04,,,,,,,,,,,,
BAJA,chevrolet,monte carlo landau,1977,12935b16-0121-4749-8a0e-ddffd52bbcd9,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,145817.0,MXN,ACBL890308MVZÑÑS04,,,,,,,,,,,,
BAJA,chevrolet,caprice classic,1977,8d9f76b9-5cfb-406e-adcd-cee17d06e55f,AUMOT,AUTOMÓVIL/MOTOCICLETA,DEC,DECLARANTE,68261.0,MXN,ACBL890308MVZÑÑS04,,,,,,,,,,,,
