"curp_funcionario","r_70-2010_COMPRAVENTA_TOTAL","r_70-2010_DONACIÓN_TOTAL","r_2010-2015_COMPRAVENTA_TOTAL","r_2015-2020_COMPRAVENTA_TOTAL","r_70-2010_COMPRAVENTA_VALOR","r_70-2010_DONACIÓN_VALOR","r_2010-2015_COMPRAVENTA_VALOR","r_2015-2020_COMPRAVENTA_VALOR"
"ALAL850513HSNBCR06",1,NA,NA,NA,3886668,NA,NA,NA
"ALAL880209MPUNMZ04",1,NA,NA,NA,755576,NA,NA,NA
"ALAR830921HAGMMC09",3,NA,NA,NA,184899650,NA,NA,NA
"ALAY890511HSNTÑM06",3,NA,NA,NA,209292295,NA,NA,NA
"ALBA870307HVZNRB05",3,NA,NA,NA,189872281,NA,NA,NA
"ALBG871015MSNCRR05",3,NA,NA,NA,231743540,NA,NA,NA
"ALBJ790114MDFCRN09",1,NA,NA,NA,2568917,NA,NA,NA
"ALBM830126HAGVTC01",1,NA,NA,NA,395197,NA,NA,NA
"ALCA810017HDFCRB04",1,NA,NA,NA,3896207,NA,NA,NA
"ALCB760818MDFVNR09",2,NA,NA,NA,119927720,NA,NA,NA
"ALCC811004MVZTLR04",1,NA,NA,NA,1066564,NA,NA,NA
"ALCE770413MVZMRS07",1,NA,NA,NA,3473489,NA,NA,NA
"ALCE880205HPUVRL01",1,NA,NA,NA,4194952,NA,NA,NA
"ALCG720525HPUCRD05",1,NA,NA,NA,7133825,NA,NA,NA
"ALCM800918HSNFLN02",3,NA,NA,NA,205475811,NA,NA,NA
"ALCM820416MSNVBT01",3,NA,NA,NA,161162921,NA,NA,NA
"ALCM830716HVZCBT02",1,NA,NA,NA,1937257,NA,NA,NA
"ALCR710608HAGCRM01",1,NA,NA,NA,204545,NA,NA,NA
"ALCV730619MVZJSC01",1,NA,NA,NA,3514533,NA,NA,NA
"ALCV780501HPUMRR04",1,NA,NA,NA,668260,NA,NA,NA
"ALCY831027MPUVSR02",1,NA,NA,NA,45643076,NA,NA,NA
"ALDE731102MDFCML05",3,NA,NA,NA,173792051,NA,NA,NA
"ALDT780203MPUNRD08",1,NA,NA,NA,876018,NA,NA,NA
"ALEI760625MDFMCS01",1,NA,NA,NA,8391925,NA,NA,NA
"ALFC870303HVZMRL09",1,NA,NA,NA,7640063,NA,NA,NA
"ALGJ710113HDFCTS09",1,NA,NA,NA,9296328,NA,NA,NA
"ALGJ870606MPUFRL03",2,NA,NA,NA,178319482,NA,NA,NA
"ALGM860901MAGMLX06",1,NA,NA,NA,571031,NA,NA,NA
"ALGX730422HAGFTM02",1,NA,NA,NA,4133899,NA,NA,NA
"ALHA700017HSNMR 03",1,NA,NA,NA,1855572,NA,NA,NA
"ALHM720114HSNMNR08",2,NA,NA,NA,109434056,NA,NA,NA
"ALHP760603MPUVNT03",3,NA,NA,NA,144537208,NA,NA,NA
"ALHR881111MAGNXQ09",2,1,NA,NA,141983045,110169304,NA,NA
"ALJG740918MSNVMR09",1,NA,NA,NA,7207240,NA,NA,NA
"ALKJ881108HAGNRN01",1,1,NA,NA,45196907,48837877,NA,NA
"ALKL800106HDFVNR01",1,NA,NA,NA,8349818,NA,NA,NA
"ALKS860513MPUMNL02",1,NA,NA,NA,4038828,NA,NA,NA
"ALLC800108HDFMYR02",3,NA,NA,NA,250561132,NA,NA,NA
"ALLF860401MAGMRR07",3,NA,NA,NA,120181795,NA,NA,NA
"ALLI750620MSNCRN01",2,1,NA,NA,181085121,35071061,NA,NA
"ALLK890508MVZCZV01",1,NA,NA,NA,9739115,NA,NA,NA
"ALLL710216MVZJVR05",1,NA,NA,NA,8541862,NA,NA,NA
"ALLL751020MDFVRR09",3,NA,NA,NA,93750140,NA,NA,NA
"ALLV710808MAGBCC02",1,NA,NA,NA,947445,NA,NA,NA
"ALME821101HPUNNL01",1,NA,NA,NA,8071188,NA,NA,NA
"ALMJ710521MDFMTS05",1,NA,NA,NA,6785431,NA,NA,NA
"ALMJ751104MAGMNS07",2,NA,NA,NA,219192131,NA,NA,NA
"ALMM860413MPUNNR09",3,NA,NA,NA,119913808,NA,NA,NA
"ALMT890615MAGCNM09",1,NA,NA,NA,4734538,NA,NA,NA
"ALNC750525HSNMVR08",2,NA,NA,NA,101023623,NA,NA,NA
"ALNF860517MDFMZT09",3,NA,NA,NA,175358010,NA,NA,NA
"ALNP750102HPUMGD03",3,NA,NA,NA,183830305,NA,NA,NA
"ALNV760301HDFNVN06",1,NA,NA,NA,1022584,NA,NA,NA
"ALOÁ860107HAGVRG09",1,NA,NA,NA,9070382,NA,NA,NA
"ALOD800420MVZCTN07",3,NA,NA,NA,210816578,NA,NA,NA
"ALOM730319MDFNVT03",2,NA,NA,NA,114122742,NA,NA,NA
"ALPA781114HDFCGD09",3,NA,NA,NA,120322722,NA,NA,NA
"ALPF790902HDFCDD07",1,NA,NA,NA,5129652,NA,NA,NA
"ALPJ880925HSNBDN08",1,NA,NA,NA,7768767,NA,NA,NA
"ALRA771119HDFCJX07",3,NA,NA,NA,240855976,NA,NA,NA
"ALRF790914HDFRLD09",3,NA,NA,NA,149779227,NA,NA,NA
"ALRM770215HAGNYR05",1,NA,NA,NA,1877016,NA,NA,NA
"ALRN780509MAGJMC03",1,NA,NA,NA,2160286,NA,NA,NA
"ALSA750327MAGTRF09",1,NA,NA,NA,6030713,NA,NA,NA
"ALSG861111MDFMZR01",1,NA,NA,NA,9574135,NA,NA,NA
"ALSJ850024MDFTLR09",2,NA,NA,NA,110300994,NA,NA,NA
"ALSM710526MPUNLR02",1,NA,NA,NA,6511027,NA,NA,NA
"ALSV760916HAGNLC07",1,NA,NA,NA,8627379,NA,NA,NA
"ALSX770823HPUCLC06",3,NA,NA,NA,142955272,NA,NA,NA
"ALTA880014HSNCRN01",1,NA,NA,NA,1651454,NA,NA,NA
"ALTC830016MAGCFR03",2,NA,NA,NA,240339974,NA,NA,NA
"ALTZ800004HPUNLundefined01",1,NA,NA,NA,44585503,NA,NA,NA
"ALUJ870412MAGMSN04",2,1,NA,NA,63213004,66923980,NA,NA
"ALUL840726MVZCBS05",1,NA,NA,NA,6313932,NA,NA,NA
"ALVB710902MAGCLN01",3,NA,NA,NA,165018581,NA,NA,NA
"ALVD840027HVZMRG07",2,NA,NA,NA,162890963,NA,NA,NA
"ALVE891008MAGFCM03",3,NA,NA,NA,345563477,NA,NA,NA
"ALVM710408MAGNGR02",1,NA,NA,NA,3526650,NA,NA,NA
"ALVV741116HVZTLL09",1,NA,NA,NA,2556884,NA,NA,NA
"ALXI750023HVZCRS03",3,NA,NA,NA,137041886,NA,NA,NA
"ALXJ791024MVZNNL05",2,NA,NA,NA,179403936,NA,NA,NA
"ALYB890416MPUMNN04",3,NA,NA,NA,264473679,NA,NA,NA
"AMAP721004MVZYNL06",1,NA,NA,NA,1523949,NA,NA,NA
"AMBJ821105MPUYSL03",3,NA,NA,NA,233346735,NA,NA,NA
"AMCA840713HSNDRR04",1,NA,NA,NA,7490223,NA,NA,NA
"AMDV760503MPUDLN08",2,NA,NA,NA,128553070,NA,NA,NA
"AMGA741007HSNYLL02",3,NA,NA,NA,200556537,NA,NA,NA
"AMGG820018HVZYNR05",3,NA,NA,NA,214437405,NA,NA,NA
"AMMC840216HAGDDS06",2,NA,NA,NA,178150263,NA,NA,NA
"AMRA720614MVZDMR09",1,NA,NA,NA,3676836,NA,NA,NA
"AMVM790302MAGDLR04",2,NA,NA,NA,133509771,NA,NA,NA
"ANÁA710912HAGGLF09",1,NA,NA,NA,1804357,NA,NA,NA
"ANAE780212HDFGML03",3,NA,NA,NA,218637288,NA,NA,NA
"ANAY860320MVZYNL01",1,NA,NA,NA,8426586,NA,NA,NA
"ANCM700413HSNGNR05",1,NA,NA,NA,313960,NA,NA,NA
"ANCM800913MSNYRN08",3,NA,NA,NA,186860373,NA,NA,NA
"ANHM830024MVZYRG08",2,NA,NA,NA,87649654,NA,NA,NA
"ANME740805HAGGRT01",1,NA,NA,NA,2179367,NA,NA,NA
"ANOR891118MAGGNN06",1,NA,NA,NA,12362902,NA,NA,NA
"ANPE761019HVZGRT03",1,NA,NA,NA,5303004,NA,NA,NA
"ANRM760618HSNGVL05",3,NA,NA,NA,166512040,NA,NA,NA
"ANRR730213HDFGYN01",2,NA,NA,NA,110652329,NA,NA,NA
"ANSX790216HDFGDM09",2,NA,NA,NA,164884057,NA,NA,NA
"ANTS811107HVZYJM09",1,NA,NA,NA,7499983,NA,NA,NA
"ANVC840619HSNGLR01",1,NA,NA,NA,1988150,NA,NA,NA
"ANVE880903MSNYLS07",3,NA,NA,NA,229537442,NA,NA,NA
"ANZD711109MPUGMM05",3,NA,NA,NA,240184105,NA,NA,NA
"APAA710920MAGRVundefined08",3,NA,NA,NA,118702065,NA,NA,NA
"APBE840622MVZNTT07",1,NA,NA,NA,596247,NA,NA,NA
"APCA760019HSNNND06",1,NA,NA,NA,4135727,NA,NA,NA
"APCM791108MSNDHR02",3,NA,NA,NA,271565740,NA,NA,NA
"APCT820812MAGRBM08",1,NA,NA,NA,8069617,NA,NA,NA
"APDS710708MAGDZL06",1,NA,NA,NA,1292133,NA,NA,NA
"APGP730110HAGRRL09",1,NA,NA,NA,2956964,NA,NA,NA
"APMJ880905MPUDTN04",2,1,NA,NA,171547790,93468004,NA,NA
"APMR710414HSNDTQ08",1,NA,NA,NA,5858578,NA,NA,NA
"APOM811115MSNRTG01",1,NA,NA,NA,6815948,NA,NA,NA
"APPH730116HDFDZR02",3,NA,NA,NA,73881796,NA,NA,NA
"APPJ851002MDFRSN08",3,NA,NA,NA,213535611,NA,NA,NA
"APZL860412HDFNBS08",3,NA,NA,NA,125924875,NA,NA,NA
"ARAA751016HDFMCR09",1,NA,NA,NA,2809645,NA,NA,NA
"ARAK750813MVZCTM08",2,1,NA,NA,182760498,79302042,NA,NA
"ARAL820626HAGGRC02",3,NA,NA,NA,201276786,NA,NA,NA
"ARAM790216HVZGVN08",1,NA,NA,NA,4840815,NA,NA,NA
"ARAR700608HVZTGC06",3,NA,NA,NA,185958330,NA,NA,NA
"ARBA800020HPUGSN02",3,NA,NA,NA,173418256,NA,NA,NA
"ARBA820123HAGMRR04",1,NA,NA,NA,434084,NA,NA,NA
"ARBE711020HVZNRS06",1,NA,NA,NA,2452685,NA,NA,NA
"ARBG740613MAGMTL09",1,NA,NA,NA,2799279,NA,NA,NA
"ARBL840508MPUCRS06",3,NA,NA,NA,151012800,NA,NA,NA
"ARCA730203HDFCRX07",3,NA,NA,NA,183546120,NA,NA,NA
"ARCB790014MVZCLR05",2,NA,NA,NA,29382021,NA,NA,NA
"ARCF710920HDFTSL09",1,NA,NA,NA,204217,NA,NA,NA
"ARCM780413MSNLRR08",1,NA,NA,NA,1908463,NA,NA,NA
"ARCP700712MAGRRT09",1,NA,NA,NA,1593718,NA,NA,NA
"ARDE800805MVZMMundefined07",3,NA,NA,NA,285051278,NA,NA,NA
"AREÁ830524MPUNPG03",3,NA,NA,NA,213355499,NA,NA,NA
"AREM711106HDFTCR09",1,NA,NA,NA,1574219,NA,NA,NA
"ARFL841017MVZMNS08",3,NA,NA,NA,283796558,NA,NA,NA
"ARHI710214MPUTLB07",1,NA,NA,NA,2747355,NA,NA,NA
"ARHM860227HAGMXR01",1,NA,NA,NA,7702082,NA,NA,NA
"ARHP850013HSNÑRL09",1,NA,NA,NA,2500175,NA,NA,NA
"ARIA830217MSNRZ 02",2,NA,NA,NA,157716940,NA,NA,NA
"ARKL750610HVZTHR05",1,NA,NA,NA,208399,NA,NA,NA
"ARKR710227MSNRRM07",1,NA,NA,NA,992000,NA,NA,NA
"ARKS700308HVZSNR05",1,NA,NA,NA,6762125,NA,NA,NA
"ARLB810311HSNNRN03",3,NA,NA,NA,248281570,NA,NA,NA
"ARLC860712HPURYR07",3,NA,NA,NA,223017786,NA,NA,NA
"ARLG760901MVZCRR07",2,NA,NA,NA,224662577,NA,NA,NA
"ARLJ811124HAGGBN09",2,NA,NA,NA,67932393,NA,NA,NA
"ARLJ860818MPUÑZS09",1,NA,NA,NA,7002272,NA,NA,NA
"ARLL800305MDFMRS05",3,NA,NA,NA,251052961,NA,NA,NA
"ARLR740506MSNNCM03",3,NA,NA,NA,239886016,NA,NA,NA
"ARLS801122MVZSRL05",1,NA,NA,NA,71092011,NA,NA,NA
"ARMA761001HDFRRL07",2,NA,NA,NA,92693786,NA,NA,NA
"ARMB860514MSNMRN01",1,NA,NA,NA,1855768,NA,NA,NA
"ARMD770223HDFRYL01",2,NA,NA,NA,102715774,NA,NA,NA
"ARMI780405HSNRDB08",3,NA,NA,NA,232629379,NA,NA,NA
"ARMJ820212MAGMNN03",1,NA,NA,NA,964526,NA,NA,NA
"ARMM780615MDFRÑN02",1,NA,NA,NA,179505,NA,NA,NA
"ARMM850609MPUTLR05",3,NA,NA,NA,136878837,NA,NA,NA
"ARMM881015HSNCNN02",3,NA,NA,NA,229639168,NA,NA,NA
"ARMR860822MDFRRM04",2,1,NA,NA,61925858,148190479,NA,NA
"ARMS780612HAGNNN03",2,NA,NA,NA,119346650,NA,NA,NA
"AROA760007HAGMVS05",1,NA,NA,NA,850445,NA,NA,NA
"AROE801114MDFVRN09",1,NA,NA,NA,3785812,NA,NA,NA
"AROJ780012HVZNML01",1,NA,NA,NA,1776235,NA,NA,NA
"AROR760903MSNRRN06",1,NA,NA,NA,2982970,NA,NA,NA
"ARPÁ820504HDFTDG01",1,NA,NA,NA,4575073,NA,NA,NA
"ARPÁ890005HVZTRG07",1,NA,NA,NA,2150380,NA,NA,NA
"ARPD840725MSNGDG08",1,NA,NA,NA,1157104,NA,NA,NA
"ARPE890424MAGNRZ08",1,NA,NA,NA,7112206,NA,NA,NA
"ARPG711115MSNRZR03",3,NA,NA,NA,298539505,NA,NA,NA
"ARPL720916MAGRZL04",3,NA,NA,NA,259786455,NA,NA,NA
"ARPL760220MDFVZS07",1,NA,NA,NA,1169640,NA,NA,NA
"ARPM810720MDFNNR04",3,NA,NA,NA,227553540,NA,NA,NA
"ARPR780115HPUÑSB07",2,NA,NA,NA,160742550,NA,NA,NA
"ARPR840202MAGRZF05",1,NA,NA,NA,1757840,NA,NA,NA
"ARPT780817MSNRCR02",3,NA,NA,NA,83156783,NA,NA,NA
"ARPV801005MDFRTL03",1,NA,NA,NA,4686663,NA,NA,NA
"ARQA700807HVZSNN03",2,NA,NA,NA,140940894,NA,NA,NA
"ARQR831119HPUSNM09",1,NA,NA,NA,2745269,NA,NA,NA
"ARQV721006MPUMÑC05",2,NA,NA,NA,137352647,NA,NA,NA
"ARRC860317HVZGYN01",2,1,NA,NA,39520409,31958590,NA,NA
"ARRE810324HAGTSundefined02",1,NA,NA,NA,8542268,NA,NA,NA
"ARRJ840316MDFRNN09",1,NA,NA,NA,3529796,NA,NA,NA
"ARRM810615MAGÑYN07",3,NA,NA,NA,135887189,NA,NA,NA
"ARSR741024HPURNB04",1,NA,NA,NA,3962362,NA,NA,NA
"ARSS830711MSNSRL07",1,1,NA,NA,48717188,27219097,NA,NA
"ARSZ771113HSNNRundefined06",1,NA,NA,NA,7245973,NA,NA,NA
"ARTE740722MDFLRL05",1,NA,NA,NA,8439862,NA,NA,NA
"ARTE761105HVZMLL08",1,NA,NA,NA,178907,NA,NA,NA
"ARTR780523HPURJB09",3,NA,NA,NA,202296168,NA,NA,NA
"ARVD740824MSNTSG09",2,NA,NA,NA,133915064,NA,NA,NA
"ARVD750425MDFNGN01",1,NA,NA,NA,1875010,NA,NA,NA
"ARVI710607HDFMRN05",1,NA,NA,NA,4508941,NA,NA,NA
"ARZD891104MDFÑPL07",1,NA,NA,NA,7977406,NA,NA,NA
"ARZJ870621HAGGMR02",3,NA,NA,NA,165559195,NA,NA,NA
"ATCD860124MPUNNL06",3,NA,NA,NA,153096072,NA,NA,NA
"ATCP710223HVZNZD01",3,NA,NA,NA,147319876,NA,NA,NA
"ATHG750718HSNNRD08",1,NA,NA,NA,3477467,NA,NA,NA
"ATOC710706HSNNTR04",1,NA,NA,NA,2630096,NA,NA,NA
"ATRR720213HSNNMM04",1,NA,NA,NA,4998614,NA,NA,NA
"ÁVAM890418HPULTL06",3,NA,NA,NA,225261503,NA,NA,NA
"AVDA780002HVZLLJ09",2,NA,NA,NA,81937439,NA,NA,NA
"ÁVDE880307HPULML08",2,NA,NA,NA,142639931,NA,NA,NA
"AVGI860807HVZLVB02",1,NA,NA,NA,708419,NA,NA,NA
"AVGM790717MDFLRT01",1,NA,NA,NA,5347990,NA,NA,NA
"AVKF710314MPULNR03",2,NA,NA,NA,130350856,NA,NA,NA
"ÁVLJ831011MDFLRN06",3,NA,NA,NA,191036185,NA,NA,NA
"ÁVLL850125HSNLPR07",3,NA,NA,NA,200187770,NA,NA,NA
"ÁVPJ880811MSNLRS08",3,NA,NA,NA,115370988,NA,NA,NA
"AVVA770210MPULLT08",3,NA,NA,NA,137375750,NA,NA,NA
"ÁVVE760127MDFLLT04",2,NA,NA,NA,107575830,NA,NA,NA
"AYCS800816HDFLSR02",1,NA,NA,NA,117363471,NA,NA,NA
"AYRA821116MSNLYJ08",1,NA,NA,NA,1818000,NA,NA,NA
"AYRC710215MAGLCN06",1,NA,NA,NA,1039315,NA,NA,NA
"AYRK870803HVZLDM08",2,NA,NA,NA,117381254,NA,NA,NA
"BAAB740521HDFLRT03",1,NA,NA,NA,697881,NA,NA,NA
"BÁAB880701HSNZYR05",3,NA,NA,NA,233587029,NA,NA,NA
"BAAC720723MVZLRR06",3,NA,NA,NA,174699359,NA,NA,NA
"BAAC721010MAGRYS03",2,NA,NA,NA,115411994,NA,NA,NA
"BAAE850527HVZZRR09",3,NA,NA,NA,207432793,NA,NA,NA
"BAAF861001MVZRGR03",3,NA,NA,NA,190641155,NA,NA,NA
"BÁAG760210MVZZLR02",1,NA,NA,NA,1593339,NA,NA,NA
"BAAJ750003MAGRYS03",2,NA,NA,NA,198348270,NA,NA,NA
"BAAL860914HVZRVR07",1,NA,NA,NA,9960478,NA,NA,NA
"BAAM760514HPURCR05",2,NA,NA,NA,118195522,NA,NA,NA
"BAAN791126HPUTRT09",3,NA,NA,NA,182306685,NA,NA,NA
"BAAN820207MPUCYC08",1,NA,NA,NA,7585957,NA,NA,NA
"BAAP701024MAGRMT09",1,NA,NA,NA,4920487,NA,NA,NA
"BAAV700414HVZÑMC09",3,NA,NA,NA,148246556,NA,NA,NA
"BABA890405HSNNRS09",1,NA,NA,NA,849855,NA,NA,NA
"BABC890207HVZRZR03",3,NA,NA,NA,164913687,NA,NA,NA
"BABC890826MDFRLL07",1,NA,NA,NA,9251013,NA,NA,NA
"BÁBF700918HVZZLR04",2,NA,NA,NA,64211422,NA,NA,NA
"BABF880301HSNDRD01",3,NA,NA,NA,127936668,NA,NA,NA
"BABJ780601MSNRNR06",1,NA,NA,NA,5341249,NA,NA,NA
"BACA870105MPURRT08",2,NA,NA,NA,121522203,NA,NA,NA
"BACE740822HVZRBT09",1,NA,NA,NA,2170298,NA,NA,NA
"BACI750124HPUHRB08",1,NA,NA,NA,1902691,NA,NA,NA
"BACL700716MDFLNC08",1,NA,NA,NA,1504868,NA,NA,NA
"BACM760518MSNRNR07",1,NA,NA,NA,3721850,NA,NA,NA
"BACM760718MPURLG08",1,NA,NA,NA,896157,NA,NA,NA
"BACM871115MVZRNR06",3,NA,NA,NA,111875917,NA,NA,NA
"BADC810711MVZC L07",2,1,NA,NA,176081289,51108046,NA,NA
"BADI720117MVZCLR07",3,NA,NA,NA,188284932,NA,NA,NA
"BADM811111HPURZR04",1,NA,NA,NA,1946684,NA,NA,NA
"BAEA700511HDFRCT05",1,NA,NA,NA,4928376,NA,NA,NA
"BAEJ880313HPURZS03",3,NA,NA,NA,225205044,NA,NA,NA
"BAET811013HDFRZD02",1,NA,NA,NA,9151445,NA,NA,NA
"BAFG821027MVZLLD09",3,NA,NA,NA,255618784,NA,NA,NA
"BÁFM820125HPUZRR07",1,NA,NA,NA,7084950,NA,NA,NA
"BAGC720004HVZRRM03",3,NA,NA,NA,162485004,NA,NA,NA
"BAGE810827HSNCLM05",1,NA,NA,NA,9476168,NA,NA,NA
"BAGI740427MAGRRR08",1,NA,NA,NA,4123773,NA,NA,NA
"BAGT811119HAGRLM08",1,NA,NA,NA,7872282,NA,NA,NA
"BAHN850905MVZRNC06",3,NA,NA,NA,117784699,NA,NA,NA
"BAJJ790402HVZRRZ03",1,NA,NA,NA,1816023,NA,NA,NA
"BAKC860801HPUTNR09",1,NA,NA,NA,285623,NA,NA,NA
"BAKJ721011MVZRNM03",1,NA,NA,NA,1509164,NA,NA,NA
"BAKJ750203HAGÑYM05",3,NA,NA,NA,190374766,NA,NA,NA
"BALF770220HPUÑNL02",2,NA,NA,NA,66170505,NA,NA,NA
"BALJ790308MSNHRN08",1,NA,NA,NA,4559116,NA,NA,NA
"BALJ810805HSNLMS07",3,NA,NA,NA,356435108,NA,NA,NA
"BALR740415HVZCNB05",1,NA,NA,NA,9138441,NA,NA,NA
"BÁMA750509HAGZTL04",3,NA,NA,NA,112425628,NA,NA,NA
"BAMA750913HVZLN 01",2,NA,NA,NA,199816102,NA,NA,NA
"BAMA790414MAGRNF04",1,NA,NA,NA,8212861,NA,NA,NA
"BAMC810803HAGRRC04",1,NA,NA,NA,3894512,NA,NA,NA
"BAMG830108HAGLRS08",1,NA,NA,NA,1290883,NA,NA,NA
"BAMJ791107HPUHÑS01",1,NA,NA,NA,295208,NA,NA,NA
"BAMO780422HVZTLV01",1,NA,NA,NA,4838507,NA,NA,NA
"BANÁ891102MSNRRG03",1,NA,NA,NA,2040451,NA,NA,NA
"BAÑM830212HAGRÑR01",1,NA,NA,NA,5160903,NA,NA,NA
"BANS711106MDFRZR05",3,NA,NA,NA,173900434,NA,NA,NA
"BAOE791010MDFRTP04",1,NA,NA,NA,9536650,NA,NA,NA
"BAON811009MPULVT05",1,NA,NA,NA,6369078,NA,NA,NA
"BAOR770207HDFTTF02",1,NA,NA,NA,4836754,NA,NA,NA
"BAOV820518HAGRDL01",1,NA,NA,NA,4462969,NA,NA,NA
"BAPJ810609MAGTDS07",2,NA,NA,NA,231815288,NA,NA,NA
"BAPJ860917MPUTRS03",1,NA,NA,NA,4079030,NA,NA,NA
"BAQD790824MDFLZG06",2,NA,NA,NA,110491245,NA,NA,NA
"BAQE850109MSNRNS09",1,NA,NA,NA,303296,NA,NA,NA
"BAQJ720710HDFZRS04",3,NA,NA,NA,156904722,NA,NA,NA
